Time,NDVI
Oct 1981,0.5216613
Oct 1982,0.4359193
Oct 1983,0.4273871
Oct 1984,0.3587097
Oct 1985,0.3784355
Oct 1986,0.4636452
Oct 1987,0.4230323
Oct 1988,0.3924839
Oct 1989,0.3574516
Oct 1990,0.4194194
Oct 1991,0.2722097
Oct 1992,0.3450484
Oct 1993,0.3537419
Oct 1994,0.4638388
Oct 1995,0.4190645
Oct 1996,0.4307097
Oct 1997,0.3451129
Oct 1998,0.4626936
Oct 1999,0.4486129
Oct 2000,0.3832742
Oct 2001,0.4200484
Oct 2002,0.4221936
Oct 2003,0.4905807
Oct 2004,0.4290323
Oct 2005,0.4402904
Oct 2006,0.461871
