"","MIXEDVEGg"
"1981",0.213605566043791
"1982",0.174621353117308
"1983",0.156533496101781
"1984",0.18514014667984
"1985",0.190016056021381
"1986",0.246358622049102
"1987",0.212114808008092
"1988",0.13978064948432
"1989",0.2186169858414
"1990",0.206835227677367
"1991",0.170232745096545
"1992",0.186740457232001
"1993",0.20722159337348
"1994",0.219750160744873
"1995",0.198680823412687
"1996",0.261139165822864
"1997",0.244974556150846
"1998",0.184497169230903
"1999",0.19666243271203
"2000",0.2062708
"2001",0.2614623
"2002",0.1863607
"2003",0.1807406
"2004",0.1951288
"2005",0.1879136
"2006",0.197797
"2007",0.1944213
"2008",0.1914732
"2009",0.1592461
"2010",0.1670212
"2011",0.2081842
"2012",0.1762791
"2013",0.1633977
"2014",0.1896886
"2015",0.1931547
"2016",0.1862905
"2017",0.2264009
"2018",0.1496137
"2019",0.2400699
