"","MIXEDVEGg"
"1981",0.192416537670118
"1982",0.138352063080876
"1983",0.134400848884085
"1984",0.21327532886672
"1985",0.164951470098427
"1986",0.248454250560258
"1987",0.13890339320242
"1988",0.17019394879482
"1989",0.200357676412692
"1990",0.173371375798672
"1991",0.204918271262127
"1992",0.138400428528532
"1993",0.152469076688525
"1994",0.197306005569702
"1995",0.188078429876858
"1996",0.218996604505563
"1997",0.233094307915884
"1998",0.198558589705091
"1999",0.201508702103437
"2000",0.1844262
"2001",0.247702
"2002",0.1739967
"2003",0.169576
"2004",0.1669891
"2005",0.1756595
"2006",0.1668379
"2007",0.2344546
"2008",0.1822095
"2009",0.15687
"2010",0.1267729
"2011",0.2165222
"2012",0.164201
"2013",0.1867325
"2014",0.1707008
"2015",0.1894669
"2016",0.2186809
"2017",0.2085489
"2018",0.2287357
"2019",0.2683651
