"","MIXEDVEGg"
"1981",0.261295460088383
"1982",0.265611144018421
"1983",0.236508986336184
"1984",0.189853218481223
"1985",0.219657727721315
"1986",0.218037791634632
"1987",0.206495639125895
"1988",0.209798833576906
"1989",0.193105762956746
"1990",0.264187334366645
"1991",0.204407416356464
"1992",0.221707972817414
"1993",0.19857941282523
"1994",0.308103138636675
"1995",0.201129566509764
"1996",0.21129852010908
"1997",0.19876926195876
"1998",0.224631469001364
"1999",0.229048374416111
"2000",0.2706368
"2001",0.2193106
"2002",0.1929205
"2003",0.2469668
"2004",0.2110446
"2005",0.2048919
"2006",0.2124746
"2007",0.2087687
"2008",0.220398
"2009",0.2376965
"2010",0.2268347
"2011",0.2344031
"2012",0.1989969
"2013",0.239682
"2014",0.2633413
"2015",0.183089
"2016",0.2019385
"2017",0.2257028
"2018",0.2036178
"2019",0.227115
