"","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"1",0.7168352,3.150888,0.9705787,1.290461,1.294474,1.294474,1.290127,1.008495,1.294474,1.320025,1.294474,1.294474,1.286113,1.290461,1.294474,1.294474,1.294474,1.294474,1.294474,1.294474,1.294474,1.294474,1.294474,1.294474,1.294474,1.294474,1.294474,1.294474,1.294474,1.911721,1.294474,1.294474,1.218096,1.191503,1.191503,1.191503,1.191503,1.191503,1.191503,2.1453
"2",0.6945254,3.720705,1.414486,1.4098,1.418965,1.414486,1.418965,1.061484,2.481671,1.418965,1.418965,1.418965,2.525355,1.4098,1.418965,1.418965,1.418965,1.418965,1.418965,1.418965,1.418965,1.418965,1.418965,1.418965,1.418965,1.418965,1.779321,2.452121,1.418965,1.418965,1.418965,1.418965,1.335241,1.324478,1.324478,1.324478,1.52420842051282,1.324478,1.324478,1.324478
"3",0.7670091,0.7679237,2.260989,2.271169,2.271169,2.260989,2.255699,2.271169,2.271169,2.271169,2.271169,2.271169,2.255699,2.265879,2.271169,4.477397,2.271169,2.271169,2.271169,2.271169,2.271169,2.271169,2.707022,2.271169,2.271169,2.271169,2.271169,2.271169,2.271169,2.271169,2.271169,2.271169,2.129845,2.239951,2.239951,2.239951,2.239951,2.239951,2.239951,2.239951
"4",1.007594,7.101912,2.382355,1.518149,2.382355,2.382355,2.382355,2.382355,6.016292,6.828005,2.382355,2.382355,2.374358,2.372774,5.089803,2.382355,4.642177,6.784599,2.382355,2.382355,2.382355,2.382355,2.382355,2.382355,2.382355,2.382355,2.382355,2.382355,2.382355,2.382355,2.382355,2.382355,1.35042,1.481829,1.481829,1.481829,1.481829,1.481829,1.481829,1.481829
"5",1.852934,8.861597,3.041792,2.004781,3.030971,3.041792,2.534123,8.610647,1.971894,8.933928,3.041792,3.041792,3.030971,3.019348,3.041792,3.041792,3.041792,3.041792,3.041792,3.041792,3.041792,3.041792,5.268498,3.041792,3.551428,3.041792,9.629919,3.041792,3.041792,3.041792,3.041792,3.041792,1.724217,1.886094,1.886094,1.886094,13.43582,3.171966,5.060065,1.886094
"6",1.721826,7.724888,3.020349,3.3593282,2.409551,2.092014,3.006197,3.3593282,3.014445,7.807341,3.020349,3.3593282,7.019207,3.014445,3.020349,3.3593282,3.020349,3.020349,3.020349,3.3593282,2.673779,2.673779,6.006163,3.3593282,2.673779,2.673779,2.673779,3.3593282,3.483745,2.673779,2.673779,3.3593282,1.843029,1.988842,1.988842,3.3593282,5.266851,1.988842,3.565071,3.3593282
"7",26.83522,6.891197,6.891197,16.29635,16.5365,6.891197,23.98028,6.891197,15.66354,15.57288,6.891197,4.638872,6.891197,6.863628,6.891197,15.32726,15.66354,6.863628,6.891197,6.891197,6.891197,23.53681,6.891197,6.891197,6.891197,8.353254,6.891197,6.891197,16.76661,8.353254,6.891197,6.891197,6.282673,11.80153,6.253362,6.253362,9.01584,6.253362,6.253362,6.253362
"8",39.79503,4.299814,6.2747,23.49382,6.2747,4.202398,6.250164,6.248117,24.80189,6.2747,6.2747,25.59546,13.80807,23.01638,6.2747,6.2747,29.503,6.2747,6.2747,6.2747,29.76908,6.2747,7.644403,13.83959,43.63531,31.07969,10.04138,6.2747,7.530261,11.31796,19.87732,6.2747,6.931782,24.30124,10.80922,6.387956,9.701579,5.271004,16.51581,5.271004
"9",50.74305,11.09412,6.863861,6.863861,15.52218,6.863861,6.863861,6.863861,24.87539,6.863861,6.863861,6.863861,6.80549,6.839955,6.863861,26.90232,6.863861,22.73371,6.863861,14.2637,9.32069,37.08857,19.88565,6.863861,6.863861,12.74262,19.84468,6.863861,25.96984,6.863861,6.863861,44.31928,7.411212,5.672732,11.02197,13.44083,12.09182,5.672732,41.98571,10.40179
"10",7.445886,8.831517,16.75418,8.729718,40.40466,20.87191,16.5019,8.831517,8.831517,16.69858,8.831517,16.5019,32.09152,8.728167,16.61879,8.831517,40.14017,8.728167,8.831517,11.42068,8.831517,43.13185,8.831517,22.99512,8.831517,25.91764,17.7803,8.831517,15.32091,8.831517,28.29969,12.68619,16.66462,15.51254,7.674986,21.13437,7.674986,12.17717,16.80667,15.9630758205128
"11",11.41599,15.12109,42.79997,5.566348,16.36072,23.97646,17.11489,17.10194,8.905062,8.905062,8.905062,16.6921,17.01154,8.403907,40.07781,32.27847,8.905062,8.801714,16.90438,34.54708,8.905062,23.24103,34.54708,20.58562,34.33571,24.47914,8.905062,10.20495,11.50074,27.09327,8.905062,28.4034,20.54345,7.784038,7.784038,20.33225,7.784038,11.27128,44.4953,18.4844917179487
"12",12.04725,8.724277,24.57037,5.733812,8.619125,24.57037,5.416816,8.724277,8.724277,29.20647,8.724277,16.25957,20.93944,16.54982,8.724277,8.724277,8.724277,15.96603,8.724277,17.96783,8.724277,8.724277,16.16418,12.70238,12.49375,8.724277,8.724277,13.62222,8.724277,8.724277,10.04478,19.19231,23.13141,20.69397,7.602148,8.758512,21.76671,9.843554,9.047603,12.9500078974359
