"","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"1",0,1,0,2,1,2,0,0,0,1,0,0,0,0,0,5,0,21,35,0,0,19,0,0,0,0,7,0,0,0,0,0,10,0,0,38,0,0,0,12
"2",0,8,0,0,0,0,0,0,0,0,0,0,11,0,0,3,12,30,6,0,0,56,0,12,5,0,0,25,0,0,10,0,3,0,0,15,0,0,0,0
"3",1,0,12,0,0,1,0,0,1,4,0,0,35,0,0,0,2,6,0,0,0,0,22,0,1,0,0,0,0,1,6,0,0,0,0,2,0,0,0,0
"4",0,8,15,2,2,1,0,0,18,29,0,17,2,0,35,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5",2,7,5,3,6,0,0,35,0,20,0,2,5,0,10,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,22,0,0,70,20,12,5
"6",0,11,0,5.4,0,4,12,5.4,0,10,17,5.4,25,0,11,5.4,0,29,0,5.4,0,0,23,5.4,0,0,0,5.4,0,0,0,5.4,0,0,0,5.4,12,7,1,5.4
"7",49,2,0,6,8,17,41,0,18,17,29,41,0,26,0,0,14,18,0,0,12,1,0,0,16,0,0,0,9,8,0,0,0,0,0,0,0,0,0,0
"8",32,13,9,7,4,17,9,0,18,10,14,6,25,15,10,17,24,3,0,0,34,11,18,5,31,36,0,0,0,12,37,0,7,0,6,12,4,0,19,0
"9",46,6,18,0,20,0,22,0,32,21,0,1,51,4,12,99,15,15,10,8,26,11,69,15,2,16,2,0,0,11,0,40,4,0,19,26,6,0,29,6
"10",0,9,11,0,33,39,24,18,0,3,9,17,41,0,6,47,14,2,0,0,0,48,0,49,0,48,8,13,10,15,8,13,0,27,0,18,0,40,17,15.0512820512821
"11",8,14,37,11,18,16,22,13,22,0,0,0,69,71,68,74,5,0,10,13,0,8,83,21,6,18,16,0,8,45,0,2,36,4,0,47,0,10,37,20.8205128205128
"12",8,10,31,0,40,12,3,5,20,37,0,0,8,12,27,0,31,34,11,4,8,0,84,42,29,7,12,0,0,16,8,41,9,11,0,19,36,0,0,15.7692307692308
"13",5,33,9,28,45,10,21,0,6,5,25,82,11,34,34,24,7,16,3,58,19,12,1,0,25,19,5,35,0,44,25,12,10,55,60,55,16,2,1,21.8461538461538
"14",13,0,33,19,7,61,37,0,7,0,4,0,92,13,20,75,7,87,11,0,14,12,13,0,42,0,3,15,0,7,40,2,0,18,0,5,82,0,6,19.1025641025641
"15",0,2,30,16,2,21,54,2,0,11,9,4,6,0,8,30,24,2,0,0,0,11,0,0,13,25,0,0,0,4,21,10,3,7,56,0,0,2,65,11.2307692307692
"16",0,0,12,0,0,16,2,5,0,0,0,0,5,10,14,39,21,0,0,0,0,10,6,0,0,2,22,7,0,0,0,0,0,0,0,0,0,13,20,5.23076923076923
"17",0,2,2,12,10,2,0,5,10,0,8,0,0,5,0,9,5,0,0,0,12,0,0,19,0,0,0,10,1,1,3,0,17,0,0,0,2,41,17,4.94871794871795
"18",3,5,15,0,0,50,1,24,0,12,20,10,0,16,5,0,33,29,5,4,12,8,10,35,5,19,25,6,0,0,3,18,30,0,8,19,7,11,4,11.5897435897436
"19",89,29,15,0,33,44,28,37,36,26,53,0,28,64,9,35,87,147,42,45,30,6,52,3,27,37,92,12,71,8,32,33,48,30,0,47,22,22,41,37.4358974358974
"20",51,27,22,14,70,18,15,139,58,68,31,42,42,96,113,53,37,73,57,38,57,11,33,94,25,74,105,19,61,150,73,18,6,19,23,50,38,117,20,52.7435897435897
"21",70,65,80,31,15,76,15,147,35,57,61,102,32,68,140,22,55,157,81,110,149,63,50,26,68,54,100,30,85,65,79,94,91,94,23,88,33,64,56,70.025641025641
"22",65,43,43,26,29,82,59,78,51,32,30,88,13,67,53,62,47,33,24,85,82,112,67,138,55,123,127,76,25,96,84,65,59,81,77,109,39,61,82,65.8461538461538
"23",60,83,68,17,11,24,66,85,31,8,43,82,4,120,76,81,12,97,124,77,168,34,166,60,59,22,43,28,35,88,27,25,42,101,17,63,101,93,42,61.1025641025641
"24",50,43,47,0,72,92,25,62,8,16,23,74,109,108,59,92,12,92,97,30,55,45,76,47,109,127,33,24,79,119,18,32,77,123,47,28,103,33,45,59.7692307692308
"25",10,33,8,17,41,36,11,25,31,18,8,21,21,27,45,14,15,159,55,18,30,41,0,9,16,60,36,67,2,28,41,40,35,26,22,66,132,98,20,35.4358974358974
"26",28,25,17,21,18,15,15,43,13,15,9,9,1,6,9,24,21,23,9,32,35,34,21,13,0,0,6,8,0,0,0,0,0,60,19,2,47,29,21,16.6153846153846
"27",11,14,3,5,10,2,7,18,8,22,18,7,6,32,0,1,25,16,6,48,5,8,8,0,14,10,0,15,4,13,5,19,0,6,15,0,13,9,12,10.6410256410256
"28",17,33,19,0,0,0,16,16,0,3,18,36,16,0,0,3,24,0,61,16,7,17,0,34,5,0,0,6,7,12,6,0,33,0,0,1,0,3,46,11.6666666666667
"29",0,24,8,0,5,0,0,20,14,0,0,8,1,3,0,1,54,5,18,6,0,0,4,0,14,7,7,0,22,4,0,0,42,0,0,4,13,76,23,9.82051282051282
"30",0,0,4,0,8,6,0,0,0,0,0,3,15,0,9,0,92,0,4,97,0,0,0,0,0,40,0,63,0,0,2,19,0,0,1,8,0,0,0,9.51282051282051
"31",0,13,0,0,0,0,0,0,0,0,0,18,0,17,0,0,0,0,0,33,0,0,0,0,0,0,3,37,0,0,73,0,0,0,13,0,0,18,0,5.76923076923077
"32",0,6,5,2,0,0,0,1,0,0,0,0,0,0,0,26,46,0,0,5,0,0,2,0,14,7,0,0,0,0,0,0,0,0,19,0,0,16,0,3.82051282051282
"33",0,7,0,11,0,2,0,3,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,0,0,30,15,0,0,9,0,6,8,0,53,4.46153846153846
"34",0,0,0,0,0,0,0,1,10,0,0,1,0,4,6,0,0,0,0,0,10,0,17,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,1.51282051282051
