"","1","2","3"
"1981",3,28,75
"1982",7,30,75
"1983",29,30,62
"1984",12,0,39
"1985",10,25,65
"1986",43,50,68
"1987",3,26,55
"1988",34,49,75
"1989",10,25,75
"1990",12,37,75
"1991",28,45,75
"1992",10,10,50
"1993",5,25,75
"1994",31,41,75
"1995",19,14,59
"1996",34,25,72
"1997",51,50,75
"1998",25,50,75
"1999",5,30,75
"2000",4,29,75
"2001",24,37,75
"2002",18,14,42
"2003",16,35,75
"2004",44,28,53
"2005",5,30,75
"2006",21,44,75
"2007",47,50,75
"2008",23,18,56
"2009",1,25,75
"2010",1,8,58
"2011",6,28,75
"2012",18,43,68
"2013",42,50,56
"2014",0,25,69
"2015",8,8,46
"2016",19,44,75
"2017",9,29,72
"2018",49,33,72
"2019",41,29,70
"2020",21.7692307692308,36.5897435897436,75
