"","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"1",0.8315202,2.56653,0.8218373,0.9751605,1.467245,1.062445,1.066145,0.8816526,1.011717,1.227045,1.208768,1.373351,1.71339,0.9906487,0.9523735,1.144129,1.126535,1.339929,2.244974,0.9851081,1.070197,1.230286,1.111796,1.617865,0.9654852,1.026052,1.09858,0.9470167,0.9756129,1.708084,1.703146,0.9977453,0.9909416,0.9786621,0.9563537,1.043969,0.7538058,0.746631,1.071777,1.967797
"2",0.740771,3.185317,1.00908,0.9540116,1.50906,0.991277,1.005443,0.8010014,1.615485,1.128484,1.178527,1.508544,3.636858,0.9669344,0.8787864,1.109897,1.129049,1.39541,2.147869,1.001415,1.087655,1.125827,1.134077,1.650472,0.9848472,0.9903786,1.31527,1.233521,0.9539834,1.269043,2.119515,1.012628,1.059279,0.9788288,1.004793,0.9276451,0.7445315,0.7615658,0.8239608,1.160941
"3",0.8789107,0.9932418,1.539666,1.469346,2.671912,1.583647,1.560735,1.49519,1.625865,1.977365,1.947958,2.970027,2.754018,1.491914,1.620629,1.859578,2.988295,2.194108,3.186549,1.612373,1.751641,2.030349,1.821275,2.650286,1.581618,1.474294,1.921404,1.408146,1.504272,2.168487,2.251683,1.493693,2.277879,1.534066,1.530623,1.520159,1.21236,1.310367,1.535455,2.241017
"4",0.8408081,8.304773,2.313915,0.8488067,3.154381,2.240959,1.213714,3.255223,2.132616,4.84686,1.550499,1.592464,2.02971,1.634511,1.612532,1.336843,0.9446356,1.008482,1.110161,1.140572,0.7855838,0.8021796,1.987694,0.9955967,1.044232,0.7140272,1.248604,0.6853579,1.401709,1.609554,0.8867967,0.7631865,1.134806,1.393534,1.411289,0.9069588,1.376353,0.983178,1.094468,1.005635
"5",1.292053,2.782001,2.62904,1.129154,4.165114,3.018519,1.56715,3.38628,1.07241,5.198783,2.195491,1.830298,2.752778,2.168579,6.215252,5.58195,1.600798,1.446514,1.434777,1.043881,1.062627,1.112898,6.067448,1.347829,4.68761,1.081967,4.273099,1.137011,1.86857,1.309551,1.123564,1.009353,1.355863,2.209105,1.668184,1.262083,16.74046,1.586404,7.249791,1.671188
"6",1.450312,4.432158,2.72661,2.55724653333333,4.282713,2.510042,2.138082,2.55724653333333,1.633687,1.689925,2.111765,2.55724653333333,2.780745,3.930929,2.168643,2.55724653333333,1.503056,1.541856,1.730087,2.55724653333333,1.19615,1.187537,13.62267,2.55724653333333,2.421328,1.183839,1.837418,2.55724653333333,4.6341,1.15987,1.354967,2.55724653333333,1.4379,2.023425,1.749158,2.55724653333333,2.374925,1.943041,1.960458,2.55724653333333
"7",7.914913,30.79174,2.517293,4.904442,15.73641,3.777801,43.83702,3.033596,6.021973,8.100218,5.29583,7.253219,10.18172,3.45395,7.959335,32.48489,13.35855,6.720194,5.574394,3.172712,8.118979,12.32319,8.024638,6.232395,6.818838,15.53664,8.164881,3.663389,9.406573,4.61375,3.099114,3.091566,5.106263,12.59487,5.376248,3.336617,7.403936,4.148286,5.628262,9.09688807692308
"8",14.02195,12.39448,12.41369,19.09318,6.242931,2.74892,12.24928,2.891798,17.10315,7.198335,17.73014,15.94227,23.99633,3.542166,18.92795,8.322323,21.65902,5.792172,4.231296,3.011742,15.90401,5.067392,7.581803,5.911951,24.72139,24.49207,5.021347,3.210539,3.438941,8.387103,21.35952,3.457462,6.112886,23.77775,14.52313,25.65926,4.497166,7.123388,17.36572,11.7211782307692
"9",21.86001,7.850751,2.883382,4.66786,20.44821,3.21851,5.938323,2.993331,20.61945,19.68604,5.711089,10.30534,40.84308,4.066447,10.76329,35.50011,6.706123,6.642807,4.945311,4.683118,17.96556,39.87697,9.967637,6.31654,13.65632,9.365018,14.794,2.672023,19.5894,9.640862,2.903424,13.23498,4.686497,2.57981,18.11819,4.807114,3.313759,4.171156,13.49536,11.5765949230769
"10",4.951469,7.751368,4.094192,4.016019,32.94618,9.805622,20.25779,4.940791,5.402569,5.348369,25.20044,3.565461,28.83676,4.883461,22.46577,19.8428,29.11277,5.543728,5.05067,20.32049,5.413815,7.850748,5.515625,10.65918,7.51781,16.66747,8.177361,10.30064,5.789189,13.04614,6.497981,7.205608,7.031815,20.02851,4.428492,18.2729,3.55443,18.34767,8.520524,11.5169904358974
