Year,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
1,0.01,0,0.01,0.01,0,0,0.01,0.01,0,0,0,0.01,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0.794285714285714,0,0,0,0,0,0,0,0,0,13.9,0,0,0.794285714285714,0,0,0,13.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0.548387096774194,0.548387096774194,0.548387096774194,0.548387096774194,0,0,1,1.54838709677419,0,17,17,1.54838709677419,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,1.49677419354839,1.49677419354839,1.49677419354839,0,0,54.7,5.25738025415445,5.25738025415445,0,5.25738025415445,0,0,3.76060606060606,0,0,0,0,0,0,0,14.4,0,0,0,29.8,0,0,0,0,0,0,0,0,0,54.6,0,17
6,2.45555555555556,22.1,4.99084967320262,4.41437908496733,2.45555555555556,0,2.45555555555556,3.03202614379085,24.5555555555556,1.95882352941177,2.45555555555556,2.45555555555556,3.03202614379085,0,2.45555555555556,2.45555555555556,2.45555555555556,0,2.45555555555556,2.45555555555556,19.4555555555556,0,2.45555555555556,2.45555555555556,2.45555555555556,0,2.45555555555556,2.45555555555556,2.45555555555556,0,2.45555555555556,2.45555555555556,2.45555555555556,14.4,2.45555555555556,35.1555555555556,2.45555555555556
7,13,19.1,5.41470588235294,12.4689915966386,90.9,0,17.7,5.41470588235294,47.3,0,0,7.05428571428571,20.5,31.5,31.5,35.3,15.1,0,28.7,17.1,0,0,0,20.5,0,0,12,0,0,0,0,0,0,30.8,0,0,0
8,22.1914285714286,10.1,15.9857142857143,24,23.5942857142857,0,29.7,0,16.2,30.4,9,27.8,8,31.3,35.8,12.4,12.4,0,14.4,6.9,11.7,0,55.9,65,16,0,0,8,11.4,0,9,36.5,8,8.8,17.6,0,13.4
9,13.6,10.4,30.5542857142857,0,36.5,0,61.8,29.6,33.2,17.8,28.1,13.7542857142857,24.8,51.5,43.3,24.8,11,0,13.6,46.1,40.1,0,11,31.5,32.3,0,32.4,21.3,0,40.8,25.3,54.8,17.6,22.3,39.1,0,47.1
10,33.7714285714286,0,15.3764705882353,55.1,60.5,52,18.6,26.2,0,11.5,70.9,15.3764705882353,32.8478991596639,31.2,87.1,0,0,56.7,0,81.8,8.5,64.3,0,35.9,31.9,11.2,55,16,48.9,56.5,38.6,51.2,0,53.2,0,37.5,57.7
11,72.6,16,16.2,52.8,32.2575757575758,44.3,43.6,0,16,0,36.0825757575758,27.5,61.5,50.9,8.8,43.6575757575758,8.8,47.8,0,16.6,72.5,56,54.1575757575758,44,46.7,20.4,41.4,45.5,0,106.1,31.7,22.1,0,71,0,41.8,86.3
12,72.3,0,60.7,24.8,15.5342857142857,44.6,25.5342857142857,86.7,0,33.2,63.3,30.2,21.8,19.8,28.3,27.5,12.9,39,21.8,0,37.1,18.9,42.4,24,32,16.9,6.5,15.8,24.5,57.4,35.9,39.4,0,26.3,47.7,45.6,23.9
13,12.1,27.2,16.7424242424242,15.4,19.9,0,0,0,40.5424242424242,36.9,17.61670995671,9.5,12.5,9.7,0,13.5424242424242,5.6,37.8,25.9,11.8,9.9,0,42.1,12.7,0,52.4,0,52,0,15,7.7,20.1,47.5,42.1,25.3,12.2742857142857,0
14,22.7,21.4,3.3,11.7777777777778,34.7,4.2,7.4,0,10.7,10.6,39.5,8.4,14.6,36.5,2.6,11.9,0,0,0,4.1,3.3,0,20.2,0,6.8,9,12.6,4.9,26.5,3.3,7,17.6,7,3.3,48.5,9,12.4
15,35.1,8.1,0,16.6657142857143,35.5,2.9,5.2657142857143,0,10.2,4.1,4,0,18.3,46.2,21,0,3.3,4.5,0,0,3.7,0,22.3,0,7.6,3.1,0,0,27.6,3.7,0,18.6,18.3,0,7.3,0,17.8
16,2.6,0.7,0,0.422857142857142,0,0,0.767301587301586,0,0,0,1.4,0.6,1.4,2.6,6,0,0,0.9,0,1.2,0,0,0.6,0,0.8,2.4,0,0,0,0,0,0,0,1.9,0,1.3,2.8
17,0.7,0,0,0.7,0,1.2,0.7,0,0.8,0,0.9,1.6,0.6,2.8,1.7,0,0.7,0,0.9,0,0,0,0,0.7,1.4,0,0,1.2,1,0,0.7,0,0,0,0.8,0.8,0
18,0,0,0,59.4,6.20000000000001,15.3,0,0,0,0,7,0,8.9,0,18.2,0,20.3,23.1,27.3,0,0,20.3,10.4,0,21.5,0,8.9,26,0,8.7,0,0,0,0,0,23.3,8.2
19,15.9166666666667,10.3,33.2,40.6,12,30.9,38.3,22.9,51.3,15.1,25.3,49.6,0,84.6,109.2,55.8,65.6,45.1,10.3,13.3,64.1,10.3,33.1,43.5,144,20.9,48.6,16,13.3,38.3,17.1,0,0,0,51.5,37.8,51.4
20,16.2,7.8,56.1,9,10.2,154.6,82.2,68.3,24.7,13.7,57.7,53.4,37.5,85.4,44.9,82.8,86.3,40.3,61.8,25.7,26.3,69.1,52,21.9,95.3,51.2,41,176.3,65.1,74,108.8,14.3,23.7,50.8,23.1,30.3,41.7
21,33.8,13.4,10.2,63.3638888888889,35.8638888888889,132.6,26.4,57.9,61,52.3,39.5,87.6,92.5,25.3,7.5,125.5,71.9,104.8,122.8,48.7,63,20.2,65.9,48.7,60.5,56.3,59.1,80.2,72,108.4,111,83.2,0,117.8,26.5,39.3,70
22,23.5,7.9,19.9,70.6731746031746,48.0342857142857,90.3,43.1,23.2,33.6,87.9,10.8,43.1,101,67,28.7,89.8,45.4,173.7,100.4,83.2,78.9,90.8,40.2,113.2,83.4,54.4,7.4,88.6,125.8,99.4,74.7,94.2,86.4,103,67.3,94.9,121.1
23,56.3,31.5030303030303,20.4,31.5030303030303,55.8030303030303,66.4,29.5,19.1,32.6,128.6,44.5030303030303,133.7,79.8,37.8,48.7,118.6,97.8,120.1,110.1,45.5,111.4,73.9,53.2,23.6,51.5,34.1,37.4,117,50.4,42.3,100.7,43.8,17.2,46.3,118.3,53.6,67.2
