Year,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0.0354838709677419,0.0354838709677419,0.0354838709677419,0,0,0,0.0506353861192571,0.0506353861192571,0,0.0506353861192571,0,0,0.0151515151515152,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,1.1,0,0
6,0.0666666666666667,0.6,0.0931372549019608,0.0666666666666667,0.0666666666666667,0,0.0666666666666667,0.0931372549019608,0.0666666666666667,0,0.0666666666666667,0.0666666666666667,0.0931372549019608,0,0.0666666666666667,0.0666666666666667,0.0666666666666667,0,0.0666666666666667,0.0666666666666667,0.0666666666666667,0,0.0666666666666667,0.0666666666666667,0.0666666666666667,0,0.966666666666667,0.0666666666666667,0.0666666666666667,0,0.0666666666666667,0.0666666666666667,0.0666666666666667,0,0.0666666666666667,0.0666666666666667,0.0666666666666667
7,0,0,2.56176470588235,4.87890756302521,17.1,0,0,2.56176470588235,0,0,25.9,2.31714285714286,0,27,22.5,0,0,0,0,15,0,0,0,32.7,0,0,0,0,0,0,0,28,0,0,0,0,0
8,3.05428571428571,12.9,7.05142857142857,26.4,3.99714285714286,0,0,0,0,0,0,0,41.1,0,11.6,0,0,0,11.6,0,0,0,49.7,0,0,0,12.3,12.3,0,0,0,33.8,0,0,0,0,35.1
9,0,0,3.46571428571429,0,0,0,39.4,0,0,0,13.8,3.46571428571429,0,53.9,0,0,0,0,0,36.4,10.6,0,0,10.6,20.5,0,17.7,0,0,17.4,0,0,16.4,12.2,0,0,0
10,2.96,0,5.42352941176471,9.5,8.6,8.2,2.6,4.9,7.8,3,11.8,3.02352941176471,5.98352941176471,5.5,17.1,0,0,36.2,0,11.9,0,15.1,0,7.6,7.2,6.8,3.8,6.1,5.2,1.9,2.8,0,0,7.1,0,5.1,8.2
