"","MIXEDVEGg"
"1981",0.169944225611998
"1982",0.141384548446475
"1983",0.138859379469375
"1984",0.150641029374677
"1985",0.148119468163604
"1986",0.18401034859797
"1987",0.160515329099954
"1988",0.146366583817927
"1989",0.164179126851362
"1990",0.144236554301446
"1991",0.146039724669896
"1992",0.140942730729109
"1993",0.155852959614639
"1994",0.176345092919202
"1995",0.150454249537208
"1996",0.196779769209258
"1997",0.183934919563809
"1998",0.154707115308277
"1999",0.150641029374677
"2000",0.1550833
"2001",0.1779624
"2002",0.1811913
"2003",0.1472955
"2004",0.1428395
"2005",0.1489418
"2006",0.1600068
"2007",0.1824598
"2008",0.1630905
"2009",0.1099116
"2010",0.1747477
"2011",0.1567539
"2012",0.1647526
"2013",0.1497143
"2014",0.1307325
"2015",0.1432077
"2016",0.1705225
"2017",0.1585357
"2018",0.1499152
"2019",0.2054096
