Year,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0.290866162162162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.903468,0,5.85858,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0.117818138888889,0,0,0,0.205013057807808,0,0,0,0,0,0,0,7.467665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0,0,0.275222457142857,0.0765750571428571,0,0,0,0.403029186872587,0,0,0,2.680127,0,0,0,0,0,0,0.1986474,0,0,0,0,0,0,0,4.728849,0,0,0,0,0,0,6.952659,0,0,0
7,0,0,0.359572571428571,0,0.359572571428571,0,0,0.407420540540541,0,0,0,0,0,4.503513,0,0.359572571428571,0,0,0,15.07456,0,0,0,3.661197,0,0,0,0,0,0,0,28.171881,0,0,0,0,0
8,0,0,0.339007027027027,4.554132,0.628634783783783,0,0,0,5.550983,0,10.18326,0,18.843182,0,4.431804,0.229262648648649,0,0,0,0,0,0,20.34111,0,0,0,8.482718,5.121266,18.844557,0,0,32.998846,0,0,0,0,0
9,0.1207445,0,0.36356347972973,0,0,0.952662972972973,18.419446,0,0,0,0.16187725,2.913938,0,22.305267,0,3.811305,0,0,2.994844,18.84536,0,0,0,0,8.577394,0,6.975116,0,0,0,0,0,3.093055,0,0,0,0
10,1.86904268611111,0,0.296202297297297,9.96156994594595,0,1.909753,1.48751220420421,0.552257162162162,7.613284,0,4.47905,0,0.895225555555556,0,10.52356,0,0,38.921403,0,6.067021,0,7.071622,0,63.06321,4.277574,17.3904,4.709539,0,0.6640947,0,0,0,0,0,0,0,0
11,0,3.538356,0,28.7466,27.64159,12.03362,20.28498,0,0,2.864149,1.16525694444444,0,0,0,0,0.168332138888889,0,10.2236,0,0,0,0,0.234523194444444,6.059957,0,6.47138,0,7.42182,0,3.621338,6.5706,0,0,2.97905,7.765117,0,4.818216
12,5.96476884253035,0,6.38342766554622,3.749176,1.03714788888889,0,2.28852666554622,15.1367,0,0,22.967027,3.378689,17.894694,21.683728,0,0,10.662439,19.378254,0,0,0,7.603481,7.449023,0,3.959787,15.327125,0,4.398887,0,0,6.975027,39.007863,0,0,28.167998,0,3.078345
13,0,0,21.6142898563492,0.913496388888889,6.571746,0,0,0,27.267732,47.158326,0,8.582232,5.038183,21.1806479,8.60464582857143,7.37659,0,5.098949,0,0,0,0,0,8.309078,0,25.270554,0,25.668897,0,0,0,0,21.940302,10.402166,16.603864,5.840076,0
14,33.423768,15.922083,6.81834342857143,1.8260445952381,65.496107,0,2.78278977777778,0,0,11.13209,257.74358,2.654922,1.134384,67.672665,2.390495,0,0,0,0,0,0,0,3.932824,7.321055,0,25.96667,0,0,22.92479,2.27595,11.86222,33.902605,0,0,39.046265,0,10.92914
15,11.835913,0,0,2.86664417142857,148.986441,0,2.52701672222222,0,9.679168,0,16.217477,0,18.478956,62.834541,23.723528,11.9608701714286,0,0,0,0,0,0,20.006994,0,0,6.168297,0,5.588623,167.82807,0,0,13.492716,0,0,8.958698,28.37792,11.184043
16,39.096822,0,0,5.065186,89.248112,35.2791,2.74024572222222,0,10.99984,0,112.4270195,72.090006,0,22.67445,16.896277,29.466527,0,2.265191,4.28126,0,0,0,0,5.562409,6.9389,14.177981,8.284076,46.183706,0,0,0,0,0,0,12.739009,10.214736,47.934564
17,3.45753377777778,0,0,6.330472,39.104927,18.44368,33.63531,0,22.062938,0,9.00640596666667,0,0,44.901558,23.476956,36.213619,3.652434,0,3.52152,28.668676,28.0788,0,0,0,13.519849,0,28.73189,12.124016,30.934732,0,0,0,40.13549,9.404102,0,31.8430038,76.579121
18,4.42559114285714,2.69563363888889,15.4434786666667,68.2240866111111,16.9732773373016,0,14.722391,11.47915,35.496814,0,27.786987,37.587115,48.40818,44.577419,27.180121,125.28376,29.053745,28.462952,13.033039,5.01556,14.617931,43.394297,20.95849,44.834909,9.786702,17.13017,31.105239,44.803517,42.971854,35.903235,7.872666,9.43123,0,49.958853,50.015013,15.750422,59.923129
19,34.2453785882353,5.586025,50.120556,68.0312965882353,49.1917866285714,53.916277,76.733536,0,28.810059,18.415574,42.545365,119.540826,63.47121630014,52.213341,80.690982,47.442684,143.64517,18.780478,53.115399,7.999849,32.579028,6.767931,41.116879,32.64441,50.905615,59.781247,49.77082,10.743416,91.047232,66.375593,16.330741,89.274993,15.635188,49.07463,89.501226,73.445835,37.179797
20,57.4331821027778,49.22193,95.652709,212.70962,43.714923,110.23034,73.885876,58.719372,85.85759,73.73187,94.638528,50.6727028333333,120.19558,82.386483,133.12952,35.636081,80.083663,47.587123,43.495765,31.767791,30.125268,28.593754,43.972082,34.19142,72.914648,39.878017,54.8613737,104.088485,37.958577,57.085424,65.463863,56.066149,33.631938,109.857633,47.436901,50.181611,40.189502
21,97.2371220555556,32.081408,127.049671,86.7221282222222,32.5052694472222,126.110369444444,60.864148,69.975201,31.4371531,129.81479,49.602916,61.728882,120.6828,177.8891,186.462027,151.103847,48.517467,62.372979,67.901784,64.863013,34.548625,19.937255,72.149661,125.163002,144.084553,35.23511,114.148498,65.546304,50.156438,99.4612,171.584084,123.97564,79.150327,130.859373,50.193482,18.394614,75.032919
22,136.140121,26.756039,46.095696,239.356462388889,39.881815,133.602887,105.319821638889,33.5040824166667,87.719058,70.658282,77.986203,25.264302,102.387831,71.403673,58.657662,122.809134,100.621409,67.8816831,87.279649,51.847307,111.682374,66.138977,72.332028,142.35907,85.177272,41.048576,12.547532,80.06615,65.010377,95.75233,48.51037,121.828353,80.82227,131.390995,106.920348,100.358075,62.75785
23,50.600434,17.2208590928571,7.13036763888889,57.8478335277778,37.7072068055556,118.02176,51.195314,15.122883,181.836546,79.710348,24.0214840928572,151.201464838889,58.009256,52.666189,83.857594,109.52261,159.206983,109.298169,75.94045,54.533371,84.633476,51.269506,36.823958,43.868462,82.96434,62.294407,69.166279,134.967771,41.0447,48.612884,95.43503,75.3784012,96.147765,55.730531,136.089549,224.921363,12.60652
24,40.323135,64.968048,133.554522,113.485639,63.654763,52.349344,10.66653,26.175956,78.75102325,60.802961,101.171197,95.046853,87.565794,141.299451,18.497002,71.952715,140.516676,48.943955,46.666084,36.573031,93.314681,23.571287,60.169642,95.815288,94.252089,39.702049,112.258094,115.65119,52.612295,45.854057,92.339774,105.992497,90.452996,83.868866,132.081273,130.904026,124.29808
25,18.036786,52.2156711862745,71.551688,173.089811669444,60.044631,64.840616,47.2304513529412,168.30272,91.766523,39.061438,43.9543953529412,73.258211,69.469167,53.876778,0,25.926738,40.998122,22.98484,31.584752,34.744352,28.9117871,5.724556,30.715281,59.065673,86.39196,65.820839,27.658523,41.806657,13.63749,25.57273,50.2929227,79.612055,76.010456,38.418781,32.319851,92.295236,67.967926
26,14.0725643823529,31.612925,4.96902738235294,12.699451,53.06165,46.9197582966387,1.29840594444444,52.129297,0,9.53154605555556,0,25.575876,3.45469291428571,9.843015,4.960371,22.812115,17.3336190277778,7.86696,2.777111,20.80421,9.984233,11.037596,6.827136,7.522611,24.446457,6.640478,0,9.818404,7.020755,8.642939,9.451208,30.764428,31.989285,30.998819,1.86694,14.518304,25.569377
27,0,7.36481713888889,6.000008,17.43019,0.759154514285714,0,61.61964,32.798682,13.752797,0.759154514285714,5.580263,16.1994604444444,0,14.574885,0,12.1837137222222,10.664978,9.19622,0,11.29379,9.042389,0,9.100857,0,0,4.800641,0,0,14.441722,0,17.45732,0,15.51142,16.715083,9.544062,0,28.937472
28,0,0,0,34.22201225,2.70407,12.663121,0.3443775,0,31.854828,5.5576,4.052489,0,0,0,3.784095,11.5521585,8.798294,10.772033,0,0,0,0,0,0,0,3.300898,0,0,0,0,38.67692,24.118809,0,0,0,0,123.42431
