"","1","2","3"
"1981",40,50,75
"1982",51,45,75
"1983",43,43,75
"1984",34,39,75
"1985",50,50,75
"1986",74,50,75
"1987",75,50,75
"1988",67,42,75
"1989",71,50,75
"1990",47,50,75
"1991",66,50,75
"1992",42,49,75
"1993",75,50,75
"1994",68,50,75
"1995",35,50,75
"1996",75,50,75
"1997",71,50,75
"1998",75,50,75
"1999",41,50,75
"2000",46,50,75
"2001",74,50,75
"2002",52,50,75
"2003",51,50,75
"2004",50,50,75
"2005",46,50,75
"2006",56,50,75
"2007",62,50,75
"2008",74,49,75
"2009",45,50,75
"2010",75,50,75
"2011",51,50,75
"2012",56,50,75
"2013",52,50,75
"2014",50,50,75
"2015",50,48,75
"2016",50,50,75
"2017",45,50,75
"2018",75,50,75
"2019",75,50,75
"2020",66.2307692307692,50,75
