Year,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
1,0.0802084594594595,0,0,0,0,0,0.138056,0.138056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.970016,0,0,0,0,0,0,0,0,2.967713
2,0,0,0.398488648648649,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.74408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0.554972,0,0,0,0,0,0.554972,0,0.554972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0.0277097027027027,0,0,0,0,0,0,0,1.025259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,3.307219,0,0,0,0,0.954056216216216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.30008,0,0
6,0.132709,1.32709,0.132709,0.132709,0.132709,0,0.132709,0.381247,0.132709,0,0.132709,0.132709,0.132709,0,0.132709,0.132709,0.132709,0,0.132709,9.328615,0.132709,0,0.132709,0.132709,0.132709,0,0.132709,0.132709,0.132709,0,0.132709,0.132709,0.132709,0,0.132709,0.132709,0.132709
7,0,0,0.0717979142857143,0,0.0717979142857143,0,0,17.8388,0,0,0,0.233514810810811,0,2.512927,0,0.0717979142857143,0,0,0,0,0,0,8.640048,4.752894,0,0,0,0,0,0,0,3.370278,0,0,0,0,0
8,0,23.58452,0.321436756756757,1.651107,1.34550778378379,0,0,0,0,0,0,0,3.551847,0,11.387561,0,0,0,0,0,0,0,27.820376,0,0,0,0,12.76929,13.868281,0,0,38.91137,0,0,0,0,0
9,0.14783175,15.0171,0.350043728978979,0,0,0,1.441592,0,0,0,0.0400442222222222,0,0,24.196688,0,0,0,0,0,0,0,0,0,0,9.192544,0,2.532333,0,0,0,0,0,2.899474,0,6.000207,5.321943,0
10,0.610143945945946,0,0.490141108108108,8.86503943243243,0,1.706295,1.50505448798799,0.748855405405405,18.502324,0,0,0,0.615006055555556,5.913525,19.297241,0,0,45.904473,0,6.332042,0,5.984765,0,0,0,17.53387,15.25806,0,0,0,0,0,0,0,0,0,2.903328
11,0,5.908104,0,8.512501,55.31354,4.529357,10.4042738611111,0,1.9981,3.569848,0.602994722222222,0,4.960988,3.700562,0,0.22970675,7.94686,8.348848,0,0,0,0,8.34628158333333,54.1317,0,11.82813,0,2.859224,0,2.732076,19.527017,0,0,15.52765,17.668531,0,5.127192
12,6.64642331003735,0,12.2019895521008,1.681326,1.63939361111111,0,2.3444426092437,28.093797,0,0,36.389495,8.551633,15.48163,42.401494,0,6.578915,0,13.64785,13.20447,0,0,0,4.614706,3.936031,0,6.153108,0,10.88698,5.272914,0,0,23.462489,0,0,6.058935,0,7.038233
13,5.492399,0,3.97555201269842,1.25026708333333,4.06314,5.317036,0,0,33.785239,43.269002,0,36.054405,11.086986,22.974651,17.7185164571429,9.300562,0,0,7.756855,0,0,0,0,16.897611,0,12.209256,0,40.080487,0,5.427028,0,0,20.69641,41.339311,10.509059,3.650167,0
14,8.347784,4.866098,14.71740624,2.35694018444444,68.430525,0,14.9273609444444,0,0,2.950391,22.729595,0,0.8044164,85.039333,47.819729,12.42789,0,0,0,0,0,0,4.118352,0,1.589034,27.124178,2.802412,0,19.193345,11.533504,8.514324,72.490565,0,0,78.696352,0,14.953647
15,2.005776,0,0,8.52526788571429,139.358299,0,2.30145861111111,0,5.71385,0,19.703886,0,19.801343,58.34768,54.643187,13.2358558857143,0,0,0,0,0,0,5.828455,4.494084,0,0,0,0,47.702344,0,0,31.589329,9.516286,13.219049,13.206011,24.95198,27.939551
