"","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"1",0.2939774,0.5125382,0.2370138,0.2601724,0.3848432,0.2826915,0.2900462,0.2561286,0.2759723,0.2624324,0.2513824,0.3669888,0.3850031,0.273533,0.2664443,0.3001754,0.2965788,0.3035732,0.623103,0.2687833,0.2031102,0.215477,0.2061647,0.331369,0.1833648,0.1926424,0.21959,0.1737205,0.1747947,0.5289037,0.3466301,0.1895169,0.2115549,0.2120146,0.2123566,0.2239117,0.1555832,0.1527641,0.5094463,0.2510536
"2",0.3372751,0.6706796,0.3474366,0.3219225,0.4981593,0.3319993,0.3466271,0.2953914,0.4070396,0.3150642,0.3364787,0.4706708,0.718369,0.3408874,0.3170401,0.3612603,0.3772589,0.386156,0.7495604,0.3418826,0.2583334,0.269282,0.2622095,1.241611,0.2332116,0.2420165,0.2862155,0.6068955,0.2283049,0.3720365,0.7715918,0.2413448,0.2830119,0.2754529,0.2917951,0.2755676,0.2025348,0.2013344,0.2208737,0.3245447
"3",0.4681618,0.480922,0.4978242,0.4700573,0.7812687,0.5017583,0.4755636,0.4756179,0.5373058,1.219538,0.4783155,0.9033338,0.7321316,0.4910161,0.5114897,0.5774624,0.5705435,0.5839989,1.064234,0.5171352,0.376976,0.4129121,0.3826311,0.615008,0.3403143,0.3230744,0.4270331,0.9462134,0.3090971,0.5598336,0.5249117,0.3290686,0.582153,0.581947,0.5794737,0.5841468,0.4293317,0.453861,0.5369568,0.7667628
"4",0.3925967,0.6847316,0.6901457,0.3820995,0.7964642,0.6264443,0.4392028,0.8873799,0.5051666,0.6382686,0.4412999,0.5863974,0.6825141,0.6102852,0.4936133,0.5348386,0.4050577,0.3726021,0.3959514,0.4262793,0.3023753,0.3559071,0.7506744,0.4557267,0.3546454,0.2883264,0.4030547,0.2776659,0.5808978,0.5114858,0.3281177,0.300925,0.4476842,0.5332412,0.5692751,0.3846358,0.768768,0.3958207,0.560095,0.4233075
"5",0.5994322,1.917459,0.9141279,0.5776418,1.16838,0.9272385,0.6156297,1.181765,0.5722628,1.115595,0.6958526,0.7712177,1.045228,0.8914447,0.7423326,0.8357298,0.622506,0.5740839,0.580467,0.4636109,0.463199,0.50534,1.149748,0.6979834,0.5432059,0.4731714,0.74384,0.4858636,0.851857,0.5477684,0.4746327,0.4510062,0.5756292,0.8185654,0.6994762,0.5766287,2.315428,0.6530023,1.028417,0.645568
"6",0.9057828,1.877111,1.221419,1.10330840333333,1.537617,1.037289,1.022027,1.10330840333333,0.98143,0.8225684,0.9193801,1.10330840333333,1.334836,1.937204,1.035934,1.10330840333333,0.7992351,0.7809922,0.9232938,1.10330840333333,1.182346,1.01188,2.433697,1.10330840333333,0.7759874,0.6651663,1.009588,1.10330840333333,1.060071,0.6509935,0.7140106,1.10330840333333,0.75479,1.010528,0.9256482,1.10330840333333,1.689254,0.8512787,1.227894,1.10330840333333
"7",3.823298,13.64201,2.068775,3.215029,9.084909,2.92441,5.657838,1.752225,3.417887,12.71683,2.503829,3.765847,5.923474,1.779812,4.218083,14.11417,3.420477,3.925858,3.051142,1.680872,3.703754,4.914866,3.502904,2.548749,8.26461,9.666275,3.317642,2.22312,1.970476,2.732517,1.543755,1.606254,1.855536,2.845562,3.25974,2.447492,3.468523,2.343856,3.128763,4.30849151282051
"8",9.199287,6.411237,2.85305,13.19791,3.154629,2.278757,2.88469,1.683974,3.049295,4.485775,2.35676,16.1959,15.06256,1.644108,10.3847,5.303882,8.48545,3.55979,2.338584,1.630726,4.49361,2.884611,4.34611,2.453466,16.88628,6.899475,2.170463,1.918538,2.001678,9.460394,8.462812,1.841408,2.572614,12.74302,2.758296,4.652292,2.597114,2.711025,5.141241,5.46552592307692
"9",17.88382,3.856297,2.387404,3.889781,16.88986,3.745601,3.614111,2.080921,8.313735,6.233621,3.067705,5.939666,7.681314,2.094497,6.497122,23.63129,4.235166,4.803243,2.991421,3.54296,7.278713,9.708225,5.516206,3.115041,14.5971,3.764387,12.37752,1.855563,7.980912,4.4991,1.619003,2.502268,2.743235,1.717543,4.331229,4.172607,5.167479,10.11424,4.299503,6.17280535897436
"10",9.009706,32.4595,4.983016,6.743015,31.48851,8.234261,9.588797,5.138875,5.115646,4.526214,26.06605,4.648539,11.1771,4.998383,8.946489,9.291231,12.19329,5.75954,5.366947,31.97231,5.512759,8.659326,5.210804,13.76938,8.673778,8.406052,12.51969,23.90074,9.121129,6.744078,5.695222,5.857119,4.885181,10.71003,5.232837,10.83673,5.933135,9.97843,5.645678,10.384603
"11",14.83629,15.81039,4.204485,14.41983,14.90596,10.65474,8.9035,7.940314,13.12274,3.199698,7.029486,8.150938,14.76386,9.772898,15.77901,15.28315,5.779504,6.189985,8.114829,20.31883,5.800789,5.189265,5.622641,6.974607,19.90465,22.37656,6.679179,15.0653,6.064759,13.4584,4.219838,8.033303,14.31596,4.552853,9.872873,12.40864,7.928955,7.894092,16.55164,10.5665318205128
"12",10.08944,16.1179,9.367874,9.746282,26.10599,9.432646,3.765612,3.646389,8.477664,13.21906,5.521449,12.42613,40.95008,14.46473,8.469311,14.29951,6.762043,5.104779,4.60324,19.10797,6.651369,2.667356,4.675856,11.80781,22.12134,9.110444,11.43073,11.55269,5.880606,20.81798,15.46007,7.951812,4.594629,21.07093,9.269493,13.74287,16.91326,11.13407,4.933411,11.6273032051282
