"","MIXEDVEGg"
"1981",0.362155742474157
"1982",0.381823030317911
"1983",0.300420585113066
"1984",0.234142809614151
"1985",0.342566571796842
"1986",0.302724436276364
"1987",0.30630382456025
"1988",0.37453400467304
"1989",0.356038191877434
"1990",0.377748994129391
"1991",0.353799424902909
"1992",0.392118719525371
"1993",0.338271297786224
"1994",0.363210041772646
"1995",0.316274133173618
"1996",0.302620293504371
"1997",0.303583483008532
"1998",0.354931841367836
"1999",0.343698947911993
"2000",0.4015762
"2001",0.3230887
"2002",0.2915046
"2003",0.3551302
"2004",0.3452698
"2005",0.3330713
"2006",0.3282805
"2007",0.3373637
"2008",0.3778883
"2009",0.3510019
"2010",0.3768788
"2011",0.3192554
"2012",0.3308043
"2013",0.3414376
"2014",0.3808675
"2015",0.2833903
"2016",0.2981744
"2017",0.3852327
"2018",0.3381877
"2019",0.3711319
