Time,Monitoring Merged Station-Satellite Rainfall
1-10 Jan 1981,0.0
11-20 Jan 1981,1.0
21-31 Jan 1981,4.0
1-10 Feb 1981,1.0
11-20 Feb 1981,4.0
21-28 Feb 1981,1.0
1-10 Mar 1981,18.0
11-20 Mar 1981,30.0
21-31 Mar 1981,68.0
1-10 Apr 1981,42.0
11-20 Apr 1981,32.0
21-30 Apr 1981,49.0
1-10 May 1981,6.0
11-20 May 1981,19.0
21-31 May 1981,5.0
1-10 Jun 1981,4.0
11-20 Jun 1981,8.0
21-30 Jun 1981,23.0
1-10 Jul 1981,111.0
11-20 Jul 1981,120.0
21-31 Jul 1981,117.0
1-10 Aug 1981,50.0
11-20 Aug 1981,94.0
21-31 Aug 1981,93.0
1-10 Sep 1981,44.0
11-20 Sep 1981,81.0
21-30 Sep 1981,37.0
1-10 Oct 1981,23.0
11-20 Oct 1981,4.0
21-31 Oct 1981,3.0
1-10 Nov 1981,3.0
11-20 Nov 1981,2.0
21-30 Nov 1981,7.0
1-10 Dec 1981,0.0
11-20 Dec 1981,0.0
21-31 Dec 1981,2.0
1-10 Jan 1982,11.0
11-20 Jan 1982,9.0
21-31 Jan 1982,6.0
1-10 Feb 1982,8.0
11-20 Feb 1982,11.0
21-28 Feb 1982,3.0
1-10 Mar 1982,25.0
11-20 Mar 1982,7.0
21-31 Mar 1982,37.0
1-10 Apr 1982,46.0
11-20 Apr 1982,21.0
21-30 Apr 1982,7.0
1-10 May 1982,50.0
11-20 May 1982,6.0
21-31 May 1982,9.0
1-10 Jun 1982,3.0
11-20 Jun 1982,21.0
21-30 Jun 1982,21.0
1-10 Jul 1982,42.0
11-20 Jul 1982,44.0
21-31 Jul 1982,55.0
1-10 Aug 1982,94.0
11-20 Aug 1982,108.0
21-31 Aug 1982,99.0
1-10 Sep 1982,89.0
11-20 Sep 1982,60.0
21-30 Sep 1982,30.0
1-10 Oct 1982,55.0
11-20 Oct 1982,65.0
21-31 Oct 1982,5.0
1-10 Nov 1982,37.0
11-20 Nov 1982,6.0
21-30 Nov 1982,8.0
1-10 Dec 1982,0.0
11-20 Dec 1982,3.0
21-31 Dec 1982,0.0
1-10 Jan 1983,5.0
11-20 Jan 1983,0.0
21-31 Jan 1983,10.0
1-10 Feb 1983,15.0
11-20 Feb 1983,6.0
21-28 Feb 1983,0.0
1-10 Mar 1983,0.0
11-20 Mar 1983,25.0
21-31 Mar 1983,0.0
1-10 Apr 1983,39.0
11-20 Apr 1983,33.0
21-30 Apr 1983,11.0
1-10 May 1983,14.0
11-20 May 1983,24.0
21-31 May 1983,66.0
1-10 Jun 1983,15.0
11-20 Jun 1983,0.0
21-30 Jun 1983,15.0
1-10 Jul 1983,25.0
11-20 Jul 1983,51.0
21-31 Jul 1983,71.0
1-10 Aug 1983,74.0
11-20 Aug 1983,83.0
21-31 Aug 1983,80.0
1-10 Sep 1983,39.0
11-20 Sep 1983,59.0
21-30 Sep 1983,19.0
1-10 Oct 1983,23.0
