Year,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
1,0.341145675675676,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0.301634166666667,0,0.418351815315316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.177383,0,0,0,0,0,0,0,0,0,0,0
3,0.235085805555556,0,0,0,0,0,0,0,0.235085805555556,0,0,0,0,0,8.463089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0.0789208918918919,0,0,0,0,0,0,0,2.920073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,3.06378392436975,0.163415352941176,0.101993444444444,2.90036857142857,101.5129,4.001195,0,0.26540879738562,0,0,3.23911135680218,0,0,0,0,0,0,0,0,0,0,0,5.556122,0,0,0,0,0,0,0,0,0,0,0,10.158879,0,0
6,0.4065545,4.065545,0.570469871428571,0.570469871428571,0.4065545,0,0.4065545,0.570469871428571,0.4065545,0,0.4065545,6.1435925,0.4065545,0,0.4065545,0.4065545,0.4065545,0,0.4065545,0.4065545,0.4065545,0,0.4065545,0.4065545,0.4065545,0,0.4065545,0.4065545,0.4065545,0,0.4065545,0.4065545,0.4065545,0,0.4065545,0.4065545,0.4065545
7,0,4.682661,0.531415685714286,0,17.8156356857143,0,0,0.585277594594594,0,0,0,0,0,0,0,0.531415685714286,0,0,0,5.618149,9.280026,0,0,0,0,0,7.692584,0,0,0,0,15.949504,0,0,0,0,0
8,0,0,0.304135594594595,2.572393,0.785196513513513,0,53.79062,0,0,7.960517,0,0,0,0,13.837341,0.365794594594595,0,0,0,0,0,0,15.78958,0,0,0,0,0,13.733234,0,0,50.79314,0,0,0,0,0
9,0,0,8.28900366891892,0,0,0.489749459459459,10.90645,0,17.43117,0,12.00373275,0,0,26.238295,0,19.103789,0,0,0,18.12073,0,0,0,0,4.421673,0,0,0,0,0,0,0,0,0,0,0,0
10,0.54853,0,0.100614945945946,0.120263351351351,8.097804,7.79217,0.904173205705706,0.483966243243243,0,0,0,0.389095837837838,0.600198611111111,4.20486,30.718425,0,0,18.77061,0,11.432823,10.14738,33.723112,0,0,0,17.53661,0,10.432616,0,2.496012,0,0,0,4.249166,0,0,16.7941
11,0,0,0,0,0,5.499865,11.5734408666667,0,0.8496812,17.113115,0.515313333333333,0,16.67131,0,23.705606,0.0776036111111111,0,26.864628,0,0,0,0,0.477785416666667,23.73129,4.64395,13.015732,0,21.36637,0,2.330912,0,0,0,0,8.22432,0,0
12,8.60787051059757,0,12.5709176621849,0,1.71648683333333,0,3.33321071932773,13.677208,0,57.112199,23.274395,2.779765,10.28555,40.4741,0,0,0,0,0,0,0,19.08755,6.049422,0,2.262373,25.238184,7.890279,6.475687,25.44929,0,7.04493,28.41736,0,0,13.57768,0,6.412731
13,10.689855,0,24.2049728722222,0.844115472222222,0,0,0,0,37.064504,25.194146,0,9.623631,10.191281,23.747961,1.8465394,11.47127,0,8.982605,5.041748,0,0,0,5.316638,4.096134,0,35.501044,0,56.257544,6.383113,6.165943,0,18.212706,39.019732,34.811637,12.710175,12.67315,3.378675
14,21.413275,13.992422,12.9358503142857,4.29720392539682,144.542796,0,11.4842160555556,0,1.226104,0,34.006793,17.994631,0,73.563502,98.651697,20.662974,0,0,0,0,0,0,3.470699,0,0,45.206015,0,0,41.251961,0,28.91515,60.818986,0,24.216573,55.302474,0,0
15,11.890607,23.51155,3.872966,4.3662744,75.658488,0,5.58079847222223,0,5.992844,0,3.015697,0,17.472117,52.284464,66.778421,13.5713994,0,0,0,0,2.947049,0,0.9563854,41.476894,0,3.580648,0,0,35.3321804,5.633852,0,54.463129,22.792307,0,0,0,3.951692
16,28.465306,0,0,0,0,6.86995,1.07818583333333,0,0,0,2.32857894444444,0,0,85.092519,23.596638,0,0,19.273016,0,12.16201,0,0,10.13419,0,0,10.344098,11.43458,0,0,0,0,0,0,0,0,0,0
17,0.180863305555556,12.24576,0,0,7.352485,0,0,0,8.237685,0,0.205544916666667,0,0,1.179683,11.85556,0,0,0,0,0,0,0,0,0,5.145681,0,6.511079,0,2.349551,0,0,0,0,0,0,17.522896,9.013751
18,2.08601551428571,26.6188208333333,6.07040091666667,150.700836583333,5.19652798650793,13.28475,0,11.10852,47.639397,0,0,28.13247,0,0,25.335667,0,21.038391,8.708221,13.024498,29.157921,9.25471,12.116867,17.869824,0,186.438205,6.745543,0,0,0,11.927372,7.440736,0,49.47106,11.29347,8.821318,0,16.119076
19,1.7624055,11.967205,27.903019,59.7600995,2.59555685714286,32.78156,42.062879,17.169868,66.814448,2.82832,0,40.611236,6.39955824603175,54.560702,29.87162,59.702071,146.37115,47.957007,9.584682,11.333506,19.465639,4.402939,55.5517,23.77385,40.157204,39.959317,14.242925,15.280874,40.13251,41.420146,17.78708,35.503086,19.532001,14.73053,73.547856,71.844225,21.770755
20,23.2314350277778,30.64572,20.696169,21.78235,3.357552,159.399067,76.382538,69.178512,100.9752927,40.858199,111.29584,129.850623944444,48.20168,95.195431,142.38861,118.335659,89.816804,35.97994,56.855769,39.02114,61.510481,51.442669,37.304049,27.90731,52.289238,43.212095,288.69104,175.279463,42.314475,112.981841,101.170231,23.721746,35.344615,111.40434,105.326012,81.638905,24.78142
21,88.8961395833333,49.005129,71.547766,113.292615916667,48.5847595,182.028022083333,12.824375,157.716548,139.884606,52.04795,171.868475,66.730277,131.846438,31.832924,90.643681,145.36022,92.67614,62.488076,84.98794,74.400103,64.71791,18.908538,74.990688,155.033418,119.30745,127.203521,118.06539,118.786593,44.830648,142.129374,87.782228,79.712817,8.227435,112.368821,84.771433,13.819099,42.183395
22,85.823768,39.825523,57.60862,87.5063370555556,61.867539,100.62562,56.2298786666667,25.0036476944444,57.788829,72.143297,68.937921,41.077611,101.875998,110.025721,67.726785,114.757211,44.723683,77.247113,86.305795,55.945799,116.822118,65.992612,40.488077,117.397947,108.492027,78.101549,18.5199,116.060973,51.829276,139.619729,41.063337,98.375271,101.727708,109.332742,115.614046,62.931774,53.124715
23,109.29351,17.9335685920635,58.9608635,60.5993192222222,68.7353140833333,181.204745,80.058403,38.557395,100.8869035,134.049623,34.6311331059524,171.4946995,104.800228,173.8776,58.834849,107.132778,112.376004,101.542677,59.163203,35.883599,104.581287,48.921495,30.438016,41.506286,23.83416,66.906358,56.559565,131.792747,48.787374,51.725294,114.752133,88.2387,44.63246,134.25597,156.655603,75.077892,54.60544
24,36.552078,3.270809,96.584714,128.716133,7.383977,105.73119,86.880954,13.266628,21.0662624166667,57.918673,70.549869,194.3082,61.530809,112.460986,43.63092,92.265426,144.676668,36.717645,46.773828,22.12735,64.950121,5.509878,61.005115,121.150369,65.166598,38.248306,103.566472,150.993711,38.734599,88.032638,147.948563,91.961893,65.587392,17.552695,139.769949,117.145965,41.940598
25,0,15.127530870915,25.667904,93.6107856111111,5.668623,63.544197,38.1396706764706,94.72767,31.001276,23.80553,69.6111696764706,66.760592,15.953365,28.931657,0,18.979168,84.922355,16.020497,12.274273,25.316029,35.412502,12.24579,29.67655,87.922811,62.507438,60.487844,16.14102,44.859281,32.013263,2.959021,29.430765,47.19447,50.593199,26.402416,25.818929,99.742787,41.747265
26,12.0574216470588,59.13727,0.862301647058824,29.149625,0,35.987084389916,1.33471136111111,10.64901,0,24.1005556111111,0,20.122715,1.00168174285714,8.4206,1.909676,20.738531,1.11682225,4.501294,22.28571,0,0,0,0,2.020663,22.305335,4.432983,0,0,6.185595,0,0,20.221442,24.331263,9.002484,0,12.243098,35.920355
27,0,18.6309945277778,0,49.29577,7.9365352,0,0,0,5.020319,0.1152302,5.315076,13.2846588888889,0,0,0,1.52672805555556,7.377008,3.430837,0,27.11051,8.183499,0,3.441513,0,0,1.742392,0,0,0,0,0,0,3.358142,0,0,0,46.721494
28,0,0,0,0.522983277777777,4.561867,0,0.203551583333333,0,19.640338,0,2.2461,3.83561,0,0,9.201753,17.0365747222222,9.347441,0.9428476,0,6.203463,0,0,0,6.612695,0,0,14.80372,0,0,0,4.207903,19.086767,4.358348,0,0,0,106.408012
29,0,0,0,0,0,18.75861,29.498066,0,0,0,0,0,0.468009314285714,0,73.0504003142857,0,19.94618,8.376445,0,1.992667,0,2.994159,0,4.957491,10.82288,0,0,0,0,0,14.324088,4.152478,0,0,0,18.775728,23.21576
30,0,1.29118191746032,1.49555427777778,7.79689658333333,22.677866,0,0.712206228571429,0.712206228571429,3.237483,22.646325,18.202398,0,0,0,33.3018456285714,0,0,11.31956,31.23292,5.654233,0,0,0,79.87242,0,8.830313,0.6235434,0,0,44.940664,0,0,7.694057,0,4.526188,9.92557,0
31,0.128000555555556,0.464873428571429,0,0.134394685714286,0,0,1.15799415079365,0.250351213492064,0,4.60802,0,0,0,0,10.09648,0,0,17.187794,0,0,0,0,0,0,0,8.878249,0,0,24.22463,12.940885,0,0,6.799021,3.21381,0,0,16.562743
32,0.525129676470588,0.704976176470588,0,0,0,0.345862928571429,0.525129676470588,0,0.166016428571429,0,0,0,0,0,8.184813,0,5.810575,9.669596,0,0,0,0,0,0,0,0,0.1798465,0,0,0,6.114781,0,0,0,0,0,0
33,0,1.39454254033613,0,0,0,5.32496754033613,0,0,0,0,0,0.194234911764706,0,147.30323,2.982407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.469541,0,0,0,0,0,33.354876
34,0,0,0,0,0,0.2485016,0.2485016,0,8.697556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,0,0,0,0,0,1.16814886666667,0,1.0425002,0,0,0,0,17.92593,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.523352,0,0,7.336767,11.22481
36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
