Time,precipitation
1-10 Jan 1981,0.9886562
11-20 Jan 1981,0.7788312
21-31 Jan 1981,0.9351002
1-10 Feb 1981,1.017236
11-20 Feb 1981,1.358238
21-28 Feb 1981,1.062492
1-10 Mar 1981,4.335069
11-20 Mar 1981,6.055934
21-31 Mar 1981,11.82815
1-10 Apr 1981,2.953422
11-20 Apr 1981,6.027624
21-30 Apr 1981,10.09928
1-10 May 1981,2.204405
11-20 May 1981,11.98259
21-31 May 1981,3.071776
1-10 Jun 1981,2.857951
11-20 Jun 1981,4.44362
21-30 Jun 1981,10.97991
1-10 Jul 1981,125.7872
11-20 Jul 1981,74.87456
21-31 Jul 1981,87.42462
1-10 Aug 1981,75.13864
11-20 Aug 1981,111.3644
21-31 Aug 1981,89.70059
1-10 Sep 1981,14.93679
11-20 Sep 1981,9.46243
21-30 Sep 1981,3.139028
1-10 Oct 1981,4.588554
11-20 Oct 1981,1.113785
21-31 Oct 1981,1.169078
1-10 Nov 1981,1.443717
11-20 Nov 1981,1.409897
21-30 Nov 1981,1.748515
1-10 Dec 1981,1.403479
11-20 Dec 1981,2.112366
21-31 Dec 1981,2.130768
1-10 Jan 1982,2.763608
11-20 Jan 1982,2.219235
21-31 Jan 1982,0.9676677
1-10 Feb 1982,3.840271
11-20 Feb 1982,3.366628
21-28 Feb 1982,3.766279
1-10 Mar 1982,15.58878
11-20 Mar 1982,6.23563
21-31 Mar 1982,4.172427
1-10 Apr 1982,12.4917
11-20 Apr 1982,13.58845
21-30 Apr 1982,10.1659
1-10 May 1982,7.137953
11-20 May 1982,19.32213
21-31 May 1982,7.979336
1-10 Jun 1982,5.499557
11-20 Jun 1982,13.68746
21-30 Jun 1982,6.31744
1-10 Jul 1982,20.54979
11-20 Jul 1982,24.2369
21-31 Jul 1982,98.76273
1-10 Aug 1982,64.33144
11-20 Aug 1982,79.93678
21-31 Aug 1982,79.45221
1-10 Sep 1982,22.44386
11-20 Sep 1982,2.923321
21-30 Sep 1982,4.289903
1-10 Oct 1982,6.199738
11-20 Oct 1982,1.784646
21-31 Oct 1982,0.6434145
1-10 Nov 1982,1.242951
11-20 Nov 1982,1.686264
21-30 Nov 1982,2.076763
1-10 Dec 1982,1.942238
11-20 Dec 1982,1.880853
21-31 Dec 1982,1.850234
1-10 Jan 1983,0.9638249
11-20 Jan 1983,1.05257
21-31 Jan 1983,1.39906
1-10 Feb 1983,3.055337
11-20 Feb 1983,2.881032
21-28 Feb 1983,2.178295
1-10 Mar 1983,1.599083
11-20 Mar 1983,2.306378
21-31 Mar 1983,1.766145
1-10 Apr 1983,2.95813
11-20 Apr 1983,3.611372
21-30 Apr 1983,14.27248
1-10 May 1983,23.33446
11-20 May 1983,26.72765
21-31 May 1983,23.69186
1-10 Jun 1983,15.46303
11-20 Jun 1983,5.142345
21-30 Jun 1983,8.256948
1-10 Jul 1983,13.33732
11-20 Jul 1983,50.47996
21-31 Jul 1983,89.91357
1-10 Aug 1983,98.19957
11-20 Aug 1983,66.69415
21-31 Aug 1983,144.7856
1-10 Sep 1983,20.37631
11-20 Sep 1983,8.179615
21-30 Sep 1983,3.632387
1-10 Oct 1983,1.871671
11-20 Oct 1983,4.521843
21-31 Oct 1983,1.192464
1-10 Nov 1983,2.383143
11-20 Nov 1983,4.179445
21-30 Nov 1983,3.288614
1-10 Dec 1983,1.915946
11-20 Dec 1983,1.885449
21-31 Dec 1983,1.831801
1-10 Jan 1984,1.119183
11-20 Jan 1984,1.024743
21-31 Jan 1984,1.393477
1-10 Feb 1984,1.22132
11-20 Feb 1984,1.291129
21-29 Feb 1984,2.347792
1-10 Mar 1984,3.131114
11-20 Mar 1984,3.639449
21-31 Mar 1984,2.774557
1-10 Apr 1984,3.552265
11-20 Apr 1984,4.050483
21-30 Apr 1984,3.358523
1-10 May 1984,4.182023
11-20 May 1984,18.45348
21-31 May 1984,11.60224
1-10 Jun 1984,10.26268
11-20 Jun 1984,6.749026
21-30 Jun 1984,15.22653
1-10 Jul 1984,36.48361
11-20 Jul 1984,46.51773
21-31 Jul 1984,65.56822
1-10 Aug 1984,53.20326
11-20 Aug 1984,30.20577
21-31 Aug 1984,13.30342
1-10 Sep 1984,19.77736
11-20 Sep 1984,8.319862
21-30 Sep 1984,5.643517
1-10 Oct 1984,1.43359
11-20 Oct 1984,0.9754823
21-31 Oct 1984,0.9328047
1-10 Nov 1984,3.560239
11-20 Nov 1984,4.545142
21-30 Nov 1984,3.006882
1-10 Dec 1984,3.050737
11-20 Dec 1984,2.834777
21-31 Dec 1984,2.653131
1-10 Jan 1985,1.507688
11-20 Jan 1985,1.446764
21-31 Jan 1985,2.261825
1-10 Feb 1985,3.127126
11-20 Feb 1985,3.39699
21-28 Feb 1985,2.361393
1-10 Mar 1985,3.409023
11-20 Mar 1985,2.953072
21-31 Mar 1985,15.15477
1-10 Apr 1985,38.23867
11-20 Apr 1985,10.01402
21-30 Apr 1985,35.4187
1-10 May 1985,22.74964
11-20 May 1985,8.126696
21-31 May 1985,11.65072
1-10 Jun 1985,7.432539
11-20 Jun 1985,18.63327
21-30 Jun 1985,8.051659
1-10 Jul 1985,48.10835
11-20 Jul 1985,58.5289
21-31 Jul 1985,82.16996
1-10 Aug 1985,72.11831
11-20 Aug 1985,48.30912
21-31 Aug 1985,63.50792
1-10 Sep 1985,38.06963
11-20 Sep 1985,7.61469
21-30 Sep 1985,3.529486
1-10 Oct 1985,1.58006
11-20 Oct 1985,0.8941307
21-31 Oct 1985,0.9654197
1-10 Nov 1985,1.798887
11-20 Nov 1985,2.178704
21-30 Nov 1985,1.568116
1-10 Dec 1985,2.448347
11-20 Dec 1985,1.959592
21-31 Dec 1985,1.923563
1-10 Jan 1986,1.221477
11-20 Jan 1986,1.107312
21-31 Jan 1986,1.47772
1-10 Feb 1986,2.966429
11-20 Feb 1986,3.296419
21-28 Feb 1986,1.97936
1-10 Mar 1986,2.024566
11-20 Mar 1986,1.411809
21-31 Mar 1986,1.764843
1-10 Apr 1986,5.760374
11-20 Apr 1986,7.950037
21-30 Apr 1986,4.020342
1-10 May 1986,11.50084
11-20 May 1986,9.78119
21-31 May 1986,8.301176
1-10 Jun 1986,14.57216
11-20 Jun 1986,105.9996
21-30 Jun 1986,148.1417
1-10 Jul 1986,85.04202
11-20 Jul 1986,101.8219
21-31 Jul 1986,99.36842
1-10 Aug 1986,106.171
11-20 Aug 1986,48.29889
21-31 Aug 1986,103.1221
1-10 Sep 1986,49.39787
11-20 Sep 1986,20.17725
21-30 Sep 1986,12.81071
1-10 Oct 1986,5.060402
11-20 Oct 1986,0.6439102
21-31 Oct 1986,0.9789822
1-10 Nov 1986,1.216394
11-20 Nov 1986,1.641896
21-30 Nov 1986,1.933051
1-10 Dec 1986,2.251192
11-20 Dec 1986,1.973362
21-31 Dec 1986,1.982397
1-10 Jan 1987,1.164587
11-20 Jan 1987,1.081339
21-31 Jan 1987,1.547197
1-10 Feb 1987,1.702912
11-20 Feb 1987,1.762355
21-28 Feb 1987,1.769357
1-10 Mar 1987,16.43095
11-20 Mar 1987,2.458477
21-31 Mar 1987,2.862728
1-10 Apr 1987,14.4858
11-20 Apr 1987,7.188762
21-30 Apr 1987,2.984453
1-10 May 1987,12.84627
11-20 May 1987,34.71368
21-31 May 1987,45.73335
1-10 Jun 1987,40.09128
11-20 Jun 1987,22.11907
21-30 Jun 1987,10.00637
1-10 Jul 1987,72.07067
11-20 Jul 1987,31.6207
21-31 Jul 1987,13.01478
1-10 Aug 1987,75.73284
11-20 Aug 1987,95.72968
21-31 Aug 1987,55.24252
1-10 Sep 1987,6.704258
11-20 Sep 1987,4.646604
21-30 Sep 1987,5.639328
1-10 Oct 1987,4.846073
11-20 Oct 1987,1.096592
21-31 Oct 1987,1.251367
1-10 Nov 1987,1.338876
11-20 Nov 1987,1.838549
21-30 Nov 1987,1.914144
1-10 Dec 1987,2.319267
11-20 Dec 1987,2.164167
21-31 Dec 1987,2.110484
1-10 Jan 1988,1.049587
11-20 Jan 1988,0.9509597
21-31 Jan 1988,1.493008
1-10 Feb 1988,5.078083
11-20 Feb 1988,8.223951
21-29 Feb 1988,5.738045
1-10 Mar 1988,1.768071
11-20 Mar 1988,1.570587
21-31 Mar 1988,1.668112
1-10 Apr 1988,4.392403
11-20 Apr 1988,9.041984
21-30 Apr 1988,6.597557
1-10 May 1988,6.767242
11-20 May 1988,9.581596
21-31 May 1988,8.054932
1-10 Jun 1988,16.3588
11-20 Jun 1988,4.309221
21-30 Jun 1988,6.802334
1-10 Jul 1988,113.2443
11-20 Jul 1988,115.7642
21-31 Jul 1988,155.7386
1-10 Aug 1988,121.1127
11-20 Aug 1988,158.2629
21-31 Aug 1988,50.32735
1-10 Sep 1988,14.21086
11-20 Sep 1988,27.42584
21-30 Sep 1988,4.990578
1-10 Oct 1988,4.294014
11-20 Oct 1988,2.75934
21-31 Oct 1988,1.627853
1-10 Nov 1988,1.383448
11-20 Nov 1988,1.806876
21-30 Nov 1988,1.887117
1-10 Dec 1988,2.168779
11-20 Dec 1988,2.176989
21-31 Dec 1988,1.824062
1-10 Jan 1989,1.167326
11-20 Jan 1989,1.685827
21-31 Jan 1989,1.50215
1-10 Feb 1989,2.652986
11-20 Feb 1989,1.333545
21-28 Feb 1989,1.406444
1-10 Mar 1989,3.314242
11-20 Mar 1989,4.007811
21-31 Mar 1989,15.25821
1-10 Apr 1989,5.495722
11-20 Apr 1989,14.35013
21-30 Apr 1989,8.128725
1-10 May 1989,7.477617
11-20 May 1989,7.939013
21-31 May 1989,9.429497
1-10 Jun 1989,11.05312
11-20 Jun 1989,21.28796
21-30 Jun 1989,26.63931
1-10 Jul 1989,76.29306
11-20 Jul 1989,91.20067
21-31 Jul 1989,49.44716
1-10 Aug 1989,65.25145
11-20 Aug 1989,75.67319
21-31 Aug 1989,31.97317
1-10 Sep 1989,14.7067
11-20 Sep 1989,7.563615
21-30 Sep 1989,8.480599
1-10 Oct 1989,1.894629
11-20 Oct 1989,3.969092
21-31 Oct 1989,1.153406
1-10 Nov 1989,1.78601
11-20 Nov 1989,2.439081
21-30 Nov 1989,3.417717
1-10 Dec 1989,5.911061
11-20 Dec 1989,2.142218
21-31 Dec 1989,1.815777
1-10 Jan 1990,1.548449
11-20 Jan 1990,1.292043
21-31 Jan 1990,1.982151
1-10 Feb 1990,5.331833
11-20 Feb 1990,4.923259
21-28 Feb 1990,1.419732
1-10 Mar 1990,3.357225
11-20 Mar 1990,2.697333
21-31 Mar 1990,4.426401
1-10 Apr 1990,4.94415
11-20 Apr 1990,4.970224
21-30 Apr 1990,25.03217
1-10 May 1990,6.285339
11-20 May 1990,5.176056
21-31 May 1990,5.35069
1-10 Jun 1990,11.2648
11-20 Jun 1990,10.93575
21-30 Jun 1990,21.87401
1-10 Jul 1990,33.55824
11-20 Jul 1990,65.27354
21-31 Jul 1990,100.5404
1-10 Aug 1990,46.85292
11-20 Aug 1990,28.54288
21-31 Aug 1990,31.073
1-10 Sep 1990,13.51876
11-20 Sep 1990,7.558915
21-30 Sep 1990,5.306488
1-10 Oct 1990,1.997954
11-20 Oct 1990,0.7966011
21-31 Oct 1990,0.8111309
1-10 Nov 1990,1.925331
11-20 Nov 1990,2.623254
21-30 Nov 1990,2.830967
1-10 Dec 1990,2.938518
11-20 Dec 1990,2.193173
21-31 Dec 1990,2.115482
1-10 Jan 1991,1.430548
11-20 Jan 1991,1.302032
21-31 Jan 1991,1.966037
1-10 Feb 1991,2.297818
11-20 Feb 1991,2.524284
21-28 Feb 1991,1.723135
1-10 Mar 1991,5.55828
11-20 Mar 1991,3.624539
21-31 Mar 1991,3.316377
1-10 Apr 1991,11.25375
11-20 Apr 1991,5.46719
21-30 Apr 1991,4.979985
1-10 May 1991,25.71238
11-20 May 1991,10.20571
21-31 May 1991,10.72805
1-10 Jun 1991,21.24529
11-20 Jun 1991,31.55264
21-30 Jun 1991,15.37605
1-10 Jul 1991,103.2945
11-20 Jul 1991,47.6685
21-31 Jul 1991,57.84073
1-10 Aug 1991,57.32214
11-20 Aug 1991,135.1104
21-31 Aug 1991,94.90211
1-10 Sep 1991,20.17543
11-20 Sep 1991,9.0393
21-30 Sep 1991,9.843386
1-10 Oct 1991,30.22979
11-20 Oct 1991,4.483768
21-31 Oct 1991,1.523298
1-10 Nov 1991,1.706411
11-20 Nov 1991,2.560313
21-30 Nov 1991,2.440422
1-10 Dec 1991,2.419045
11-20 Dec 1991,2.376414
21-31 Dec 1991,2.308887
1-10 Jan 1992,1.706045
11-20 Jan 1992,1.721707
21-31 Jan 1992,2.934175
1-10 Feb 1992,2.24706
11-20 Feb 1992,2.116453
21-29 Feb 1992,1.377748
1-10 Mar 1992,3.630435
11-20 Mar 1992,7.205297
21-31 Mar 1992,4.673361
1-10 Apr 1992,2.129691
11-20 Apr 1992,2.619818
21-30 Apr 1992,10.27201
1-10 May 1992,23.99871
11-20 May 1992,35.47818
21-31 May 1992,9.368668
1-10 Jun 1992,8.171125
11-20 Jun 1992,6.530804
21-30 Jun 1992,14.68764
1-10 Jul 1992,44.0388
11-20 Jul 1992,35.85834
21-31 Jul 1992,75.61542
1-10 Aug 1992,75.29547
11-20 Aug 1992,99.47586
21-31 Aug 1992,78.29227
1-10 Sep 1992,7.194755
11-20 Sep 1992,7.253811
21-30 Sep 1992,4.331466
1-10 Oct 1992,2.215805
11-20 Oct 1992,1.326732
21-31 Oct 1992,3.545691
1-10 Nov 1992,3.881924
11-20 Nov 1992,5.582684
21-30 Nov 1992,5.771858
1-10 Dec 1992,4.524434
11-20 Dec 1992,4.079389
21-31 Dec 1992,9.076611
1-10 Jan 1993,2.093804
11-20 Jan 1993,3.097087
21-31 Jan 1993,2.615802
1-10 Feb 1993,2.708672
11-20 Feb 1993,3.034827
21-28 Feb 1993,2.353253
1-10 Mar 1993,12.93766
11-20 Mar 1993,5.352942
21-31 Mar 1993,22.81224
1-10 Apr 1993,14.17593
11-20 Apr 1993,11.61074
21-30 Apr 1993,42.73559
1-10 May 1993,13.10227
11-20 May 1993,41.29523
21-31 May 1993,9.396107
1-10 Jun 1993,43.78411
11-20 Jun 1993,7.861643
