"","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"1-Jan",0.1908816,0.9194317,0.2522466,0.3304604,0.3297319,0.3297319,0.3305577,0.2662611,0.3297319,0.3252475,0.3297319,0.3297319,0.3312861,0.3304604,0.3297319,0.3297319,0.3297319,0.3297319,0.3297319,0.3297319,0.3297319,0.3297319,0.3297319,0.3297319,0.3297319,0.3297319,0.3297319,0.3297319,0.3297319,0.4961978,0.3297319,0.3297319,0.3226137,0.3088106,0.3088106,0.3088106,0.3088106,0.3088106,0.3088106,0.3088106
"2-Jan",0.1908816,0.9194317,0.2522466,0.3304604,0.3297319,0.3297319,0.3305577,0.2662611,0.3297319,0.3252475,0.3297319,0.3297319,0.3312861,0.3304604,0.3297319,0.3297319,0.3297319,0.3297319,0.3297319,0.3297319,0.3297319,0.3297319,0.3297319,0.3297319,0.3297319,0.3297319,0.3297319,0.3297319,0.3297319,0.4961978,0.3297319,0.3297319,0.3226137,0.3088106,0.3088106,0.3088106,0.3088106,0.3088106,0.3088106,0.3088106
"3-Jan",0.1908816,0.9194317,0.2522466,0.3304604,0.3297319,0.3297319,0.3305577,0.2662611,0.3297319,0.3252475,0.3297319,0.3297319,0.3312861,0.3304604,0.3297319,0.3297319,0.3297319,0.3297319,0.3297319,0.3297319,0.3297319,0.3297319,0.3297319,0.3297319,0.3297319,0.3297319,0.3297319,0.3297319,0.3297319,0.4961978,0.3297319,0.3297319,0.3226137,0.3088106,0.3088106,0.3088106,0.3088106,0.3088106,0.3088106,0.3088106
"4-Jan",0.1908816,0.9194317,0.2522466,0.3304604,0.3297319,0.3297319,0.3305577,0.2662611,0.3297319,0.3252475,0.3297319,0.3297319,0.3312861,0.3304604,0.3297319,0.3297319,0.3297319,0.3297319,0.3297319,0.3297319,0.3297319,0.3297319,0.3297319,0.3297319,0.3297319,0.3297319,0.3297319,0.3297319,0.3297319,0.4961978,0.3297319,0.3297319,0.3226137,0.3088106,0.3088106,0.3088106,0.3088106,0.3088106,0.3088106,0.3088106
"5-Jan",0.1908816,0.9194317,0.2522466,0.3304604,0.3297319,0.3297319,0.3305577,0.2662611,0.3297319,0.3252475,0.3297319,0.3297319,0.3312861,0.3304604,0.3297319,0.3297319,0.3297319,0.3297319,0.3297319,0.3297319,0.3297319,0.3297319,0.3297319,0.3297319,0.3297319,0.3297319,0.3297319,0.3297319,0.3297319,0.4961978,0.3297319,0.3297319,0.3226137,0.3088106,0.3088106,0.3088106,0.3088106,0.3088106,0.3088106,0.3088106
"6-Jan",0.1908816,0.9194317,0.2522466,0.3304604,0.3297319,0.3297319,0.3305577,0.2662611,0.3297319,0.3252475,0.3297319,0.3297319,0.3312861,0.3304604,0.3297319,0.3297319,0.3297319,0.3297319,0.3297319,0.3297319,0.3297319,0.3297319,0.3297319,0.3297319,0.3297319,0.3297319,0.3297319,0.3297319,0.3297319,0.4961978,0.3297319,0.3297319,0.3226137,0.3088106,0.3088106,0.3088106,0.3088106,0.3088106,0.3088106,0.3088106
"7-Jan",0.1908816,0.9194317,0.2522466,0.3304604,0.3297319,0.3297319,0.3305577,0.2662611,0.3297319,0.3252475,0.3297319,0.3297319,0.3312861,0.3304604,0.3297319,0.3297319,0.3297319,0.3297319,0.3297319,0.3297319,0.3297319,0.3297319,0.3297319,0.3297319,0.3297319,0.3297319,0.3297319,0.3297319,0.3297319,0.4961978,0.3297319,0.3297319,0.3226137,0.3088106,0.3088106,0.3088106,0.3088106,0.3088106,0.3088106,0.3088106
"8-Jan",0.1908816,0.9194317,0.2522466,0.3304604,0.3297319,0.3297319,0.3305577,0.2662611,0.3297319,0.3252475,0.3297319,0.3297319,0.3312861,0.3304604,0.3297319,0.3297319,0.3297319,0.3297319,0.3297319,0.3297319,0.3297319,0.3297319,0.3297319,0.3297319,0.3297319,0.3297319,0.3297319,0.3297319,0.3297319,0.4961978,0.3297319,0.3297319,0.3226137,0.3088106,0.3088106,0.3088106,0.3088106,0.3088106,0.3088106,0.3088106
"9-Jan",0.1908816,0.9194317,0.2522466,0.3304604,0.3297319,0.3297319,0.3305577,0.2662611,0.3297319,0.3252475,0.3297319,0.3297319,0.3312861,0.3304604,0.3297319,0.3297319,0.3297319,0.3297319,0.3297319,0.3297319,0.3297319,0.3297319,0.3297319,0.3297319,0.3297319,0.3297319,0.3297319,0.3297319,0.3297319,0.4961978,0.3297319,0.3297319,0.3226137,0.3088106,0.3088106,0.3088106,0.3088106,0.3088106,0.3088106,0.3088106
"10-Jan",0.1908816,0.9194317,0.2522466,0.3304604,0.3297319,0.3297319,0.3305577,0.2662611,0.3297319,0.3252475,0.3297319,0.3297319,0.3312861,0.3304604,0.3297319,0.3297319,0.3297319,0.3297319,0.3297319,0.3297319,0.3297319,0.3297319,0.3297319,0.3297319,0.3297319,0.3297319,0.3297319,0.3297319,0.3297319,0.4961978,0.3297319,0.3297319,0.3226137,0.3088106,0.3088106,0.3088106,0.3088106,0.3088106,0.3088106,0.3088106
"11-Jan",0.2324216,0.9853615,0.3691621,0.3700402,0.3683043,0.3691621,0.3683043,0.2831405,0.7531375,0.3683043,0.3683043,0.3683043,0.5790178,0.3700402,0.3683043,0.3683043,0.3683043,0.3683043,0.3683043,0.3683043,0.3683043,0.4671463,0.4694806,0.3683043,0.3683043,0.3683043,0.4686375,1.276324,0.3683043,0.3683043,0.3683043,0.3683043,0.3603534,0.3357059,0.3357059,0.3357059,0.419626728205128,0.3357059,0.3357059,0.3357059
"12-Jan",0.2324216,0.9853615,0.3691621,0.3700402,0.3683043,0.3691621,0.3683043,0.2831405,0.7531375,0.3683043,0.3683043,0.3683043,0.5790178,0.3700402,0.3683043,0.3683043,0.3683043,0.3683043,0.3683043,0.3683043,0.3683043,0.4671463,0.4694806,0.3683043,0.3683043,0.3683043,0.4686375,1.276324,0.3683043,0.3683043,0.3683043,0.3683043,0.3603534,0.3357059,0.3357059,0.3357059,0.419626728205128,0.3357059,0.3357059,0.3357059
"13-Jan",0.2324216,0.9853615,0.3691621,0.3700402,0.3683043,0.3691621,0.3683043,0.2831405,0.7531375,0.3683043,0.3683043,0.3683043,0.5790178,0.3700402,0.3683043,0.3683043,0.3683043,0.3683043,0.3683043,0.3683043,0.3683043,0.4671463,0.4694806,0.3683043,0.3683043,0.3683043,0.4686375,1.276324,0.3683043,0.3683043,0.3683043,0.3683043,0.3603534,0.3357059,0.3357059,0.3357059,0.419626728205128,0.3357059,0.3357059,0.3357059
"14-Jan",0.2324216,0.9853615,0.3691621,0.3700402,0.3683043,0.3691621,0.3683043,0.2831405,0.7531375,0.3683043,0.3683043,0.3683043,0.5790178,0.3700402,0.3683043,0.3683043,0.3683043,0.3683043,0.3683043,0.3683043,0.3683043,0.4671463,0.4694806,0.3683043,0.3683043,0.3683043,0.4686375,1.276324,0.3683043,0.3683043,0.3683043,0.3683043,0.3603534,0.3357059,0.3357059,0.3357059,0.419626728205128,0.3357059,0.3357059,0.3357059
"15-Jan",0.2324216,0.9853615,0.3691621,0.3700402,0.3683043,0.3691621,0.3683043,0.2831405,0.7531375,0.3683043,0.3683043,0.3683043,0.5790178,0.3700402,0.3683043,0.3683043,0.3683043,0.3683043,0.3683043,0.3683043,0.3683043,0.4671463,0.4694806,0.3683043,0.3683043,0.3683043,0.4686375,1.276324,0.3683043,0.3683043,0.3683043,0.3683043,0.3603534,0.3357059,0.3357059,0.3357059,0.419626728205128,0.3357059,0.3357059,0.3357059
"16-Jan",0.2324216,0.9853615,0.3691621,0.3700402,0.3683043,0.3691621,0.3683043,0.2831405,0.7531375,0.3683043,0.3683043,0.3683043,0.5790178,0.3700402,0.3683043,0.3683043,0.3683043,0.3683043,0.3683043,0.3683043,0.3683043,0.4671463,0.4694806,0.3683043,0.3683043,0.3683043,0.4686375,1.276324,0.3683043,0.3683043,0.3683043,0.3683043,0.3603534,0.3357059,0.3357059,0.3357059,0.419626728205128,0.3357059,0.3357059,0.3357059
"17-Jan",0.2324216,0.9853615,0.3691621,0.3700402,0.3683043,0.3691621,0.3683043,0.2831405,0.7531375,0.3683043,0.3683043,0.3683043,0.5790178,0.3700402,0.3683043,0.3683043,0.3683043,0.3683043,0.3683043,0.3683043,0.3683043,0.4671463,0.4694806,0.3683043,0.3683043,0.3683043,0.4686375,1.276324,0.3683043,0.3683043,0.3683043,0.3683043,0.3603534,0.3357059,0.3357059,0.3357059,0.419626728205128,0.3357059,0.3357059,0.3357059
"18-Jan",0.2324216,0.9853615,0.3691621,0.3700402,0.3683043,0.3691621,0.3683043,0.2831405,0.7531375,0.3683043,0.3683043,0.3683043,0.5790178,0.3700402,0.3683043,0.3683043,0.3683043,0.3683043,0.3683043,0.3683043,0.3683043,0.4671463,0.4694806,0.3683043,0.3683043,0.3683043,0.4686375,1.276324,0.3683043,0.3683043,0.3683043,0.3683043,0.3603534,0.3357059,0.3357059,0.3357059,0.419626728205128,0.3357059,0.3357059,0.3357059
"19-Jan",0.2324216,0.9853615,0.3691621,0.3700402,0.3683043,0.3691621,0.3683043,0.2831405,0.7531375,0.3683043,0.3683043,0.3683043,0.5790178,0.3700402,0.3683043,0.3683043,0.3683043,0.3683043,0.3683043,0.3683043,0.3683043,0.4671463,0.4694806,0.3683043,0.3683043,0.3683043,0.4686375,1.276324,0.3683043,0.3683043,0.3683043,0.3683043,0.3603534,0.3357059,0.3357059,0.3357059,0.419626728205128,0.3357059,0.3357059,0.3357059
