"","1","2","3"
"1981",57,50,75
"1982",60,50,75
"1983",50,50,75
"1984",53,50,75
"1985",63,50,75
"1986",75,50,75
"1987",75,50,75
"1988",75,50,75
"1989",75,50,75
"1990",70,50,75
"1991",71,50,75
"1992",58,50,75
"1993",75,50,75
"1994",63,50,75
"1995",62,50,75
"1996",75,50,75
"1997",75,50,75
"1998",75,50,75
"1999",53,50,75
"2000",54,50,75
"2001",75,50,75
"2002",55,50,75
"2003",62,50,75
"2004",50,50,75
"2005",64,50,75
"2006",75,50,75
"2007",75,50,75
"2008",75,50,75
"2009",71,50,75
"2010",75,50,75
"2011",59,50,75
"2012",70,50,75
"2013",50,50,75
"2014",56,50,75
"2015",52,50,75
"2016",57,50,75
"2017",72,50,75
"2018",75,50,75
"2019",75,50,75
"2020",75,50,75
