"","MIXEDET"
"1983",12.8347443138428
"1984",-19.0884878589122
"1985",12.4095557237082
"1986",20.1979341854341
"1987",25.6924510141512
"1988",25.9287836050116
"1989",33.1637820110221
"1990",-11.6792592315468
"1991",8.75140731507501
"1992",28.6364431808127
"1993",18.2948324441383
"1994",24.1079839590614
"1995",20.0464712538693
"1996",35.5325231454116
"1997",25.8469249979847
"1998",25.6106857730862
"1999",22.3797333227667
"2000",3
"2001",6.3
"2002",1.7
"2003",21.7
"2004",5.2
"2005",24.1
"2006",19.3
"2007",45.9
"2008",26.5
"2009",22.9
"2010",38.5
"2011",12.6
"2012",23.9
"2013",2
"2014",17.1
