Time,NDVI
Jul 1981,0.2957903
Jul 1982,0.05939516
Jul 1983,0.2254919
Jul 1984,0.4012984
Jul 1985,0.1523468
Jul 1986,0.5285968
Jul 1987,0.2795484
Jul 1988,0.2394355
Jul 1989,0.2818871
Jul 1990,0.3707903
Jul 1991,0.2465645
Jul 1992,0.1632903
Jul 1993,0.2184194
Jul 1994,0.1754194
Jul 1995,0.2650242
Jul 1996,0.4144194
Jul 1997,0.4155242
Jul 1998,0.2842419
Jul 1999,0.3261048
Jul 2000,0.301
Jul 2001,0.3378145
Jul 2002,0.1758387
Jul 2003,0.2770726
Jul 2004,0.303629
Jul 2005,0.2941936
Jul 2006,0.2788226
