"","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"1",0.3837216,0.679464,0.3049059,0.3319854,0.5132664,0.3627434,0.3686638,0.3308242,0.3532434,0.3494801,0.333707,0.4920642,0.5077233,0.3491232,0.3429794,0.3920931,0.3870324,0.3992124,0.8031586,0.3479612,0.2614449,0.2868673,0.2669316,0.4250289,0.2356673,0.2440877,0.2843708,0.224289,0.2231116,0.688943,0.4433943,0.2414877,0.270305,0.2692571,0.2674946,0.2841201,0.1943291,0.1920173,0.6415377,0.3199111
"2",0.4069364,0.8342929,0.4009635,0.3714417,0.6012594,0.3878381,0.4012035,0.3428348,0.4833219,0.3793473,0.4015627,0.5769687,0.8728032,0.3932229,0.3683923,0.4217628,0.4450816,0.4591318,0.8742428,0.4000895,0.300609,0.6343343,0.3069414,1.482699,0.2709909,0.2779138,0.3370265,0.4981228,0.2589639,0.4309478,0.431988,0.2778012,0.3362956,0.3240912,0.3418248,0.321276,0.2346804,0.2351995,0.2624344,0.3908026
"3",0.4338469,0.4535777,0.4276334,0.4033237,0.7173905,0.433153,0.4097427,0.4074164,0.4624104,1.073562,0.431793,1.7413,0.6487554,0.4207395,0.4481725,0.5064662,0.4999294,0.5156623,0.9215666,0.4495602,0.3270272,0.3707601,0.333869,0.5316138,0.2947613,0.2776707,0.3744064,0.7625742,0.2683018,0.4846784,0.4604194,0.2835355,0.5326339,0.5255865,0.5206861,0.5246109,0.3832079,0.4079608,0.4906386,0.7112505
"4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5",0.09383737,0.1022541,0.1275723,0.09122439,0.1641036,0.3610177,0.07785344,0.5136324,0.06145439,0.1160497,0.09324756,0.1219104,0.1474491,0.1004772,0.09978004,0.1146272,0.08492915,0.07555462,0.07158043,0.06119387,0.06123016,0.06471787,0.1511967,0.08908722,0.0723618,0.06122167,0.09285533,0.06471887,0.1306184,0.07899413,0.0601506,0.05655447,0.08137928,0.1232558,0.09900816,0.07917948,1.277759,0.08436174,0.138605,0.09636442
"6",0.9670937,1.558847,1.212694,1.08526110666667,1.593725,1.059368,0.9039441,1.08526110666667,0.8778977,0.7891361,1.827673,1.08526110666667,1.289654,1.488968,0.9681669,1.08526110666667,0.7560252,0.7192576,0.8053909,1.08526110666667,0.6188445,1.041482,2.48666,1.08526110666667,0.7308064,0.6149971,0.952442,1.08526110666667,1.898489,0.6613065,0.6621047,1.08526110666667,0.7533787,0.9884089,0.9206873,1.08526110666667,1.430661,0.7894729,1.190251,1.08526110666667
"7",5.656516,22.24982,3.169049,15.84992,17.2575,4.374372,9.463899,2.651395,5.404263,19.3634,4.088836,6.455552,9.111132,2.838485,6.619978,21.64923,5.461218,6.163695,4.84281,2.683436,5.898843,6.142143,8.4294,4.170366,12.37875,15.78636,5.303517,3.430251,4.488631,4.258105,2.372672,2.594278,3.393419,8.172413,5.012583,3.738065,5.118691,3.690906,4.9059,7.29845638461538
"8",13.47915,10.81641,4.579063,7.510735,6.160119,3.532478,4.860435,2.611686,5.037308,6.822755,3.911468,11.55125,37.857,2.720206,6.64757,8.368307,13.94966,5.746509,3.742496,2.65779,11.65691,4.452744,5.586727,6.165739,26.15585,12.95174,3.484896,2.978109,3.27037,16.48632,16.3412,3.032839,4.258048,20.41632,4.328106,7.233037,3.908682,4.371943,7.103981,8.37810143589744
"9",21.19989,5.116912,3.02323,5.694849,9.96825,4.38914,4.89329,2.591274,10.06938,8.108293,4.10004,8.311268,9.52492,2.798892,8.406742,32.74458,5.530976,6.075574,10.39267,5.425701,7.632167,19.13293,10.15262,4.15013,7.857995,4.918776,14.98572,2.290755,11.74325,5.715328,2.090801,3.339776,3.744402,2.239429,7.944503,5.62706,4.509236,7.896058,6.556351,7.71520917948718
"10",7.120349,16.35379,3.816022,5.038909,26.73966,6.778625,8.108486,4.06508,3.964674,3.767263,28.53862,3.68712,22.7618,4.047182,7.279818,7.287105,13.38315,4.567502,4.343943,26.74772,4.900005,6.183787,4.250468,11.12649,6.852118,8.407623,10.2983,21.64161,7.461315,5.719918,5.466292,4.940088,4.036326,10.28939,4.135894,8.675411,4.497916,11.63796,5.633074,9.09104623076923
