"","MIXEDVEGg"
"1981",0.217568177909485
"1982",0.184206589794686
"1983",0.17770957969125
"1984",0.188955207586852
"1985",0.196286811678962
"1986",0.238499888803108
"1987",0.224312311316092
"1988",0.180917297401668
"1989",0.221449594965291
"1990",0.199461864828309
"1991",0.194095482138251
"1992",0.209959185208505
"1993",0.219253611447294
"1994",0.237229381910957
"1995",0.207998675597122
"1996",0.248274541903003
"1997",0.232851434620202
"1998",0.19969965127022
"1999",0.186682332270232
"2000",0.1937394
"2001",0.2424935
"2002",0.2248033
"2003",0.1910103
"2004",0.198266
"2005",0.2263251
"2006",0.2024353
"2007",0.2370633
"2008",0.2106857
"2009",0.154935
"2010",0.1828642
"2011",0.2139715
"2012",0.1856538
"2013",0.1938103
"2014",0.1976975
"2015",0.2214443
"2016",0.2091997
"2017",0.2247281
"2018",0.1918296
"2019",0.2201346
