"Year","Sow Dekad","Rainfall for Phase  1","Rainfall for Phase  2","Rainfall for Phase  3","Payout for Phase  1","Payout for Phase  2","Payout for Phase  3","Total Payout"
1983,16,31.43,28.92,75,0,0,0,0
1984,16,2.04,8.11,55.67,100,0,36.9,136.9
1985,16,15.57,40.57,75,11.93,0,0,11.93
1986,16,36.28,50,75,0,0,0,0
1987,16,61.07,36.07,75,0,0,0,0
1988,16,41.84,25,75,0,0,0,0
1989,16,34.38,40.32,75,0,0,0,0
1990,16,5.84,5.84,47.35,92.97,0,66.6,159.58
1991,16,54.87,40.08,75,0,0,0,0
1992,16,0,7.98,57.98,100,0,28.64,128.64
1993,16,42.75,33.95,75,0,0,0,0
1994,16,46.25,46.25,75,0,0,0,0
1995,16,25,50,75,0,0,0,0
1996,16,75,50,57.39,0,0,30.76,30.76
1997,16,48.27,42.41,75,0,0,0,0
1998,16,31.76,50,75,0,0,0,0
1999,16,25.18,46.88,75,0,0,0,0
2000,16,27.27,48.57,73.57,0,0,0,0
2001,16,6.3,30.19,73.89,89.21,0,0,89.21
2002,16,27.52,10.7,58.17,0,0,27.95,27.95
2003,16,20.89,38.23,71.92,0,0,0,0
2004,16,25,43.63,63.19,0,0,10.05,10.05
2005,16,25,50,75,0,0,0,0
2006,16,30.78,50,75,0,0,0,0
2007,16,12.46,25,75,37.82,0,0,37.82
2008,16,2.13,25,75,100,0,0,100
2009,16,41.4,47.96,75,0,0,0,0
2010,16,65.19,35.77,60.77,0,0,18.68,18.68
2011,16,50,50,75,0,0,0,0
2012,16,25,50,75,0,0,0,0
2013,16,8.12,22.3,64.18,73.97,0,6.51,80.48
2014,16,12.95,37.95,75,33.73,0,0,33.73
2015,16,25,15.96,65.96,0,0,0.14,0.14
2016,16,32.03,50,75,0,0,0,0
2017,16,37.27,50,75,0,0,0,0
2018,16,41.19,41.19,65.94,0,0,0.2,0.2
2019,16,75,50,75,0,0,0,0
