Time,NDVI
Jul 1981,0.3309355
Jul 1982,0.1327419
Jul 1983,0.1777661
Jul 1984,0.4170081
Jul 1985,0.3156129
Jul 1986,0.5249758
Jul 1987,0.277121
Jul 1988,0.2773629
Jul 1989,0.3570484
Jul 1990,0.3646855
Jul 1991,0.3919516
Jul 1992,0.1251048
Jul 1993,0.1964758
Jul 1994,0.2425484
Jul 1995,0.3909678
Jul 1996,0.4438549
Jul 1997,0.4754274
Jul 1998,0.3337823
Jul 1999,0.3146371
Jul 2000,0.3791291
Jul 2001,0.412371
Jul 2002,0.2602662
Jul 2003,0.3469274
Jul 2004,0.3012419
Jul 2005,0.3520645
Jul 2006,0.3107742
