"","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"1-Jan",0.0560224,0.1380194,0.07141329,0.0841046,0.08470966,0.08470966,0.08430933,0.08381577,0.08470966,0.08859941,0.08470966,0.08470966,0.08370427,0.0841046,0.08470966,0.08470966,0.08470966,0.08470966,0.08470966,0.08470966,0.08470966,0.08470966,0.08470966,0.08470966,0.08470966,0.08470966,0.08470966,0.08470966,0.08470966,0.1320722,0.08470966,0.08470966,0.1001452,0.09694191,0.09694191,0.09694191,0.09694191,0.09694191,0.1141961,0.09694191
"2-Jan",0.0560224,0.1380194,0.07141329,0.0841046,0.08470966,0.08470966,0.08430933,0.08381577,0.08470966,0.08859941,0.08470966,0.08470966,0.08370427,0.0841046,0.08470966,0.08470966,0.08470966,0.08470966,0.08470966,0.08470966,0.08470966,0.08470966,0.08470966,0.08470966,0.08470966,0.08470966,0.08470966,0.08470966,0.08470966,0.1320722,0.08470966,0.08470966,0.1001452,0.09694191,0.09694191,0.09694191,0.09694191,0.09694191,0.1141961,0.09694191
"3-Jan",0.0560224,0.1380194,0.07141329,0.0841046,0.08470966,0.08470966,0.08430933,0.08381577,0.08470966,0.08859941,0.08470966,0.08470966,0.08370427,0.0841046,0.08470966,0.08470966,0.08470966,0.08470966,0.08470966,0.08470966,0.08470966,0.08470966,0.08470966,0.08470966,0.08470966,0.08470966,0.08470966,0.08470966,0.08470966,0.1320722,0.08470966,0.08470966,0.1001452,0.09694191,0.09694191,0.09694191,0.09694191,0.09694191,0.1141961,0.09694191
"4-Jan",0.0560224,0.1380194,0.07141329,0.0841046,0.08470966,0.08470966,0.08430933,0.08381577,0.08470966,0.08859941,0.08470966,0.08470966,0.08370427,0.0841046,0.08470966,0.08470966,0.08470966,0.08470966,0.08470966,0.08470966,0.08470966,0.08470966,0.08470966,0.08470966,0.08470966,0.08470966,0.08470966,0.08470966,0.08470966,0.1320722,0.08470966,0.08470966,0.1001452,0.09694191,0.09694191,0.09694191,0.09694191,0.09694191,0.1141961,0.09694191
"5-Jan",0.0560224,0.1380194,0.07141329,0.0841046,0.08470966,0.08470966,0.08430933,0.08381577,0.08470966,0.08859941,0.08470966,0.08470966,0.08370427,0.0841046,0.08470966,0.08470966,0.08470966,0.08470966,0.08470966,0.08470966,0.08470966,0.08470966,0.08470966,0.08470966,0.08470966,0.08470966,0.08470966,0.08470966,0.08470966,0.1320722,0.08470966,0.08470966,0.1001452,0.09694191,0.09694191,0.09694191,0.09694191,0.09694191,0.1141961,0.09694191
"6-Jan",0.0560224,0.1380194,0.07141329,0.0841046,0.08470966,0.08470966,0.08430933,0.08381577,0.08470966,0.08859941,0.08470966,0.08470966,0.08370427,0.0841046,0.08470966,0.08470966,0.08470966,0.08470966,0.08470966,0.08470966,0.08470966,0.08470966,0.08470966,0.08470966,0.08470966,0.08470966,0.08470966,0.08470966,0.08470966,0.1320722,0.08470966,0.08470966,0.1001452,0.09694191,0.09694191,0.09694191,0.09694191,0.09694191,0.1141961,0.09694191
"7-Jan",0.0560224,0.1380194,0.07141329,0.0841046,0.08470966,0.08470966,0.08430933,0.08381577,0.08470966,0.08859941,0.08470966,0.08470966,0.08370427,0.0841046,0.08470966,0.08470966,0.08470966,0.08470966,0.08470966,0.08470966,0.08470966,0.08470966,0.08470966,0.08470966,0.08470966,0.08470966,0.08470966,0.08470966,0.08470966,0.1320722,0.08470966,0.08470966,0.1001452,0.09694191,0.09694191,0.09694191,0.09694191,0.09694191,0.1141961,0.09694191
"8-Jan",0.0560224,0.1380194,0.07141329,0.0841046,0.08470966,0.08470966,0.08430933,0.08381577,0.08470966,0.08859941,0.08470966,0.08470966,0.08370427,0.0841046,0.08470966,0.08470966,0.08470966,0.08470966,0.08470966,0.08470966,0.08470966,0.08470966,0.08470966,0.08470966,0.08470966,0.08470966,0.08470966,0.08470966,0.08470966,0.1320722,0.08470966,0.08470966,0.1001452,0.09694191,0.09694191,0.09694191,0.09694191,0.09694191,0.1141961,0.09694191
"9-Jan",0.0560224,0.1380194,0.07141329,0.0841046,0.08470966,0.08470966,0.08430933,0.08381577,0.08470966,0.08859941,0.08470966,0.08470966,0.08370427,0.0841046,0.08470966,0.08470966,0.08470966,0.08470966,0.08470966,0.08470966,0.08470966,0.08470966,0.08470966,0.08470966,0.08470966,0.08470966,0.08470966,0.08470966,0.08470966,0.1320722,0.08470966,0.08470966,0.1001452,0.09694191,0.09694191,0.09694191,0.09694191,0.09694191,0.1141961,0.09694191
"10-Jan",0.0560224,0.1380194,0.07141329,0.0841046,0.08470966,0.08470966,0.08430933,0.08381577,0.08470966,0.08859941,0.08470966,0.08470966,0.08370427,0.0841046,0.08470966,0.08470966,0.08470966,0.08470966,0.08470966,0.08470966,0.08470966,0.08470966,0.08470966,0.08470966,0.08470966,0.08470966,0.08470966,0.08470966,0.08470966,0.1320722,0.08470966,0.08470966,0.1001452,0.09694191,0.09694191,0.09694191,0.09694191,0.09694191,0.1141961,0.09694191
