"","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"1",0.7188407,1.896091,0.6484595,0.6781455,1.195694,0.764662,0.7719289,0.6844475,0.7245265,0.9158041,0.8570211,0.990446,1.142379,0.6952212,0.6617618,0.8185582,0.8230391,0.8760419,1.628873,0.7243572,0.7874227,0.8668503,0.7850944,1.202329,0.6804392,0.7271073,0.8008366,0.6363607,0.6844764,1.487038,1.380084,0.7098961,0.8601931,0.8506653,0.8324142,0.9046836,0.620195,0.5972878,0.7960432,1.040184
"2",0.3828025,1.389287,0.4387339,0.3950245,0.722344,0.4231909,0.4313585,0.3384728,0.6595719,0.4735562,0.5086165,0.6386776,1.320853,0.4046305,0.3631372,0.4700571,0.49271,0.5348238,0.9391171,0.4387341,0.4770924,0.4797674,0.4765702,0.7297795,0.6067293,0.4229653,0.5521355,0.8227308,0.4062922,0.6047658,0.7334982,0.4297988,0.5274044,0.4902051,0.5101169,0.4610142,0.352262,0.3521256,0.3955518,0.6097289
"3",0.6598506,0.7509358,0.9324079,0.849095,1.722426,0.9454773,0.9268785,0.8560064,0.9797665,1.164036,1.147203,1.707593,1.537374,0.870797,0.9418972,1.114467,1.120567,1.192821,1.93598,0.9864345,1.072297,1.202441,1.713148,1.637566,0.9267589,0.8631157,1.163291,0.7839409,0.86619,1.443412,2.427567,0.8843282,2.165011,1.088714,1.087049,1.063881,0.811204,0.8567056,1.070459,1.59514
"4",0.9111994,3.151492,2.426594,0.9530255,3.323322,2.345562,1.303536,3.810179,1.861516,3.72161,1.435866,1.733648,2.275901,1.836195,1.729002,1.590867,1.003038,2.636965,1.169506,1.262428,0.8468063,0.876493,2.133798,1.084633,1.070677,0.7677575,1.32635,0.7303379,1.618147,1.528322,0.9343038,0.8237115,1.23283,1.490246,1.487102,0.9723838,1.58568,1.003152,1.377093,1.101316
"5",1.513266,7.063824,3.094574,1.425388,4.801105,3.461305,1.79372,8.462889,1.296649,4.620026,2.213197,2.220245,3.404052,2.656957,5.321256,2.59245,1.832762,1.697947,1.668077,1.24699,1.266808,1.311769,3.1865,1.619436,2.704038,1.278687,2.17349,1.308112,2.362065,1.540869,1.309765,1.200304,1.72456,2.676786,2.091914,1.582507,22.76845,1.878735,6.030012,1.999231
"6",1.800361,5.938652,3.38304,2.91103163333333,4.991723,2.887852,5.419281,2.91103163333333,2.097654,1.869907,2.38351,2.91103163333333,3.592338,5.10009,2.874333,2.91103163333333,1.90796,1.899947,2.206823,2.91103163333333,1.503447,1.486093,7.044527,2.91103163333333,1.895719,1.480264,2.43991,2.91103163333333,5.001197,1.464914,1.660149,2.91103163333333,1.853048,2.554299,2.233669,2.91103163333333,3.21934,2.254281,2.886621,2.91103163333333
"7",7.941053,33.53057,8.393678,6.362063,19.43332,5.074952,17.762,3.461425,7.932313,8.6319,5.776826,7.797431,12.82156,4.055859,10.21991,37.95332,16.77738,8.706362,6.645944,3.997099,9.357018,14.0736,9.338426,7.189181,10.37058,15.47582,8.967147,4.767112,8.691463,5.551148,3.703417,3.937532,3.917852,13.707,6.215621,4.061145,7.298282,4.837609,6.556121,9.77669330769231
"8",14.49779,14.19693,15.36792,22.38084,8.017166,3.446877,7.627058,3.259971,7.703246,7.739869,6.850665,35.88257,12.81577,4.013552,19.62891,9.910551,24.87786,7.341373,4.789788,3.771725,22.14951,5.838352,8.733313,8.013068,26.26217,26.51231,5.2279,3.835892,5.039734,10.87127,26.06206,4.379997,6.252524,26.50367,15.37155,33.34472,5.135501,9.68063,19.23297,12.886348
"9",24.27444,7.906218,3.97414,6.153739,36.7527,4.430034,8.638033,3.414494,13.19274,34.49534,6.342487,11.21754,13.92193,4.804913,13.21908,41.06763,8.181484,8.733115,5.65342,6.620013,21.23623,45.52501,9.520875,7.326839,12.41435,12.02217,24.40207,3.279474,16.02766,11.69743,3.47014,7.058797,8.160994,3.157894,22.66417,8.386723,3.992164,5.122571,22.9192,13.1122628461538
"10",7.29792,60.28146,5.986002,6.196014,44.41579,12.04863,21.85793,6.254766,7.441983,7.23883,16.47035,9.171744,53.13417,6.70476,28.47835,17.66171,33.44128,7.516383,6.81828,21.95359,7.415427,9.898157,7.197578,15.17934,10.1829,17.56758,16.20735,15.15904,8.280573,13.73754,7.286807,8.584457,6.790268,27.29706,6.584692,21.45026,5.855266,26.22802,12.31204,15.9893409487179
"11",12.6231,29.08153,6.452238,6.611364,20.54181,14.9989,5.372832,17.86651,17.21286,5.467343,9.057132,5.550436,37.70021,14.40063,51.68866,23.96758,7.729366,8.766499,5.331384,29.61405,7.463029,6.692733,15.77982,11.02512,33.6325,38.36749,11.30106,10.68124,9.846489,31.82473,4.04481,20.95024,39.9848,5.810206,12.25649,28.11528,4.262839,11.05637,28.42232,16.9628717948718
"12",11.81734,34.82306,17.32403,4.788464,35.92165,11.19941,3.881058,7.940429,11.16779,24.36476,7.285755,11.72375,66.88618,33.21929,10.32052,10.03656,27.70052,11.45261,3.696482,14.04976,10.6066,3.572257,6.968939,11.24618,23.79612,9.634224,23.21166,7.731682,8.157889,26.35686,23.47021,16.06178,9.417818,25.04846,11.99234,18.16212,25.30185,20.66858,14.49752,16.8077565897436
"13",3.881375,13.59978,30.68282,6.707038,14.70314,14.66279,17.75384,8.870286,8.769622,7.072455,25.51423,48.30767,18.40263,17.38978,19.68864,16.52401,11.9966,29.6918,5.652809,17.76513,11.08309,9.802019,8.368258,5.531065,14.80175,26.53161,6.718195,34.3971,4.261921,28.27148,8.410044,26.71212,7.352806,24.03297,25.07512,31.02465,28.76598,3.963477,17.80198,16.9369764102564
"14",29.05464,24.90743,34.87711,16.7958,11.65442,16.10967,34.95813,13.99368,9.087463,5.403938,8.008606,18.84831,33.08638,15.84073,35.7945,25.85057,20.4592,15.69143,4.14623,11.96804,8.487062,12.01689,9.406123,5.553282,14.9451,20.0383,23.64569,10.66839,5.375698,8.220073,37.25618,7.055374,14.13304,40.94868,8.470627,10.48778,44.27303,6.458155,31.11998,18.0793777179487
"15",3.926564,10.12996,19.08766,7.699899,13.20578,5.743484,41.01009,9.226267,9.715982,5.807658,9.977354,10.57337,10.14657,8.230307,23.00899,53.03282,33.44379,8.24089,5.443295,10.28306,8.840321,8.656234,6.882634,5.088261,20.96435,19.80469,3.905777,9.154337,3.993911,6.37479,32.81453,5.489823,5.314039,19.25474,9.449004,5.853495,6.633051,9.615844,22.19245,13.0311813076923
