"","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0
"2",0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3",2,1,4,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
"4",1,11,13,1,2,0,0,0,10,19,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"5",3,9,4,3,5,0,0,0,0,19,0,2,0,0,6,0,0,0,0,0,0,0,8,0,0,0,4,0,0,0,0,0,0,2,1,0,57,4,9,0
"6",0,5,0,2.3,0,5,0,2.3,0,8,19,2.3,0,0,2,2.3,0,0,0,2.3,0,0,29,2.3,0,0,0,2.3,0,0,0,2.3,0,0,0,2.3,0,0,1,2.3
"7",9,10,0,5,3,15,23,0,11,12,28,0,0,2,0,13,18,0,0,0,0,6,0,0,0,0,0,0,0,13,0,0,1,10,0,0,0,0,0,0
"8",24,20,11,8,2,17,13,0,0,0,17,19,9,0,9,0,14,0,0,0,27,38,6,0,4,0,0,0,4,16,12,0,2,26,14,18,0,5,8,0
"9",30,1,0,0,16,0,0,0,20,20,30,0,34,0,0,53,0,0,0,9,25,20,0,15,37,5,2,0,8,6,0,30,35,0,16,9,0,4,3,0
"10",0,24,1,0,34,32,19,7,0,0,15,1,44,1,9,7,8,0,0,6,0,0,0,48,0,4,16,3,5,3,0,0,14,18,0,16,0,25,0,9.23076923076923
"11",11,17,12,8,16,11,12,19,23,3,4,2,26,14,13,5,3,5,0,20,33,0,28,10,0,5,8,0,1,35,0,0,14,0,0,5,0,2,12,9.66666666666667
"12",13,19,15,0,28,5,1,5,18,34,13,0,28,13,11,15,10,8,4,11,28,0,0,3,38,8,0,0,0,12,2,17,5,0,0,41,0,25,18,11.4871794871795
"13",2,21,31,9,39,15,42,3,0,0,32,38,7,6,19,34,0,49,2,27,33,18,0,4,0,47,4,0,0,13,0,18,0,20,38,41,11,0,0,15.974358974359
"14",15,5,28,4,9,2,34,28,5,0,0,2,39,4,16,48,21,4,0,0,0,0,0,0,1,3,0,23,17,6,0,0,0,15,0,5,51,0,8,10.0769230769231
"15",1,4,22,7,0,9,44,0,0,11,9,4,3,0,11,14,16,0,0,0,15,0,0,0,3,0,0,0,0,8,0,0,0,7,3,0,0,0,13,5.23076923076923
"16",0,3,22,10,0,20,28,11,13,0,0,0,30,20,0,42,9,0,0,0,12,0,0,0,0,0,9,12,1,0,0,0,0,0,0,0,0,26,4,6.97435897435897
"17",2,14,0,19,18,23,12,8,31,18,10,0,19,6,0,21,11,0,0,8,83,20,0,14,0,0,33,23,0,0,35,16,35,0,0,26,0,49,48,15.4358974358974
"18",9,14,0,19,0,66,6,16,0,23,26,19,4,49,14,16,30,0,17,33,64,27,45,21,30,31,79,11,4,10,41,94,89,25,40,35,14,15,15,26.9487179487179
"19",102,25,14,26,28,39,66,43,18,16,54,0,61,44,49,24,62,77,47,31,51,6,33,3,77,46,75,23,8,19,56,34,32,31,0,51,42,38,20,37.7179487179487
"20",81,59,27,45,75,47,40,101,43,57,54,71,58,65,94,60,56,55,67,30,53,21,84,117,26,74,40,37,43,76,57,29,77,68,79,104,38,60,49,59.4102564102564
"21",87,83,100,43,44,128,25,152,55,67,65,60,59,66,127,43,72,148,89,102,156,64,78,54,60,89,99,185,62,100,114,128,60,57,58,133,57,94,33,84.5128205128205
"22",57,56,90,40,43,43,81,116,66,35,43,88,52,36,60,60,43,68,70,83,157,120,97,159,57,118,105,67,24,49,125,78,38,112,87,71,56,74,111,75.2564102564103
"23",75,75,68,22,42,38,74,103,45,30,66,98,13,111,70,49,36,117,80,44,49,86,56,52,70,92,51,27,37,70,20,10,40,18,51,32,101,64,38,56.9230769230769
"24",43,41,50,14,67,48,41,34,17,5,43,70,53,85,42,72,27,84,69,51,48,8,28,8,71,85,13,3,72,50,30,53,27,60,88,34,101,96,65,48.6153846153846
"25",15,19,12,14,20,16,21,15,20,13,16,22,16,40,52,20,7,21,16,13,6,14,16,0,11,15,36,26,0,46,57,16,6,29,0,23,27,15,44,19.8717948717949
"26",18,15,16,7,8,6,6,23,6,9,4,10,3,5,3,8,1,7,0,12,0,0,8,0,0,0,0,0,0,8,3,4,0,4,0,0,4,0,10,5.33333333333333
"27",0,0,0,0,0,0,0,7,1,0,4,0,4,6,0,0,0,0,0,4,4,0,0,0,0,0,0,0,1,5,5,0,0,0,0,0,0,0,4,1.15384615384615
"28",6,26,13,0,0,5,9,10,3,0,28,13,1,0,0,3,0,16,5,7,0,0,3,9,0,0,0,0,10,4,0,0,3,8,0,0,0,0,7,4.84615384615385
"29",0,19,7,0,0,0,0,21,18,0,0,0,3,0,2,1,82,9,26,19,16,0,3,0,0,0,0,0,4,0,0,0,12,4,0,9,0,13,3,6.94871794871795
"30",0,0,3,0,0,7,4,0,0,0,0,0,18,0,1,0,56,0,0,23,0,0,0,0,0,5,0,26,0,0,0,7,0,0,0,0,0,0,0,3.84615384615385
"31",2,11,0,0,4,0,0,0,0,0,0,40,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,22,0,0,14,1,0,0,17,0,5,40,0,4.43589743589744
"32",0,6,10,1,0,0,0,0,0,0,0,5,0,0,0,28,28,0,0,0,0,0,0,0,0,2,0,0,0,4,0,0,0,0,0,0,0,4,0,2.25641025641026
"33",1,3,0,0,0,0,0,1,0,0,0,0,0,0,0,17,0,0,0,9,0,0,0,0,0,7,0,0,0,3,1,12,0,0,0,0,0,0,38,2.35897435897436
"34",0,1,0,0,0,0,0,1,10,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,5,0,0,0,0,27,0,0,0,0,1.41025641025641
"35",0,4,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0.487179487179487
"36",0,0,0,0,0,0,0,1,0,0,0,7,0,0,0,9,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0.692307692307692
