Year,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0.0242424242424242,0.0242424242424242,0,0.0242424242424242,0,0,0.0242424242424242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0,0
6,2.44444444444444,22,3.36797385620915,2.44444444444444,2.44444444444444,0,2.44444444444444,3.36797385620915,18.8444444444444,0,2.44444444444444,2.44444444444444,3.36797385620915,0,2.44444444444444,2.44444444444444,2.44444444444444,0,2.44444444444444,2.44444444444444,2.44444444444444,0,2.44444444444444,2.44444444444444,2.44444444444444,0,17.4444444444444,2.44444444444444,2.44444444444444,0,2.44444444444444,2.44444444444444,2.44444444444444,0,2.44444444444444,2.44444444444444,2.44444444444444
7,0,19.6,4.47647058823529,7.29361344537815,22.1,0,23.4,4.47647058823529,19.6,0,0,2.81714285714286,0,35,37.6,0,0,0,0,19.6,0,0,0,37.6,0,0,0,0,0,0,0,36.3,0,0,0,0,0
8,7.6857142857143,25.9,14.7542857142857,44.7,7.06857142857143,0,0,0,27,17.8,17.8,0,23.4,0,44.8,0,0,0,20.5,0,0,0,58.9,51,0,0,16.4,25.8,0,0,0,53.6,31.2,30.6,0,0,27
9,0,0,29.5657142857143,0,0,0,35.3,25.6,22.5,0,23.2,7.06571428571429,0,90.7,0,0,0,15.9,29.3,68.4,0,0,18.3,15.9,25.6,0,27.9,0,0,27.6,25.9,0,36.1,0,0,0,39.6
10,7.43142857142857,0,7.12647058823529,24.6,26,24.6,0,11.6,34.6,9.6,32.7,7.12647058823529,14.5578991596639,18.3,43.9,0,0,81.7,0,19.9,0,30.2,0,20.2,11.9,9.8,6.9,17.5,8.8,5.1,5.5,9.8,0,9.2,0,23.2,16.8
11,33.2,21.1,5.6,23.8,24.1333333333333,31.4,17.3,3.9,4.5,8.9,17.9777777777778,14.6,37,23.8,6.4,17.5333333333333,20.6,44.2,0,3.9,18.4,28.1,20.8333333333333,16,18.4,15,6.7,38.1,0,34.9,35.5,3.6,0,22,12.8,12.6,22.4
