"","MIXEDVEGg"
"1981",0.233468120056797
"1982",0.230191860045343
"1983",0.209619202395922
"1984",0.181447422800433
"1985",0.192941029097328
"1986",0.210359182190308
"1987",0.210660975148829
"1988",0.223157449195778
"1989",0.188413681984798
"1990",0.180551702265376
"1991",0.202798995429408
"1992",0.220402075560778
"1993",0.200214000957409
"1994",0.252828595607994
"1995",0.2262827674545
"1996",0.217004150641253
"1997",0.208051683913994
"1998",0.260929136337932
"1999",0.248695580428966
"2000",0.2476338
"2001",0.2520239
"2002",0.1977769
"2003",0.2214742
"2004",0.1950807
"2005",0.2024467
"2006",0.2221935
"2007",0.2358465
"2008",0.2151321
"2009",0.2017967
"2010",0.251949
"2011",0.2496889
"2012",0.2404762
"2013",0.2106792
"2014",0.2654391
"2015",0.1517648
"2016",0.2261763
"2017",0.2390068
"2018",0.2398828
"2019",0.1981462
