Year,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
1,0.0628394864864865,0,0,0,0,0,0.0606886111111111,0.0606886111111111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.18479,0,0,0,0,0,0,0,0,2.325061
2,0,0,0.586300864864865,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.508222,0,17.18491,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0.0228254810810811,0,0,0,0,0,0,0,0.8445428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0.0797408529411765,0.145419852941176,0,0,2.064341,0,0.145419852941176,0.0797408529411765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.075633,0,0
6,0.1404227,1.404227,0.213292728571429,0.213292728571429,0.1404227,0,0.1404227,0.270651025868726,0.1404227,0,0.1404227,2.6908737,0.1404227,0,0.1404227,0.1404227,0.1404227,0,0.1404227,0.1404227,8.5069497,0,0.1404227,0.1404227,0.1404227,0,2.2626797,0.1404227,0.1404227,0,0.1404227,0.1404227,0.1404227,0,0.1404227,0.1404227,0.1404227
7,9.043114,0,0.0825083142857143,0,0.0825083142857143,0,0,0.454965432432432,0,0,0,0,0,2.887791,4.441444,0.0825083142857143,0,0,0,0,9.917113,0,0,5.696085,0,0,7.790607,0,0,0,0,3.254169,0,0,0,0,0
8,0,20.33876,0.824681648648649,1.924773,0.247582027027027,0,0,0,0,1.699748,1.68802,0,0,0,10.252347,0.0459391351351351,0,0,0,0,0,6.686044,29.87859,0,0,0,0,15.897064,23.240074,0,0,24.271865,9.493762,0,0,0,15.59286
9,0.101292972222222,0,0.635856166666666,0,0,0.980164864864865,20.869665,0,0,0,0.534563194444444,1.779371,0,34.420306,0,0,8.674385,0,0,18.525228,8.066099,0,0,0,24.920796,0,5.688392,0,0,6.478402,0,0,4.578949,1.867176,0,0,0
10,1.38217420555556,0,0.243243243243243,0.480176702702703,0,1.063486,1.56036380405405,0.315219432432432,23.975118,0,5.635135,0.654572540540541,0.94507575,5.165044,25.420632,0,0,21.497445,0,7.898081,0,3.264573,0,45.18107,5.087727,11.35885,0,0,0.8584564,0,0,0,0,4.143641,0,16.81097,4.588916
