"","MIXEDVEGg"
"1981",0.204054334638795
"1982",0.190050449251097
"1983",0.160873883092195
"1984",0.110292611690096
"1985",0.151075040587579
"1986",0.176089721853539
"1987",0.159528284343881
"1988",0.13676498482374
"1989",0.155888252818692
"1990",0.141957634403102
"1991",0.141211541317067
"1992",0.176249251326382
"1993",0.149669063436703
"1994",0.197166704465296
"1995",0.179190626119009
"1996",0.158406925313848
"1997",0.162659404550403
"1998",0.18088127487027
"1999",0.187868109593593
"2000",0.1907461
"2001",0.1967566
"2002",0.1463929
"2003",0.1632484
"2004",0.1370152
"2005",0.1637433
"2006",0.1724293
"2007",0.1677767
"2008",0.1440624
"2009",0.1457668
"2010",0.1871797
"2011",0.1841302
"2012",0.1707324
"2013",0.1535707
"2014",0.1946018
"2015",0.163367
"2016",0.1622714
"2017",0.1773405
"2018",0.1974386
"2019",0.1741271
