"","MIXEDVEGg"
"1981",0.274887200005677
"1982",0.280757154691979
"1983",0.278075363037946
"1984",0.246451801894134
"1985",0.26095785939262
"1986",0.313768557114923
"1987",0.273701035226097
"1988",0.295539885139837
"1989",0.258205722231393
"1990",0.272017917227097
"1991",0.22175768016647
"1992",0.275027891020066
"1993",0.234594688767395
"1994",0.306117000719548
"1995",0.279983586659969
"1996",0.253784536172603
"1997",0.215587681544109
"1998",0.341482012657588
"1999",0.292679904246505
"2000",0.2971082
"2001",0.2892773
"2002",0.2215692
"2003",0.2976118
"2004",0.2650551
"2005",0.2612968
"2006",0.2782368
"2007",0.2801204
"2008",0.2761555
"2009",0.2844106
"2010",0.2725721
"2011",0.2806852
"2012",0.2675832
"2013",0.3213519
"2014",0.337861
"2015",0.2705325
"2016",0.2864397
"2017",0.277141
"2018",0.2891279
"2019",0.2989263
