Time,NDVI
Jul 1981,0.3348387
Jul 1982,0.09422581
Jul 1983,0.1420887
Jul 1984,0.29325
Jul 1985,0.2257177
Jul 1986,0.5534356
Jul 1987,0.2717339
Jul 1988,0.2166774
Jul 1989,0.3150161
Jul 1990,0.4263871
Jul 1991,0.2985968
Jul 1992,0.2286452
Jul 1993,0.246742
Jul 1994,0.2850242
Jul 1995,0.2293065
Jul 1996,0.5051774
Jul 1997,0.4154597
Jul 1998,0.2869436
Jul 1999,0.3705646
Jul 2000,0.3337419
Jul 2001,0.366621
Jul 2002,0.2741855
Jul 2003,0.3917903
Jul 2004,0.3837339
Jul 2005,0.4910565
Jul 2006,0.4151613
