Time,Monitoring Merged Station-Satellite Rainfall
1-10 Jan 1981,0.0
11-20 Jan 1981,1.0
21-31 Jan 1981,2.0
1-10 Feb 1981,2.0
11-20 Feb 1981,3.0
21-28 Feb 1981,1.0
1-10 Mar 1981,90.0
11-20 Mar 1981,44.0
21-31 Mar 1981,63.0
1-10 Apr 1981,40.0
11-20 Apr 1981,33.0
21-30 Apr 1981,22.0
1-10 May 1981,6.0
11-20 May 1981,15.0
21-31 May 1981,1.0
1-10 Jun 1981,0.0
11-20 Jun 1981,1.0
21-30 Jun 1981,6.0
1-10 Jul 1981,99.0
11-20 Jul 1981,128.0
21-31 Jul 1981,161.0
1-10 Aug 1981,157.0
11-20 Aug 1981,142.0
21-31 Aug 1981,87.0
1-10 Sep 1981,17.0
11-20 Sep 1981,36.0
21-30 Sep 1981,14.0
1-10 Oct 1981,23.0
11-20 Oct 1981,2.0
21-31 Oct 1981,2.0
1-10 Nov 1981,6.0
11-20 Nov 1981,3.0
21-30 Nov 1981,8.0
1-10 Dec 1981,0.0
11-20 Dec 1981,0.0
21-31 Dec 1981,0.0
1-10 Jan 1982,6.0
11-20 Jan 1982,12.0
21-31 Jan 1982,0.0
1-10 Feb 1982,8.0
11-20 Feb 1982,10.0
21-28 Feb 1982,9.0
1-10 Mar 1982,15.0
11-20 Mar 1982,9.0
21-31 Mar 1982,10.0
1-10 Apr 1982,56.0
11-20 Apr 1982,34.0
21-30 Apr 1982,9.0
1-10 May 1982,55.0
11-20 May 1982,0.0
21-31 May 1982,6.0
1-10 Jun 1982,2.0
11-20 Jun 1982,6.0
21-30 Jun 1982,6.0
1-10 Jul 1982,64.0
11-20 Jul 1982,85.0
21-31 Jul 1982,131.0
1-10 Aug 1982,150.0
11-20 Aug 1982,181.0
21-31 Aug 1982,93.0
1-10 Sep 1982,49.0
11-20 Sep 1982,28.0
21-30 Sep 1982,28.0
1-10 Oct 1982,58.0
11-20 Oct 1982,34.0
21-31 Oct 1982,2.0
1-10 Nov 1982,20.0
11-20 Nov 1982,14.0
21-30 Nov 1982,30.0
1-10 Dec 1982,0.0
11-20 Dec 1982,5.0
21-31 Dec 1982,0.0
1-10 Jan 1983,3.0
11-20 Jan 1983,0.0
21-31 Jan 1983,10.0
1-10 Feb 1983,31.0
11-20 Feb 1983,0.0
21-28 Feb 1983,0.0
1-10 Mar 1983,0.0
11-20 Mar 1983,16.0
21-31 Mar 1983,18.0
1-10 Apr 1983,56.0
11-20 Apr 1983,106.0
21-30 Apr 1983,40.0
1-10 May 1983,11.0
11-20 May 1983,42.0
21-31 May 1983,34.0
1-10 Jun 1983,24.0
11-20 Jun 1983,0.0
21-30 Jun 1983,0.0
1-10 Jul 1983,44.0
11-20 Jul 1983,41.0
21-31 Jul 1983,130.0
1-10 Aug 1983,92.0
11-20 Aug 1983,182.0
21-31 Aug 1983,84.0
1-10 Sep 1983,7.0
11-20 Sep 1983,29.0
21-30 Sep 1983,0.0
1-10 Oct 1983,26.0
