"","MIXEDVEGg"
"1981",0.266852767220054
"1982",0.183359904431611
"1983",0.258384992822863
"1984",0.269693669719185
"1985",0.227543098085564
"1986",0.233169969983624
"1987",0.20544369190289
"1988",0.140220536994347
"1989",0.226585685673976
"1990",0.201472646694812
"1991",0.205749740795958
"1992",0.185580875460698
"1993",0.232706955473858
"1994",0.163450037229547
"1995",0.19170214526058
"1996",0.266499618910692
"1997",0.224223465052428
"1998",0.193789651724694
"1999",0.173683553173545
"2000",0.1540904
"2001",0.2127729
"2002",0.1817587
"2003",0.191343
"2004",0.203622
"2005",0.2650841
"2006",0.2267977
"2007",0.3023885
"2008",0.1580758
"2009",0.1822388
"2010",0.2261768
"2011",0.2059511
"2012",0.2214344
"2013",0.1688203
"2014",0.199308
"2015",0.2130267
"2016",0.2429599
"2017",0.2099719
"2018",0.2252567
"2019",0.2151215
