"Year","Sow Dekad","Rainfall for Phase  1","Rainfall for Phase  2","Rainfall for Phase  3","Payout for Phase  1","Payout for Phase  2","Payout for Phase  3","Total Payout"
1983,16,26.78,1.9,39.33,0,0,0,0
1984,16,0.55,3.99,22.45,100,0,78.8,178.8
1985,16,0,25,75,100,0,0,100
1986,16,37.1,29.01,54.01,0,0,0,0
1987,16,3.36,25.4,30.72,100,0,39.43,139.43
1988,16,3.68,18.22,68.22,100,0,0,100
1989,16,1.45,15.81,35.68,100,0,15.79,115.79
1990,16,0,9.18,47.58,100,0,0,100
1991,16,10.32,0,36.6,0,0,11.42,11.42
1992,16,0,0,50,100,0,0,100
1993,16,25.64,25,75,0,0,0,0
1994,16,0,25,75,100,0,0,100
1995,16,0,13.67,63.67,100,0,0,100
1996,16,25,3.67,28.67,0,0,49.17,49.17
1997,16,41.73,43.83,50,0,0,0,0
1998,16,35.41,43.66,75,0,0,0,0
1999,16,0.98,25.98,75,100,0,0,100
2000,16,18.46,20.1,53.62,0,0,0,0
2001,16,9,0,48.11,0,0,0,0
2002,16,4.46,0,30.32,100,0,41.32,141.32
2003,16,11.26,28.8,53.65,0,0,0,0
2004,16,8.26,8.26,49.77,0,0,0,0
2005,16,18.91,36.36,60.34,0,0,0,0
2006,16,3.83,8.3,33.3,100,0,27.16,127.16
2007,16,5.8,30.8,75,0,0,0,0
2008,16,0,13.61,63.61,100,0,0,100
2009,16,0.8,2.77,39.58,100,0,0,100
2010,16,20.3,25.17,41.4,0,0,0,0
2011,16,31.33,27.76,50.67,0,0,0,0
2012,16,10.21,35.21,57.21,0,0,0,0
2013,16,3.92,22.91,68.99,100,0,0,100
2014,16,0,25,75,100,0,0,100
2015,16,0,25,63.84,100,0,0,100
2016,16,13.42,17.63,61.94,0,0,0,0
2017,16,0,25,72.6,100,0,0,100
2018,16,9.01,25,75,0,0,0,0
2019,16,31.95,1.29,37.41,0,0,7.56,7.56
