"year","MIXEDET"
1983,45.2176910707806
1984,53.8006707033948
1985,46.8686748434267
1986,52.0415602250773
1987,59.3878406615744
1988,33.9087207347622
1989,44.115501617196
1990,36.2135030114835
1991,42.4874464986543
1992,60.3207653600894
1993,52.7305210269929
1994,37.5094999308141
1995,47.2080340088132
1996,45.7357881456957
1997,60.0210938848008
1998,45.0707063302585
1999,62.7281081100055
2000,52.68973
2001,35.98411
2002,36.209
2003,57.7696
2004,50.47868
2005,61.02974
2006,53.76437
2007,59.58957
2008,46.66977
2009,53.24007
2010,67.83494
2011,61.64504
2012,57.24014
2013,64.0186896432679
2014,62.45468
