"","1","2","3"
"1981",35,46,75
"1982",45,41,75
"1983",39,35,75
"1984",43,50,75
"1985",46,50,75
"1986",68,50,75
"1987",50,33,75
"1988",50,37,75
"1989",57,37,75
"1990",22,38,75
"1991",48,41,75
"1992",41,50,75
"1993",38,25,75
"1994",57,50,75
"1995",24,44,75
"1996",69,50,73
"1997",70,50,75
"1998",63,50,75
"1999",29,50,75
"2000",19,37,75
"2001",70,45,75
"2002",48,49,75
"2003",32,50,75
"2004",59,50,75
"2005",32,50,69
"2006",30,50,75
"2007",51,35,75
"2008",57,35,75
"2009",49,50,75
"2010",59,50,75
"2011",19,31,75
"2012",50,50,68
"2013",48,50,75
"2014",46,46,75
"2015",25,45,70
"2016",30,50,75
"2017",35,50,75
"2018",64,40,75
"2019",63,38,75
"2020",56.8205128205128,50,75
