Year,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
1,0.112685027027027,0,0,0,0,0,0.109099166666667,0.109099166666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.92757,0,0,0,0,0,0,0,0,4.169346
2,0,0,0.679416216216216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.1384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0.060302,0,0,0,0,0,0,0,2.231174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,5.131009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0.1231604,1.231604,0.317798788888889,0.1231604,0.317798788888889,0,0.1231604,0.678773778378378,0.1231604,0,0.1231604,0.1231604,0.1231604,0,0.1231604,0.1231604,0.1231604,0,0.1231604,19.0449804,7.5197734,7.006982,0.1231604,0.1231604,0.1231604,0,1.7590354,0.1231604,0.1231604,0,0.1231604,0.1231604,0.1231604,0,0.1231604,0.1231604,0.1231604
7,0,0,0.207806638888889,0.126927638888889,0.080879,0,4.569395,18.32112,0,0,0,0,0,2.830765,0,0.080879,0,0,0,0,0,0,0,3.827294,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0,21.22731,0.520297945945946,1.259605,0.405355891891892,0,0,0,0,0,13.913449,0,3.87467,0,4.529883,0,0,0,0,0,0,0,28.118824,0,0,0,0,10.71212,21.180062,0,0,5.186857,0,0,0,0,0
9,0.0922993611111111,0,16.2531705,3.322777,0,0,2.892842,4.785279,0,0,0.213281138888889,0,0,21.745681,0,0,1.004987,0,0,0,0,0,0,0,7.481308,0,3.994078,0,0,0,0,0,6.145242,0,0,0,0
10,0.196704111111111,0,0.361122648648649,0.509209216216216,0,1.55001,2.27360292042042,0.340985135135135,34.401813,0,5.396358,0.210268810810811,1.06731705555556,0,26.456454,0,0,44.369173,0,6.637701,0,2.303074,0,0,7.481425,28.64339,4.425576,5.446682,0,0,0,0,0,0,0,7.779946,3.734148
11,0,0,0,0,52.72978,0,0.911143383333333,0,3.55933,3.945582,0.247206555555556,7.861036,7.937882,3.824575,0,0.147836916666667,0,6.669223,0,0,0,0,16.015036,39.168797,0,10.4077,0,4.495774,0,2.142402,26.6250458,4.537338,0,0,0,0,0
12,7.50409711666667,9.883225,7.36868862857143,2.518279,1.1154645,0,2.94474457142857,24.635912,0,0,40.502563,1.956114,12.66933,35.394599,0,0,0,13.72134,0,0,0,9.716042,17.16913,7.801106,5.952366,0,0,14.381071,8.146026,3.249909,0,16.535221,0,0,16.07792,0,0
13,5.390009,0,5.01001372936508,2.946555,39.64962,23.770961,0,0,32.605801,38.387228,0,26.933389,11.596479,5.650169,17.0783332571429,14.602108,0,3.892024,7.015588,0,0,0,0,19.830474,0,11.331744,0,43.892349,0,21.641133,0,0,15.634947,29.5133328,22.725086,3.865131,0
14,5.869062,0,4.78563754285714,2.91689104285714,92.302907,0,6.8547275,0,0,0,33.370777,2.385699,1.750674,57.427251,72.548505,11.62928,0,0,0,0,0,0,3.420362,8.292994,1.48259,27.150724,0,0,27.347127,6.977593,12.33117,30.432428,0,0,54.359061,0,12.80419
15,3.132814,0,0,1.07056537142857,156.257511,0,2.39824355555556,0,4.529658,0,4.872472,0,3.604653,51.907607,67.753932,7.07526237142857,0,0,0,0,0,0,14.631704,0,0,0,0,0,44.456623,0,0,31.288192,5.182846,0,5.255752,18.546293,26.25182
