"","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"1",0,5,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
"2",0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3",3,0,7,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4",1,5,11,1,1,0,0,0,7,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5",3,11,0,1,1,0,0,0,0,17,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6",0,5,0,1.5,0,5,0,1.5,0,8,0,1.5,0,0,1,1.5,0,0,0,1.5,0,0,26,1.5,0,0,0,1.5,0,0,0,1.5,0,0,0,1.5,0,0,0,1.5
"7",13,16,0,0,6,16,0,0,0,18,0,0,0,2,0,5,0,0,0,0,0,0,0,0,12,0,0,0,10,0,9,0,0,0,0,0,0,0,0,0
"8",38,6,9,0,5,20,8,0,20,0,0,0,37,0,0,0,8,0,0,0,0,0,0,31,27,13,0,0,15,32,15,0,0,15,0,0,0,1,21,0
"9",53,5,0,0,12,0,0,0,29,21,0,0,0,2,0,85,0,0,24,20,0,35,0,0,0,0,34,0,15,0,0,13,0,0,16,0,0,24,0,0
"10",20,26,15,0,33,33,16,18,13,0,32,0,43,5,9,14,7,0,0,20,4,13,0,21,0,12,23,20,12,10,8,2,6,12,1,0,0,2,0,11.5384615384615
"11",22,13,9,14,10,39,31,32,33,0,9,5,26,13,40,15,2,8,6,47,0,0,15,12,32,25,14,15,6,23,3,0,37,2,13,14,0,0,25,15.6410256410256
"12",25,17,15,3,41,13,5,0,22,38,15,13,34,13,11,59,3,20,11,35,11,0,5,20,41,10,0,7,2,25,19,36,11,6,0,44,0,1,0,16.1794871794872
"13",5,39,21,10,49,12,24,18,6,9,36,51,6,25,38,15,6,53,3,23,28,0,0,0,0,39,0,7,2,19,0,21,0,21,46,69,17,2,5,18.5897435897436
"14",27,11,32,15,17,8,59,23,17,0,4,0,38,27,5,82,37,11,0,0,0,0,8,0,11,8,9,49,9,3,7,0,14,65,0,0,76,0,27,17.9230769230769
"15",5,9,25,22,0,13,99,3,2,13,13,2,17,0,32,25,36,6,0,0,0,2,2,1,32,24,2,1,0,9,42,0,0,32,4,20,10,26,46,14.7435897435897
"16",0,5,25,0,0,23,4,19,16,0,0,0,16,31,3,47,17,16,0,2,17,4,2,5,1,2,10,14,0,11,0,0,4,0,0,0,4,18,22,8.66666666666667
"17",5,14,0,17,18,14,25,9,30,7,15,11,5,5,0,3,9,8,2,0,33,22,3,21,3,1,27,29,10,1,5,21,27,19,11,7,0,22,48,13
"18",17,17,12,35,18,46,8,13,12,16,13,28,3,58,16,20,31,24,27,20,24,26,76,25,24,43,39,11,11,18,9,39,51,18,0,44,31,9,14,24.2564102564103
"19",101,38,22,44,57,58,38,30,21,29,44,40,61,34,57,42,68,75,61,36,59,18,83,39,88,72,109,33,52,21,42,61,33,54,16,73,49,43,29,49.4871794871795
"20",91,36,29,63,111,55,30,84,44,63,33,62,51,94,99,84,56,44,66,44,73,37,63,93,11,46,39,40,63,84,50,10,53,59,48,61,33,41,60,56.4871794871795
"21",70,46,59,38,45,127,25,108,51,51,38,66,52,70,91,18,66,166,73,62,100,71,98,64,46,53,113,56,42,67,73,82,56,35,61,117,31,66,70,67.2564102564103
"22",51,61,44,48,39,52,61,70,62,35,42,63,43,44,29,38,39,69,54,72,149,62,79,94,46,84,89,46,43,45,69,103,32,84,36,33,80,67,107,60.6153846153846
"23",73,82,67,44,48,51,75,65,53,21,38,125,20,93,72,55,46,130,84,23,64,64,36,47,88,55,46,38,39,58,10,22,73,33,81,24,81,73,42,57.4102564102564
"24",67,43,54,25,52,63,50,38,29,13,39,92,60,119,42,95,30,93,80,40,57,15,49,42,73,107,35,11,82,66,19,49,28,68,98,51,81,77,85,56.8461538461538
"25",19,28,11,14,31,15,14,10,23,13,15,52,35,40,76,44,5,31,30,39,3,27,42,0,8,18,49,43,0,66,45,32,16,50,9,32,36,0,61,27.7435897435897
"26",29,25,20,16,16,11,11,35,10,11,7,26,11,16,9,22,2,15,1,23,0,1,19,0,21,10,3,0,0,35,6,23,0,9,0,0,18,34,31,13.4871794871795
"27",2,14,3,4,6,3,0,12,5,15,13,0,8,7,23,0,6,0,0,4,0,0,0,0,0,8,0,0,0,13,3,0,0,0,0,1,8,5,21,4.71794871794872
"28",11,52,22,0,0,7,16,13,0,0,13,12,0,0,0,1,0,10,5,0,0,5,5,14,0,5,0,23,12,0,0,0,2,12,0,0,1,0,2,6.23076923076923
"29",0,29,10,0,0,6,0,36,17,0,0,0,3,0,3,0,94,0,5,25,0,0,0,0,0,0,0,21,2,0,0,0,1,0,0,3,0,0,0,6.53846153846154
"30",0,0,4,0,9,8,11,0,0,0,0,0,20,0,0,0,44,2,6,45,1,0,1,0,0,14,0,35,0,0,0,16,0,0,1,0,0,0,0,5.56410256410256
"31",3,23,0,0,7,1,0,0,1,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,49,0,0,36,6,0,3,0,5
"32",2,7,14,3,21,0,0,2,0,0,0,0,0,0,1,50,37,0,4,0,0,0,0,0,13,0,0,0,0,0,0,0,36,0,13,0,3,1,0,5.30769230769231
"33",3,6,0,7,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,21,0,0,0,0,0,0,0,32,30,0,0,0,0,0,38,3.8974358974359
"34",0,0,0,0,0,0,0,0,7,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0.897435897435897
"35",0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.153846153846154
"36",0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.102564102564103
