"","MIXEDVEGg"
"1981",0.193311533233707
"1982",0.141591480305386
"1983",0.165023493611675
"1984",0.19372975818053
"1985",0.209761570421369
"1986",0.20236136935592
"1987",0.193509031348611
"1988",0.150048822082887
"1989",0.210005525970304
"1990",0.211341519327086
"1991",0.136294000325804
"1992",0.192916537003899
"1993",0.198643838282055
"1994",0.175746229521181
"1995",0.192149809274813
"1996",0.244392634383285
"1997",0.244961863997466
"1998",0.179394038430485
"1999",0.181636167831961
"2000",0.2106742
"2001",0.2396018
"2002",0.1556415
"2003",0.1776231
"2004",0.1730312
"2005",0.2136634
"2006",0.187831
"2007",0.2396301
"2008",0.2062186
"2009",0.132537
"2010",0.1496241
"2011",0.237374
"2012",0.2136657
"2013",0.1893074
"2014",0.2184302
"2015",0.1852584
"2016",0.1900167
"2017",0.2410225
"2018",0.1827725
"2019",0.2211607
