"","1","2","3"
"1983",18.9,25,74.8
"1984",6.2,0,36
"1985",0,25,65.2
"1986",46.4742857142857,50,75
"1987",18.8888888888889,39.2888888888889,61
"1988",11.2,25,75
"1989",28.7965079365079,39.5,75
"1990",0,25,75
"1991",36.8,49.5,75
"1992",0,25,75
"1993",13.9,16.3,66.3
"1994",11.7,25,75
"1995",32.1,14.5,50
"1996",48.4,25,75
"1997",72.2,50,71.6
"1998",32.2,50,75
"1999",30.4,50,75
"2000",32.4,50,75
"2001",25,39.1,64.1
"2002",13.5,20.8,70.8
"2003",19.1,39.5,75
"2004",25,25,50
"2005",29.6,50,75
"2006",0,25,75
"2007",61.6,50,75
"2008",22.2,25,75
"2009",14.7,25,75
"2010",40.3,50,75
"2011",40.3,50,75
"2012",29.6,50,75
"2013",8.4,25,75
"2014",0,18.6,68.6
"2015",22.2,14.5,34.9
"2016",39.4,50,75
"2017",24.2,41.4,75
"2018",63.9,50,75
"2019",32,39.5,75
