Time,NDVI
Oct 1981,0.6135807
Oct 1982,0.6561452
Oct 1983,0.3760968
Oct 1984,0.4284839
Oct 1985,0.5498387
Oct 1986,0.5690323
Oct 1987,0.6300162
Oct 1988,0.4399194
Oct 1989,0.5231613
Oct 1990,0.5919033
Oct 1991,0.4710968
Oct 1992,0.5504032
Oct 1993,0.5121452
Oct 1994,0.5237742
Oct 1995,0.5124032
Oct 1996,0.4932581
Oct 1997,0.5046613
Oct 1998,0.4776452
Oct 1999,0.5069678
Oct 2000,0.5188226
Oct 2001,0.4764032
Oct 2002,0.5869032
Oct 2003,0.5003387
Oct 2004,0.4907904
Oct 2005,0.4948549
Oct 2006,0.4782258
