"","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"1",0.8707551,4.092517,0.9425985,1.151881,3.723897,1.303747,1.263235,1.101262,1.224835,1.624826,1.513002,1.706613,2.475643,1.157716,1.092657,1.416589,1.432096,2.839045,6.999236,1.108473,1.111761,1.687335,1.464034,1.642147,1.232231,1.22969,1.409825,1.590555,1.131652,1.512184,1.530926,1.183174,0.8236868,0.7757999,0.7609643,0.8334491,0.5171376,0.6119047,0.6171345,2.845729
"2",0.7000655,3.518672,1.122195,1.123879,1.611515,1.257381,1.22444,1.06364,2.285594,1.443802,1.410997,2.000612,5.110091,1.130724,1.055161,1.413131,1.37533,2.814405,2.699062,1.14035,1.141001,1.461909,1.504974,1.690223,1.245306,1.153025,3.470686,2.882615,1.108159,1.235359,2.216473,1.20765,0.8744454,0.7307248,0.7277341,0.6721081,0.4913702,0.5770112,0.6002686,0.7376518
"3",0.7492427,0.8205043,1.666772,1.571345,2.683886,1.763714,1.835054,1.704892,1.734122,2.251304,2.243686,3.267731,3.445639,1.57359,1.717483,4.182819,2.013489,2.912092,3.647076,1.608262,1.613033,2.244538,3.653732,2.382636,1.788007,1.555155,2.155486,2.137954,1.684493,1.898242,1.960535,1.562638,1.648593,1.430543,1.449263,1.432405,1.012185,1.273381,1.347881,1.90694
"4",0.7465903,9.966256,2.917728,0.8986827,2.529624,2.64576,1.463931,4.875231,3.808574,8.365346,2.000425,2.053709,2.276498,1.439517,2.594816,1.414173,3.031082,4.553954,1.278376,1.249736,0.9865511,0.9248244,2.320308,1.220706,1.322021,0.8764963,1.751711,0.825483,1.164409,1.048807,1.085835,0.8793873,1.551769,1.769756,2.056167,1.244091,2.276893,1.644434,1.219897,1.305584
"5",1.161047,3.343536,2.626159,0.9909495,2.858014,3.188124,1.483924,11.50302,1.171835,7.087526,2.336214,2.001258,2.625962,1.614661,2.998901,1.776171,1.751547,1.971668,1.380463,1.046129,1.153042,1.140556,2.707413,1.425579,5.689727,1.105979,9.278367,1.19406,1.504075,1.349429,1.193935,1.015424,1.543406,2.900631,1.791602,1.432613,22.29771,2.200689,9.42907,1.633995
"6",0.9548419,15.13737,2.223311,3.52506282,2.193605,2.173987,1.858542,3.52506282,1.473907,6.69467,1.727623,3.52506282,8.210699,9.299061,7.183853,3.52506282,1.243125,1.688755,1.344499,3.52506282,2.886779,0.9722,8.041698,3.52506282,1.365232,0.9854046,1.721269,3.52506282,1.005511,0.9289961,1.116126,3.52506282,1.270824,1.627848,1.482511,3.52506282,10.10733,3.650353,5.181954,3.52506282
"7",8.221178,21.0934,1.768981,2.829991,2.968988,2.580641,23.4289,1.960271,10.11026,15.87187,3.607832,4.170568,6.496423,2.504451,4.117496,22.58046,10.69831,3.580075,3.432926,1.982381,5.304999,9.252773,5.505159,4.469111,3.688206,10.52191,4.319825,2.185287,6.618272,4.798926,2.005726,2.22857,1.917129,8.202979,2.801517,3.455925,3.419628,2.018139,2.504517,6.13394871794872
"8",9.683132,6.598178,2.789009,11.45415,2.764709,1.757384,3.173789,1.787708,5.023001,3.165147,4.249172,9.136522,6.638014,2.582328,4.173681,12.19112,10.04848,2.880547,2.639919,1.857399,25.32796,4.813142,5.056851,8.027056,18.1698,24.87592,2.751896,1.801277,3.319259,3.16782,15.57367,2.376002,3.081298,14.14006,4.638626,7.407737,2.853448,2.271951,4.056246,6.62316430769231
"9",14.96628,8.18379,2.2792,2.380961,17.91383,1.788893,3.603892,1.754232,18.07226,16.10419,3.330438,5.281727,32.47816,2.526002,14.04683,24.11541,4.229285,3.225305,2.868937,3.320782,6.332491,18.44946,9.141478,4.20805,3.432573,9.122038,6.628864,1.541313,13.02037,3.602873,1.748517,12.52069,3.071853,1.642321,7.915426,6.315429,1.983032,2.112797,13.01622,7.90451792307692
"10",2.081948,18.28131,2.850143,2.872875,19.478,13.0356,18.7766,3.315913,5.041188,4.21135,11.53503,1.570293,37.76591,3.916194,6.626856,13.86441,18.50623,3.278582,3.503246,7.42208,3.516183,9.31101,4.662805,8.410485,4.917218,12.17581,6.502629,5.910963,2.721721,5.271157,7.362001,7.508135,7.301569,11.43805,2.767632,18.32263,2.055667,12.47522,4.561078,8.59296720512821
"11",4.487713,12.35624,5.759087,7.413473,6.89708,8.752858,2.491065,7.541544,6.161785,3.803419,4.344094,1.711174,20.30371,7.041594,12.28353,12.19981,3.999718,5.934535,2.671601,10.70397,3.517273,7.430012,13.75682,7.620994,16.8127,25.81805,4.374051,3.408913,7.923052,12.53786,2.17997,9.654905,10.39371,2.729803,5.062612,15.88428,1.378896,5.427894,17.24213,8.20543397435898
