"year","MIXEDET"
1983,20.8812224614675
1984,18.970318410339
1985,19.3525942854018
1986,27.6474910463151
1987,20.5021010105434
1988,19.2938989504025
1989,22.5082427438842
1990,21.9580910088419
1991,24.7680203432378
1992,20.0271369193529
1993,20.9036779282807
1994,25.4167370297893
1995,27.0991685891979
1996,24.1550826044503
1997,20.0646443186997
1998,31.562232228674
1999,28.5946537061635
2000,32.21894
2001,32.06383
2002,18.86434
2003,23.36366
2004,21.70987
2005,20.21922
2006,28.89213
2007,24.1181
2008,26.0364
2009,21.83695
2010,24.77285
2011,23.55587
2012,21.15565
2013,23.8241993564495
2014,30.55546
