Time,precipitation
1-10 Jan 1981,0.3487973
11-20 Jan 1981,0.4032905
21-31 Jan 1981,0.4876564
1-10 Feb 1981,0.2279388
11-20 Feb 1981,0.5329524
21-28 Feb 1981,1.204624
1-10 Mar 1981,7.041887
11-20 Mar 1981,23.81107
21-31 Mar 1981,36.31105
1-10 Apr 1981,11.28898
11-20 Apr 1981,15.25457
21-30 Apr 1981,12.66263
1-10 May 1981,4.479226
11-20 May 1981,20.72004
21-31 May 1981,8.037605
1-10 Jun 1981,3.487864
11-20 Jun 1981,8.26269
21-30 Jun 1981,25.39857
1-10 Jul 1981,92.86061
11-20 Jul 1981,84.27634
21-31 Jul 1981,61.63544
1-10 Aug 1981,53.33235
11-20 Aug 1981,70.28059
21-31 Aug 1981,67.15852
1-10 Sep 1981,9.268764
11-20 Sep 1981,12.65535
21-30 Sep 1981,7.701537
1-10 Oct 1981,8.950228
11-20 Oct 1981,1.912831
21-31 Oct 1981,2.150342
1-10 Nov 1981,2.347533
11-20 Nov 1981,2.002786
21-30 Nov 1981,2.881848
1-10 Dec 1981,0.5498804
11-20 Dec 1981,0.1440807
21-31 Dec 1981,0.2008004
1-10 Jan 1982,0.7975273
11-20 Jan 1982,1.184601
21-31 Jan 1982,0.4717548
1-10 Feb 1982,0.3831565
11-20 Feb 1982,0.6681323
21-28 Feb 1982,1.554543
1-10 Mar 1982,13.57516
11-20 Mar 1982,4.862094
21-31 Mar 1982,4.570467
1-10 Apr 1982,22.69199
11-20 Apr 1982,11.00621
21-30 Apr 1982,9.033344
1-10 May 1982,14.7449
11-20 May 1982,12.23223
21-31 May 1982,6.935558
1-10 Jun 1982,12.20673
11-20 Jun 1982,14.93289
21-30 Jun 1982,16.40247
1-10 Jul 1982,31.28766
11-20 Jul 1982,27.95282
1-10 Aug 1982,50.29508
11-20 Aug 1982,46.6714
21-31 Aug 1982,40.20822
1-10 Sep 1982,10.38781
11-20 Sep 1982,4.250989
21-30 Sep 1982,12.2053
1-10 Oct 1982,16.28805
11-20 Oct 1982,8.797539
21-31 Oct 1982,3.327453
1-10 Nov 1982,2.802054
11-20 Nov 1982,2.954922
21-30 Nov 1982,2.223967
1-10 Dec 1982,0.6780223
11-20 Dec 1982,0.1233308
21-31 Dec 1982,0.1791655
1-10 Jan 1983,0.4099019
11-20 Jan 1983,0.6175114
21-31 Jan 1983,0.8205515
1-10 Feb 1983,0.3653108
11-20 Feb 1983,0.7436336
21-28 Feb 1983,1.554543
1-10 Mar 1983,5.537807
11-20 Mar 1983,5.659245
21-31 Mar 1983,6.532739
1-10 Apr 1983,12.75704
11-20 Apr 1983,9.50721
21-30 Apr 1983,25.25772
1-10 May 1983,11.73799
11-20 May 1983,15.03911
21-31 May 1983,12.53456
1-10 Jun 1983,25.3594
11-20 Jun 1983,12.78432
21-30 Jun 1983,16.40247
1-10 Jul 1983,31.28766
11-20 Jul 1983,45.19756
21-31 Jul 1983,90.75069
1-10 Aug 1983,43.39674
11-20 Aug 1983,53.25401
21-31 Aug 1983,88.1434
1-10 Sep 1983,9.143813
11-20 Sep 1983,6.597661
21-30 Sep 1983,4.816813
1-10 Oct 1983,8.905323
11-20 Oct 1983,3.232516
21-31 Oct 1983,3.327453
1-10 Nov 1983,2.802054
11-20 Nov 1983,6.766286
21-30 Nov 1983,2.223967
1-10 Dec 1983,0.6756206
11-20 Dec 1983,0.1264503
21-31 Dec 1983,0.1791655
1-10 Jan 1984,0.5160147
11-20 Jan 1984,0.6099542
21-31 Jan 1984,0.8336571
1-10 Feb 1984,0.263606
11-20 Feb 1984,0.590139
21-29 Feb 1984,3.136603
1-10 Mar 1984,12.56444
11-20 Mar 1984,13.31596
21-31 Mar 1984,6.532739
1-10 Apr 1984,9.282332
11-20 Apr 1984,11.93948
21-30 Apr 1984,11.59703
1-10 May 1984,14.50528
11-20 May 1984,29.79016
21-31 May 1984,17.17853
1-10 Jun 1984,15.42517
11-20 Jun 1984,8.998363
21-30 Jun 1984,27.00169
1-10 Jul 1984,56.08755
11-20 Jul 1984,61.46086
21-31 Jul 1984,38.37735
1-10 Aug 1984,55.40749
11-20 Aug 1984,47.05405
21-31 Aug 1984,32.63339
1-10 Sep 1984,16.88153
11-20 Sep 1984,25.87627
21-30 Sep 1984,11.09702
1-10 Oct 1984,4.016669
11-20 Oct 1984,3.236123
21-31 Oct 1984,3.327453
1-10 Nov 1984,2.768142
11-20 Nov 1984,2.954922
21-30 Nov 1984,1.829262
1-10 Dec 1984,0.6722512
11-20 Dec 1984,0.1273964
21-31 Dec 1984,0.1791655
1-10 Jan 1985,0.5216266
11-20 Jan 1985,0.6247092
21-31 Jan 1985,0.8336571
1-10 Feb 1985,0.3653108
11-20 Feb 1985,0.7370492
21-28 Feb 1985,1.489595
1-10 Mar 1985,20.90131
11-20 Mar 1985,5.659245
21-31 Mar 1985,6.614019
1-10 Apr 1985,26.79826
11-20 Apr 1985,11.81505
21-30 Apr 1985,19.25265
1-10 May 1985,17.83094
11-20 May 1985,10.91336
21-31 May 1985,8.982358
1-10 Jun 1985,12.20673
11-20 Jun 1985,12.78432
21-30 Jun 1985,20.45864
1-10 Jul 1985,39.56329
11-20 Jul 1985,78.11262
21-31 Jul 1985,82.45811
1-10 Aug 1985,36.87606
11-20 Aug 1985,40.97411
21-31 Aug 1985,50.66471
1-10 Sep 1985,16.13795
11-20 Sep 1985,12.37839
21-30 Sep 1985,4.394386
1-10 Oct 1985,4.446635
11-20 Oct 1985,3.232516
