"","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"1-Jan",0.2868623,2.238244,0.3832912,0.4548558,0.5718014,0.5628722,0.5904922,0.591279,0.4934856,0.6851193,0.7520635,0.9706947,1.087249,0.417419,0.4123922,0.8755959,0.7489957,2.081815,1.209165,0.3984341,0.4068454,1.292514,0.6979161,0.5934102,0.62046,0.4863289,0.7587608,0.8575079,0.392901,0.824389,0.595527,0.4226166,0.6444542,0.6733194,0.6577376,0.7274507,0.3600035,0.4836268,0.4196267,0.4451919
"2-Jan",0.2868623,2.238244,0.3832912,0.4548558,0.5718014,0.5628722,0.5904922,0.591279,0.4934856,0.6851193,0.7520635,0.9706947,1.087249,0.417419,0.4123922,0.8755959,0.7489957,2.081815,1.209165,0.3984341,0.4068454,1.292514,0.6979161,0.5934102,0.62046,0.4863289,0.7587608,0.8575079,0.392901,0.824389,0.595527,0.4226166,0.6444542,0.6733194,0.6577376,0.7274507,0.3600035,0.4836268,0.4196267,0.4451919
"3-Jan",0.2868623,2.238244,0.3832912,0.4548558,0.5718014,0.5628722,0.5904922,0.591279,0.4934856,0.6851193,0.7520635,0.9706947,1.087249,0.417419,0.4123922,0.8755959,0.7489957,2.081815,1.209165,0.3984341,0.4068454,1.292514,0.6979161,0.5934102,0.62046,0.4863289,0.7587608,0.8575079,0.392901,0.824389,0.595527,0.4226166,0.6444542,0.6733194,0.6577376,0.7274507,0.3600035,0.4836268,0.4196267,0.4451919
"4-Jan",0.2868623,2.238244,0.3832912,0.4548558,0.5718014,0.5628722,0.5904922,0.591279,0.4934856,0.6851193,0.7520635,0.9706947,1.087249,0.417419,0.4123922,0.8755959,0.7489957,2.081815,1.209165,0.3984341,0.4068454,1.292514,0.6979161,0.5934102,0.62046,0.4863289,0.7587608,0.8575079,0.392901,0.824389,0.595527,0.4226166,0.6444542,0.6733194,0.6577376,0.7274507,0.3600035,0.4836268,0.4196267,0.4451919
"5-Jan",0.2868623,2.238244,0.3832912,0.4548558,0.5718014,0.5628722,0.5904922,0.591279,0.4934856,0.6851193,0.7520635,0.9706947,1.087249,0.417419,0.4123922,0.8755959,0.7489957,2.081815,1.209165,0.3984341,0.4068454,1.292514,0.6979161,0.5934102,0.62046,0.4863289,0.7587608,0.8575079,0.392901,0.824389,0.595527,0.4226166,0.6444542,0.6733194,0.6577376,0.7274507,0.3600035,0.4836268,0.4196267,0.4451919
"6-Jan",0.2868623,2.238244,0.3832912,0.4548558,0.5718014,0.5628722,0.5904922,0.591279,0.4934856,0.6851193,0.7520635,0.9706947,1.087249,0.417419,0.4123922,0.8755959,0.7489957,2.081815,1.209165,0.3984341,0.4068454,1.292514,0.6979161,0.5934102,0.62046,0.4863289,0.7587608,0.8575079,0.392901,0.824389,0.595527,0.4226166,0.6444542,0.6733194,0.6577376,0.7274507,0.3600035,0.4836268,0.4196267,0.4451919
"7-Jan",0.2868623,2.238244,0.3832912,0.4548558,0.5718014,0.5628722,0.5904922,0.591279,0.4934856,0.6851193,0.7520635,0.9706947,1.087249,0.417419,0.4123922,0.8755959,0.7489957,2.081815,1.209165,0.3984341,0.4068454,1.292514,0.6979161,0.5934102,0.62046,0.4863289,0.7587608,0.8575079,0.392901,0.824389,0.595527,0.4226166,0.6444542,0.6733194,0.6577376,0.7274507,0.3600035,0.4836268,0.4196267,0.4451919
"8-Jan",0.2868623,2.238244,0.3832912,0.4548558,0.5718014,0.5628722,0.5904922,0.591279,0.4934856,0.6851193,0.7520635,0.9706947,1.087249,0.417419,0.4123922,0.8755959,0.7489957,2.081815,1.209165,0.3984341,0.4068454,1.292514,0.6979161,0.5934102,0.62046,0.4863289,0.7587608,0.8575079,0.392901,0.824389,0.595527,0.4226166,0.6444542,0.6733194,0.6577376,0.7274507,0.3600035,0.4836268,0.4196267,0.4451919
"9-Jan",0.2868623,2.238244,0.3832912,0.4548558,0.5718014,0.5628722,0.5904922,0.591279,0.4934856,0.6851193,0.7520635,0.9706947,1.087249,0.417419,0.4123922,0.8755959,0.7489957,2.081815,1.209165,0.3984341,0.4068454,1.292514,0.6979161,0.5934102,0.62046,0.4863289,0.7587608,0.8575079,0.392901,0.824389,0.595527,0.4226166,0.6444542,0.6733194,0.6577376,0.7274507,0.3600035,0.4836268,0.4196267,0.4451919
"10-Jan",0.2868623,2.238244,0.3832912,0.4548558,0.5718014,0.5628722,0.5904922,0.591279,0.4934856,0.6851193,0.7520635,0.9706947,1.087249,0.417419,0.4123922,0.8755959,0.7489957,2.081815,1.209165,0.3984341,0.4068454,1.292514,0.6979161,0.5934102,0.62046,0.4863289,0.7587608,0.8575079,0.392901,0.824389,0.595527,0.4226166,0.6444542,0.6733194,0.6577376,0.7274507,0.3600035,0.4836268,0.4196267,0.4451919
