"","1","2","3"
"1981",27,45,75
"1982",53,49,75
"1983",36,32,68
"1984",31,25,75
"1985",14,25,75
"1986",74,50,75
"1987",63,38,75
"1988",64,46,75
"1989",68,50,75
"1990",51,46,71
"1991",58,50,75
"1992",32,49,75
"1993",56,36,75
"1994",59,50,75
"1995",27,49,75
"1996",75,50,75
"1997",60,50,75
"1998",42,50,75
"1999",34,50,75
"2000",34,50,75
"2001",66,50,75
"2002",47,46,71
"2003",46,50,75
"2004",52,50,75
"2005",40,50,75
"2006",33,50,75
"2007",63,50,75
"2008",64,47,75
"2009",23,48,75
"2010",61,50,75
"2011",50,50,75
"2012",48,50,75
"2013",51,50,75
"2014",25,50,75
"2015",43,50,75
"2016",50,50,75
"2017",45,50,75
"2018",75,50,75
"2019",75,50,75
"2020",58.051282051282,50,75
