Year,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
1,0,0,0,0,0,0,0.0796823888888889,0.0796823888888889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.868566,0,0,0,0,0,0,0,0,0
2,0,0,0.129021837837838,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.773808,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0.0768425135135135,0,0,0,0,0,0,0,0,0,0,0,2.843173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0.0561632702702703,0,0,0,0,0,0,0,2.078041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0.234703257142857,0.150733823529412,0.277340712418301,0.234703257142857,0,3.943598,0,0.277340712418301,0.150733823529412,0,0.234703257142857,0,8.214614,0,0,0,0,0,0,0,0,0,2.091199,0,0,0,0,0,0,0,0,0,0,0,7.591599,0,0
6,0.2498648,2.498648,0.328873914285714,0.328873914285714,0.2498648,0,0.2498648,0.432800481853282,0.2498648,0,0.2498648,3.0151838,0.2498648,0,0.2498648,0.2498648,0.2498648,0,0.2498648,0.2498648,0.2498648,0,0.2498648,0.2498648,0.2498648,0,4.0951478,0.2498648,0.2498648,0,0.2498648,0.2498648,0.2498648,0,0.2498648,0.2498648,0.2498648
7,5.962484,0,0.5325788,0,5.7006588,0,0,0.512241621621622,0,0,0,0.410853702702703,0,2.222047,4.567223,0.5325788,0,0,0,17.234181,0,0,9.239103,4.690286,0,0,0,0,0,0,0,18.84108,0,0,0,0,0
8,4.144707,0,0.806166432432432,3.017513,32.618553972973,0,0,0,3.252356,11.12276,0,0,6.838812,0,12.752925,8.65740732432432,0,0,8.376278,0,0,6.200634,39.36844,11.82096,0,0,0,0,20.606886,0,0,31.79423,6.823092,7.455588,0,0,1.659049
9,0.512039944444444,0,2.09623043468468,0,0,1.12504254054054,21.442795,28.142228,6.361504,0,4.90173613888889,0,10.28189,16.811282,5.252334,0,8.447839,6.595614,8.790734,51.666559,7.962641,0,0,2.337171,29.366707,0,4.335346,0,0,2.753779,0,0,6.74945,0,0,0,9.229347
10,1.32649641666667,0,0.208605972972973,0.232195,56.31675,3.490367,1.91594698723724,1.31559456756757,16.377626,0,22.52245,0.485441432432432,7.55940652777778,10.255483,17.068031,0,0,24.913573,0,10.57822,0,3.039133,0,34.64328,7.718421,0,0,7.95065,0,0,0,0,0,5.675317,0,9.246883,0
11,5.507247,4.222257,0,6.593288,30.699328,13.128225,12.9207218333333,0,0,0,7.39165652777778,0,14.099754,7.700666,0,0.245721833333333,4.138294,13.152602,0,0,5.632602,0,16.8159472222222,25.04414,8.160707,6.871729,7.740002,9.629293,0,4.834766,38.238461,0,0,0,0,0,4.544679
12,13.2359948290383,0,6.81224747983194,6.173625,2.04250997222222,1.286649,6.33415636554622,17.395757,0,0,53.190641,28.585836,3.26394,8.19508,40.634477,0,0,11.70346,7.067197,0,22.709347,3.138499,29.982869,3.015326,3.922078,0,0,3.578984,9.187468,4.32418,4.825294,23.588772,0,0,7.199229,21.975197,12.431639
13,10.672615,3.450039,10.790016584127,28.8102188888889,14.33957,0,0,0,19.584978,57.947968,0,5.95542,6.070024,0,0.910445028571429,17.141268,0,8.646102,7.337632,0,0,0,9.647621,10.968661,0,29.913487,0,37.7135761,0,11.972279,0,2.929865,15.76999,16.7219866,5.550325,6.605406,0
14,52.406801,9.949934,6.03653905714286,3.21352211825397,79.965471,4.496114,1.06972222222222,0,0,0,13.36153,7.492837,16.60621,6.292721,39.798422,5.614528,0,0,0,0,0,0,4.191061,13.18682,1.548051,16.5,0,0,30.861486,0,6.659498,29.321931,0,0,43.920056,0,0
15,9.060553,0,0,0.770921,48.509321,0,1.09074002777778,0,1.688855,0,0,0,5.135177,21.499262,48.483536,0.770921,0,0,0,0,0,0,4.522758,7.692996,0,0,0,0,41.070064,0,0,12.78876,5.459212,0,0,6.725784,0
16,61.826023,0,0,0,0,3.138993,0.432561416666667,0,0,0,0.174491194444444,0,0,14.298076,6.921285,0,0,4.81604,0,3.5995,0,0,0,0,3.14269,1.829152,0,0,0,0,0,0,0,0,0,4.609914,0
17,0,0,0,0,0,0,0,0,8.770253,0,0.757153666666667,0,0,14.468607,1.219291,0,0,0,0,0,3.755718,0,0,3.606186,0,0,0,0,37.18337,0,5.894492,0,10.7268,6.713666,0,0,0
18,0.843547714285714,0.0416018611111111,0,29.3125992222222,2.59996726984127,0,0,0,0,0,56.31469,4.338695,0,0,0,19.12312,0,37.163608,0,0,10.40105,2.365014,0,3.628891,0,0,0,0,0,8.462999,0,0,0,11.747187,0,0,0
19,10.6895165294118,152.936447,42.85587,10.6621665294118,29.3561667428571,11.78737,0,3.548729,0,0,0,55.80095,25.6548945500467,4.739566,46.711902,20.39319,21.66078,7.159579,0,0,1.455438,0,13.236184,0,59.194424,8.925207,5.051215,36.4744255,10.350623,12.09971,14.248776,1.084875,12.33863,4.356055,100.346292,41.362885,0
20,14.3347343055555,13.93124,36.93552,0,5.117856,33.153616,28.390135,14.170231,0,56.075541,22.220794,102.475610944444,183.971569,71.539084,50.77551,52.955577,110.480435,24.285817,22.37047,0,0,15.240563,8.460174,0,77.690738,20.82803,14.320623,65.523618,13.175537,3.34366,60.95245,17.44893,23.9835,25.811896,23.152173,52.395211,7.892072
21,19.3623167222222,3.314571,15.305509,57.4514846111111,2.09364011111111,157.673632694444,0,45.05313,45.00373,35.682906,13.602638,57.457141,167.166814,0,0,94.907888,39.878852,30.002838,40.842537,15.609201,16.806888,53.787112,26.533576,55.03525,76.799891,21.879584,64.63535,41.435804,50.484225,80.73316,113.400178,103.53766,16.28322,109.074771,4.860225,21.834397,23.024046
