"","1","2","3"
"1981",7,32,75
"1982",19,37,75
"1983",39,31,59
"1984",38,47,74
"1985",29,30,65
"1986",46,45,75
"1987",2,27,70
"1988",32,36,75
"1989",42,19,58
"1990",22,40,68
"1991",22,37,75
"1992",0,0,50
"1993",19,29,75
"1994",42,50,75
"1995",4,25,75
"1996",51,43,69
"1997",32,50,75
"1998",10,33,75
"1999",15,40,75
"2000",25,50,75
"2001",50,50,75
"2002",36,24,58
"2003",25,50,75
"2004",21,14,52
"2005",13,38,58
"2006",7,32,75
"2007",54,50,75
"2008",35,38,75
"2009",2,24,74
"2010",1,21,70
"2011",18,43,72
"2012",35,50,67
"2013",50,50,72
"2014",19,44,69
"2015",25,25,50
"2016",15,32,75
"2017",12,37,75
"2018",46,29,75
"2019",23,16,64
"2020",29.5641025641026,42.0512820512821,75
