"","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"1-Jan",0.1238927,0.4345582,0.1539737,0.1893619,0.1899613,0.1899613,0.1893583,0.1573175,0.1899613,0.2080527,0.1899613,0.1899613,0.1887589,0.1893619,0.1899613,0.1899613,0.1899613,0.1899613,0.4523602,0.1899613,0.1899613,0.1899613,0.1899613,0.1899613,0.1899613,0.1899613,0.1899613,0.1899613,0.1899613,0.2446995,0.1899613,0.1899613,0.1082471,0.1165024,0.1165024,0.1165024,0.1165024,0.1165024,0.1165024,0.5041726
"2-Jan",0.1238927,0.4345582,0.1539737,0.1893619,0.1899613,0.1899613,0.1893583,0.1573175,0.1899613,0.2080527,0.1899613,0.1899613,0.1887589,0.1893619,0.1899613,0.1899613,0.1899613,0.1899613,0.4523602,0.1899613,0.1899613,0.1899613,0.1899613,0.1899613,0.1899613,0.1899613,0.1899613,0.1899613,0.1899613,0.2446995,0.1899613,0.1899613,0.1082471,0.1165024,0.1165024,0.1165024,0.1165024,0.1165024,0.1165024,0.5041726
"3-Jan",0.1238927,0.4345582,0.1539737,0.1893619,0.1899613,0.1899613,0.1893583,0.1573175,0.1899613,0.2080527,0.1899613,0.1899613,0.1887589,0.1893619,0.1899613,0.1899613,0.1899613,0.1899613,0.4523602,0.1899613,0.1899613,0.1899613,0.1899613,0.1899613,0.1899613,0.1899613,0.1899613,0.1899613,0.1899613,0.2446995,0.1899613,0.1899613,0.1082471,0.1165024,0.1165024,0.1165024,0.1165024,0.1165024,0.1165024,0.5041726
"4-Jan",0.1238927,0.4345582,0.1539737,0.1893619,0.1899613,0.1899613,0.1893583,0.1573175,0.1899613,0.2080527,0.1899613,0.1899613,0.1887589,0.1893619,0.1899613,0.1899613,0.1899613,0.1899613,0.4523602,0.1899613,0.1899613,0.1899613,0.1899613,0.1899613,0.1899613,0.1899613,0.1899613,0.1899613,0.1899613,0.2446995,0.1899613,0.1899613,0.1082471,0.1165024,0.1165024,0.1165024,0.1165024,0.1165024,0.1165024,0.5041726
"5-Jan",0.1238927,0.4345582,0.1539737,0.1893619,0.1899613,0.1899613,0.1893583,0.1573175,0.1899613,0.2080527,0.1899613,0.1899613,0.1887589,0.1893619,0.1899613,0.1899613,0.1899613,0.1899613,0.4523602,0.1899613,0.1899613,0.1899613,0.1899613,0.1899613,0.1899613,0.1899613,0.1899613,0.1899613,0.1899613,0.2446995,0.1899613,0.1899613,0.1082471,0.1165024,0.1165024,0.1165024,0.1165024,0.1165024,0.1165024,0.5041726
"6-Jan",0.1238927,0.4345582,0.1539737,0.1893619,0.1899613,0.1899613,0.1893583,0.1573175,0.1899613,0.2080527,0.1899613,0.1899613,0.1887589,0.1893619,0.1899613,0.1899613,0.1899613,0.1899613,0.4523602,0.1899613,0.1899613,0.1899613,0.1899613,0.1899613,0.1899613,0.1899613,0.1899613,0.1899613,0.1899613,0.2446995,0.1899613,0.1899613,0.1082471,0.1165024,0.1165024,0.1165024,0.1165024,0.1165024,0.1165024,0.5041726
"7-Jan",0.1238927,0.4345582,0.1539737,0.1893619,0.1899613,0.1899613,0.1893583,0.1573175,0.1899613,0.2080527,0.1899613,0.1899613,0.1887589,0.1893619,0.1899613,0.1899613,0.1899613,0.1899613,0.4523602,0.1899613,0.1899613,0.1899613,0.1899613,0.1899613,0.1899613,0.1899613,0.1899613,0.1899613,0.1899613,0.2446995,0.1899613,0.1899613,0.1082471,0.1165024,0.1165024,0.1165024,0.1165024,0.1165024,0.1165024,0.5041726
"8-Jan",0.1238927,0.4345582,0.1539737,0.1893619,0.1899613,0.1899613,0.1893583,0.1573175,0.1899613,0.2080527,0.1899613,0.1899613,0.1887589,0.1893619,0.1899613,0.1899613,0.1899613,0.1899613,0.4523602,0.1899613,0.1899613,0.1899613,0.1899613,0.1899613,0.1899613,0.1899613,0.1899613,0.1899613,0.1899613,0.2446995,0.1899613,0.1899613,0.1082471,0.1165024,0.1165024,0.1165024,0.1165024,0.1165024,0.1165024,0.5041726
"9-Jan",0.1238927,0.4345582,0.1539737,0.1893619,0.1899613,0.1899613,0.1893583,0.1573175,0.1899613,0.2080527,0.1899613,0.1899613,0.1887589,0.1893619,0.1899613,0.1899613,0.1899613,0.1899613,0.4523602,0.1899613,0.1899613,0.1899613,0.1899613,0.1899613,0.1899613,0.1899613,0.1899613,0.1899613,0.1899613,0.2446995,0.1899613,0.1899613,0.1082471,0.1165024,0.1165024,0.1165024,0.1165024,0.1165024,0.1165024,0.5041726
"10-Jan",0.1238927,0.4345582,0.1539737,0.1893619,0.1899613,0.1899613,0.1893583,0.1573175,0.1899613,0.2080527,0.1899613,0.1899613,0.1887589,0.1893619,0.1899613,0.1899613,0.1899613,0.1899613,0.4523602,0.1899613,0.1899613,0.1899613,0.1899613,0.1899613,0.1899613,0.1899613,0.1899613,0.1899613,0.1899613,0.2446995,0.1899613,0.1899613,0.1082471,0.1165024,0.1165024,0.1165024,0.1165024,0.1165024,0.1165024,0.5041726
"11-Jan",0.1126768,0.5247802,0.198664,0.198014,0.1992754,0.198664,0.1992754,0.1608467,0.3511764,0.1992754,0.1992754,0.1992754,0.3559314,0.198014,0.1992754,0.1992754,0.1992754,0.1992754,0.1992754,0.1992754,0.1992754,0.1992754,0.1992754,0.1992754,0.1992754,0.1992754,0.1992754,0.4261335,0.1992754,0.1992754,0.2586344,0.1992754,0.1135546,0.1128211,0.1128211,0.1128211,0.204071794871795,0.1128211,0.1128211,0.1128211
