"","MIXEDVEGg"
"1981",0.186314220050646
"1982",0.107292363744682
"1983",0.154073815702646
"1984",0.166292259236107
"1985",0.142388345248301
"1986",0.208856186911059
"1987",0.166094898060695
"1988",0.114957671091428
"1989",0.164265737716683
"1990",0.174062855791977
"1991",0.144704381497346
"1992",0.145316290887835
"1993",0.1543830747086
"1994",0.184629837468425
"1995",0.165318466632082
"1996",0.183682356968191
"1997",0.202592315244372
"1998",0.174556340318427
"1999",0.139262997639395
"2000",0.1451458
"2001",0.2103249
"2002",0.1563362
"2003",0.1576601
"2004",0.1359467
"2005",0.1670243
"2006",0.1706765
"2007",0.1704916
"2008",0.1550645
"2009",0.1257223
"2010",0.1489223
"2011",0.1944307
"2012",0.1900548
"2013",0.1846099
"2014",0.1437929
"2015",0.1666203
"2016",0.1915481
"2017",0.1629032
"2018",0.1771756
"2019",0.1822596
