Time,precipitation
1-10 Jan 1981,2.562696
11-20 Jan 1981,2.463371
21-31 Jan 1981,2.083834
1-10 Feb 1981,1.557
11-20 Feb 1981,2.266493
21-28 Feb 1981,2.115461
1-10 Mar 1981,27.1345
11-20 Mar 1981,32.53364
21-31 Mar 1981,52.22269
1-10 Apr 1981,6.748343
11-20 Apr 1981,14.09873
21-30 Apr 1981,20.66448
1-10 May 1981,2.407167
11-20 May 1981,6.249235
21-31 May 1981,1.819818
1-10 Jun 1981,0.1302883
11-20 Jun 1981,0.0
21-30 Jun 1981,1.46224
1-10 Jul 1981,69.12411
11-20 Jul 1981,51.48962
21-31 Jul 1981,53.63246
1-10 Aug 1981,52.88139
11-20 Aug 1981,74.07365
21-31 Aug 1981,65.86376
1-10 Sep 1981,9.277216
11-20 Sep 1981,9.551991
21-30 Sep 1981,2.691683
1-10 Oct 1981,4.723722
11-20 Oct 1981,1.996908
21-31 Oct 1981,2.327707
1-10 Nov 1981,2.101802
11-20 Nov 1981,2.130025
21-30 Nov 1981,2.175719
1-10 Dec 1981,1.314372
11-20 Dec 1981,1.644637
21-31 Dec 1981,3.748104
1-10 Jan 1982,16.65654
11-20 Jan 1982,13.89709
21-31 Jan 1982,2.357093
1-10 Feb 1982,8.798679
11-20 Feb 1982,8.567371
21-28 Feb 1982,25.49735
1-10 Mar 1982,38.92904
11-20 Mar 1982,17.58241
21-31 Mar 1982,28.50805
1-10 Apr 1982,36.12485
11-20 Apr 1982,26.5176
21-30 Apr 1982,12.08153
1-10 May 1982,20.27674
11-20 May 1982,24.83802
21-31 May 1982,7.028215
1-10 Jun 1982,0.3022287
11-20 Jun 1982,0.0
21-30 Jun 1982,2.638206
1-10 Jul 1982,8.071979
11-20 Jul 1982,13.09346
21-31 Jul 1982,54.28008
1-10 Aug 1982,43.9137
11-20 Aug 1982,75.8777
21-31 Aug 1982,51.32578
1-10 Sep 1982,12.6524
11-20 Sep 1982,3.362988
21-30 Sep 1982,4.196957
1-10 Oct 1982,9.139482
11-20 Oct 1982,5.663028
21-31 Oct 1982,1.895729
1-10 Nov 1982,4.247983
11-20 Nov 1982,2.008049
21-30 Nov 1982,4.319919
1-10 Dec 1982,1.243667
11-20 Dec 1982,2.087288
21-31 Dec 1982,2.208224
1-10 Jan 1983,3.042924
11-20 Jan 1983,4.333338
21-31 Jan 1983,6.808978
1-10 Feb 1983,7.761419
11-20 Feb 1983,5.584543
21-28 Feb 1983,5.234812
1-10 Mar 1983,10.61987
11-20 Mar 1983,6.152048
21-31 Mar 1983,16.60749
1-10 Apr 1983,9.172541
11-20 Apr 1983,28.87268
21-30 Apr 1983,18.93041
1-10 May 1983,23.05442
11-20 May 1983,50.4383
21-31 May 1983,29.29153
1-10 Jun 1983,1.209739
11-20 Jun 1983,0.0
21-30 Jun 1983,2.667835
1-10 Jul 1983,8.614384
11-20 Jul 1983,27.49563
21-31 Jul 1983,82.78776
1-10 Aug 1983,40.2578
11-20 Aug 1983,52.028
21-31 Aug 1983,45.39363
1-10 Sep 1983,8.404535
11-20 Sep 1983,9.237934
21-30 Sep 1983,4.171552
1-10 Oct 1983,3.514671
11-20 Oct 1983,3.337982
21-31 Oct 1983,3.145315
1-10 Nov 1983,3.0653
11-20 Nov 1983,4.695414
21-30 Nov 1983,3.048192
1-10 Dec 1983,1.419442
11-20 Dec 1983,1.412114
21-31 Dec 1983,2.389386
1-10 Jan 1984,3.976478
11-20 Jan 1984,4.381763
21-31 Jan 1984,5.283749
1-10 Feb 1984,2.026713
11-20 Feb 1984,2.028493
21-29 Feb 1984,7.554162
1-10 Mar 1984,17.30863
11-20 Mar 1984,49.15542
21-31 Mar 1984,5.420528
1-10 Apr 1984,8.055726
11-20 Apr 1984,8.575291
21-30 Apr 1984,6.275813
1-10 May 1984,7.413008
11-20 May 1984,27.76002
21-31 May 1984,10.86776
1-10 Jun 1984,0.7548577
11-20 Jun 1984,0.0
21-30 Jun 1984,3.417726
1-10 Jul 1984,20.74003
11-20 Jul 1984,19.64629
21-31 Jul 1984,35.73679
1-10 Aug 1984,37.93566
11-20 Aug 1984,17.79159
21-31 Aug 1984,11.04601
1-10 Sep 1984,16.80931
11-20 Sep 1984,13.48395
21-30 Sep 1984,4.817166
1-10 Oct 1984,1.833658
11-20 Oct 1984,2.062725
21-31 Oct 1984,2.389647
1-10 Nov 1984,4.61232
11-20 Nov 1984,5.173052
21-30 Nov 1984,3.929608
1-10 Dec 1984,2.485486
11-20 Dec 1984,2.349213
21-31 Dec 1984,3.714514
1-10 Jan 1985,5.150514
11-20 Jan 1985,5.918125
21-31 Jan 1985,8.679197
1-10 Feb 1985,4.952572
11-20 Feb 1985,5.107084
21-28 Feb 1985,4.022436
1-10 Mar 1985,24.68187
11-20 Mar 1985,8.83905
21-31 Mar 1985,27.43444
1-10 Apr 1985,71.07399
11-20 Apr 1985,26.16491
21-30 Apr 1985,45.37271
1-10 May 1985,21.10015
11-20 May 1985,5.831027
21-31 May 1985,6.808117
1-10 Jun 1985,0.353695
11-20 Jun 1985,0.0
21-30 Jun 1985,3.280559
1-10 Jul 1985,32.11617
11-20 Jul 1985,32.90016
21-31 Jul 1985,21.978
1-10 Aug 1985,31.55082
11-20 Aug 1985,25.06729
21-31 Aug 1985,81.97208
1-10 Sep 1985,28.45695
11-20 Sep 1985,7.237095
21-30 Sep 1985,4.489388
1-10 Oct 1985,2.521974
11-20 Oct 1985,2.164991
21-31 Oct 1985,2.766747
1-10 Nov 1985,2.268228
11-20 Nov 1985,2.403786
21-30 Nov 1985,1.995288
1-10 Dec 1985,2.759686
11-20 Dec 1985,1.824676
21-31 Dec 1985,3.150835
1-10 Jan 1986,5.120085
11-20 Jan 1986,5.40305
21-31 Jan 1986,6.687475
1-10 Feb 1986,6.132918
11-20 Feb 1986,7.376972
21-28 Feb 1986,6.031974
1-10 Mar 1986,8.853646
11-20 Mar 1986,7.580101
21-31 Mar 1986,5.982589
1-10 Apr 1986,37.85761
11-20 Apr 1986,35.15053
21-30 Apr 1986,16.03218
1-10 May 1986,2.640562
11-20 May 1986,39.3636
21-31 May 1986,9.010498
1-10 Jun 1986,0.3963251
11-20 Jun 1986,0.0
21-30 Jun 1986,41.31581
1-10 Jul 1986,30.55116
11-20 Jul 1986,29.80258
21-31 Jul 1986,65.99305
1-10 Aug 1986,94.37601
11-20 Aug 1986,28.3145
21-31 Aug 1986,71.30283
1-10 Sep 1986,62.76127
11-20 Sep 1986,22.77007
21-30 Sep 1986,11.53651
1-10 Oct 1986,2.481517
11-20 Oct 1986,1.419568
21-31 Oct 1986,2.532281
1-10 Nov 1986,1.817057
11-20 Nov 1986,2.022778
21-30 Nov 1986,2.015276
1-10 Dec 1986,2.561573
11-20 Dec 1986,2.227299
21-31 Dec 1986,3.301853
1-10 Jan 1987,5.262065
11-20 Jan 1987,5.551474
21-31 Jan 1987,6.425906
1-10 Feb 1987,4.027857
11-20 Feb 1987,3.495696
21-28 Feb 1987,5.281775
1-10 Mar 1987,96.12247
11-20 Mar 1987,7.700463
21-31 Mar 1987,21.46349
1-10 Apr 1987,61.485
11-20 Apr 1987,6.144252
21-30 Apr 1987,3.964062
1-10 May 1987,13.42283
11-20 May 1987,14.47104
21-31 May 1987,26.94258
1-10 Jun 1987,0.4460085
11-20 Jun 1987,0.0
21-30 Jun 1987,1.794359
1-10 Jul 1987,33.45176
11-20 Jul 1987,13.83938
21-31 Jul 1987,10.01104
1-10 Aug 1987,107.6959
11-20 Aug 1987,76.40601
21-31 Aug 1987,29.10403
1-10 Sep 1987,10.69226
11-20 Sep 1987,5.5712
21-30 Sep 1987,10.90312
1-10 Oct 1987,10.54909
11-20 Oct 1987,2.476033
21-31 Oct 1987,3.402919
1-10 Nov 1987,1.925818
11-20 Nov 1987,2.263942
21-30 Nov 1987,1.965936
1-10 Dec 1987,2.021178
11-20 Dec 1987,1.863977
21-31 Dec 1987,3.975134
1-10 Jan 1988,4.424263
11-20 Jan 1988,5.23123
21-31 Jan 1988,6.821594
1-10 Feb 1988,11.59597
11-20 Feb 1988,23.72564
21-29 Feb 1988,15.03035
1-10 Mar 1988,5.762467
11-20 Mar 1988,4.727166
21-31 Mar 1988,4.493957
1-10 Apr 1988,8.37553
11-20 Apr 1988,23.44909
21-30 Apr 1988,10.60272
1-10 May 1988,6.183494
11-20 May 1988,7.114261
21-31 May 1988,5.664552
1-10 Jun 1988,0.468752
11-20 Jun 1988,0.0
21-30 Jun 1988,2.572454
1-10 Jul 1988,37.14893
11-20 Jul 1988,76.36983
21-31 Jul 1988,158.9566
1-10 Aug 1988,55.78779
11-20 Aug 1988,116.4612
21-31 Aug 1988,46.91119
1-10 Sep 1988,11.64631
11-20 Sep 1988,28.15457
21-30 Sep 1988,6.876282
1-10 Oct 1988,4.984022
11-20 Oct 1988,3.288069
21-31 Oct 1988,2.965123
1-10 Nov 1988,1.974262
11-20 Nov 1988,2.21213
21-30 Nov 1988,1.910614
1-10 Dec 1988,1.530088
11-20 Dec 1988,1.773101
21-31 Dec 1988,2.352108
1-10 Jan 1989,4.519145
11-20 Jan 1989,10.41934
21-31 Jan 1989,6.574004
1-10 Feb 1989,11.76514
11-20 Feb 1989,2.920356
21-28 Feb 1989,4.008293
1-10 Mar 1989,7.617848
11-20 Mar 1989,59.88113
21-31 Mar 1989,45.92499
1-10 Apr 1989,13.19965
11-20 Apr 1989,16.57702
21-30 Apr 1989,14.1244
1-10 May 1989,6.010793
11-20 May 1989,5.565371
21-31 May 1989,5.550604
1-10 Jun 1989,0.1773822
11-20 Jun 1989,0.0
21-30 Jun 1989,2.475886
1-10 Jul 1989,23.28062
11-20 Jul 1989,55.24573
21-31 Jul 1989,27.53461
1-10 Aug 1989,70.70295
11-20 Aug 1989,26.82504
21-31 Aug 1989,17.73115
1-10 Sep 1989,21.93798
11-20 Sep 1989,10.80172
21-30 Sep 1989,6.511171
1-10 Oct 1989,3.585318
11-20 Oct 1989,3.669296
21-31 Oct 1989,3.686721
1-10 Nov 1989,2.061224
11-20 Nov 1989,2.280224
21-30 Nov 1989,2.415271
1-10 Dec 1989,8.571541
11-20 Dec 1989,6.696224
21-31 Dec 1989,3.070584
1-10 Jan 1990,5.943794
11-20 Jan 1990,6.543598
21-31 Jan 1990,9.001265
1-10 Feb 1990,23.21415
11-20 Feb 1990,14.81553
21-28 Feb 1990,4.480211
1-10 Mar 1990,7.565502
11-20 Mar 1990,5.352593
21-31 Mar 1990,43.76697
1-10 Apr 1990,20.36137
11-20 Apr 1990,9.271292
21-30 Apr 1990,37.99538
1-10 May 1990,6.46235
11-20 May 1990,4.828434
21-31 May 1990,4.40707
1-10 Jun 1990,0.49781
11-20 Jun 1990,0.0
21-30 Jun 1990,3.490711
1-10 Jul 1990,22.04491
11-20 Jul 1990,41.1321
21-31 Jul 1990,61.94067
1-10 Aug 1990,39.52731
11-20 Aug 1990,17.71602
21-31 Aug 1990,17.73759
1-10 Sep 1990,13.02304
11-20 Sep 1990,9.509374
21-30 Sep 1990,14.37872
1-10 Oct 1990,8.030863
11-20 Oct 1990,1.363178
21-31 Oct 1990,1.698135
1-10 Nov 1990,2.082389
11-20 Nov 1990,2.456258
21-30 Nov 1990,2.183257
1-10 Dec 1990,2.11244
11-20 Dec 1990,1.594786
21-31 Dec 1990,2.661028
1-10 Jan 1991,6.208401
11-20 Jan 1991,6.295026
21-31 Jan 1991,8.485874
1-10 Feb 1991,5.73373
11-20 Feb 1991,6.106172
21-28 Feb 1991,8.997961
1-10 Mar 1991,19.70438
11-20 Mar 1991,24.27452
21-31 Mar 1991,24.0625
1-10 Apr 1991,26.0218
11-20 Apr 1991,9.591418
21-30 Apr 1991,9.125309
1-10 May 1991,25.29977
11-20 May 1991,4.436629
21-31 May 1991,4.518647
1-10 Jun 1991,0.5385936
11-20 Jun 1991,0.0
21-30 Jun 1991,3.558716
1-10 Jul 1991,46.79395
11-20 Jul 1991,27.42826
21-31 Jul 1991,38.97788
1-10 Aug 1991,32.40781
11-20 Aug 1991,34.13354
