"","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"1-Jan",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2-Jan",0,0,0,0,0,0,0.0883641388888889,0.0883641388888889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.181109,0,0,0,0,0,0,0,0,0,0
"3-Jan",0,0,0.0278027285714286,0,0,0,0.0278027285714286,0.0278027285714286,0,0,0,0,0,0,0,0.9730955,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4-Jan",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5-Jan",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6-Jan",0.0321734864864865,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.190419,0
"7-Jan",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8-Jan",0.02569875,0,0.02569875,0,0,0,0,0,0,0,0,0,0,0,0,0,0.925155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9-Jan",0.113833861111111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.098019,0,0.113833861111111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10-Jan",0,0,0,0.0264316216216216,0,0,0,0,0,0,0,0,0,0,0,0,0.97797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
