"year","MIXEDET"
1983,20.9761697200264
1984,21.0428702318941
1985,22.4119483064678
1986,28.9533599496696
1987,21.1381396247645
1988,19.5123793059721
1989,27.1732825786639
1990,24.1632578488315
1991,24.6112216166445
1992,20.5378084916033
1993,22.3626092919226
1994,29.0386023815196
1995,28.8004487941073
1996,28.2915274696143
1997,22.0340008445108
1998,28.5820308125131
1999,26.0185109011389
2000,32.70469
2001,32.41994
2002,20.39017
2003,24.01021
2004,22.85995
2005,22.84044
2006,31.28519
2007,24.73025
2008,26.05496
2009,23.14017
2010,25.66026
2011,25.98017
2012,22.77994
2013,23.8173011672731
2014,33.45562
