"","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
"Jan",4.768754,2.506533,1.97117,2.742519,4.255947,2.724588,3.854308,4.012971,3.435364,9.124305,5.196826
"Feb",5.278726,2.814493,3.222219,3.325669,4.64269,3.69846,6.007956,5.374991,3.392407,6.412647,9.820903
"Mar",5.953708,5.833072,5.883046,5.790747,7.189089,6.394263,8.171473,10.4476,5.547541,7.626417,11.52528
"Apr",13.55235,12.19052,10.41561,13.47218,12.77788,14.71622,12.97643,16.56836,9.267104,16.69958,15.12001
"May",15.25408,15.77885,13.15707,19.08368,19.18511,16.91353,15.23212,23.37865,18.86691,25.85761,27.89093
"Jun",18.5418,17.76717,17.64498,17.17166,19.69815,19.05058,22.45708,19.80155,20.13952,19.4361,21.17228
"Jul",49.66618,35.38622,40.34555,40.47331,40.21892,42.72144,41.2046,36.23178,33.73257,42.94701,36.51498
"Aug",54.64739,45.9085,47.06572,57.111,51.10945,54.63959,54.04532,53.06715,46.61209,56.98198,51.95836
"Sep",34.37623,27.02991,25.24266,35.43163,26.49191,27.66591,29.49221,36.85058,26.97321,30.20857,33.74265
"Oct",7.07939,6.829263,5.54051,8.832119,7.2407,6.975109,10.98492,13.21987,7.064205,9.565975,10.56007
"Nov",1.973371,7.564791,2.001876,3.956591,6.849133,3.973921,4.58864,4.151166,4.699185,4.853391,5.456356
"Dec",1.886492,2.608232,3.327967,3.47797,3.973662,3.529493,3.734558,3.451141,5.4103,5.01339,4.963556
