"year","MIXEDET"
1983,21.3876559713291
1984,20.4346141427898
1985,19.8969460339475
1986,24.9175130405699
1987,27.3452669292765
1988,11.0783628256969
1989,22.9772011946438
1990,18.2040635722338
1991,23.1437734358843
1992,24.6911619906381
1993,21.7969405592723
1994,13.4273659215146
1995,19.3145328192944
1996,26.9413891343279
1997,28.5523093609488
1998,25.9033219630048
1999,26.7669106635508
2000,20.5739
2001,20.23334
2002,15.93076
2003,25.48537
2004,22.94981
2005,28.24219
2006,26.78634
2007,31.06102
2008,18.48817
2009,22.40738
2010,31.88987
2011,21.69997
2012,23.20716
2013,28.9362361639149
2014,24.42065
