Time,NDVI
Oct 1981,0.3647742
Oct 1982,0.4242581
Oct 1983,0.3514516
Oct 1984,0.2316452
Oct 1985,0.3316936
Oct 1986,0.4094839
Oct 1987,0.3756291
Oct 1988,0.4050161
Oct 1989,0.2917581
Oct 1990,0.2914839
Oct 1991,0.3392581
Oct 1992,0.3413064
Oct 1993,0.3269839
Oct 1994,0.4168549
Oct 1995,0.3936613
Oct 1996,0.3616774
Oct 1997,0.3570484
Oct 1998,0.421742
Oct 1999,0.4129839
Oct 2000,0.3705968
Oct 2001,0.3838226
Oct 2002,0.4223871
Oct 2003,0.3924355
Oct 2004,0.3416129
Oct 2005,0.3555484
Oct 2006,0.4039677
