"","1","2","3"
"1981",16,37,75
"1982",31,37,75
"1983",22,16,66
"1984",55,44,75
"1985",30,38,75
"1986",71,50,75
"1987",50,31,68
"1988",38,25,75
"1989",63,50,75
"1990",28,42,75
"1991",59,50,75
"1992",24,42,75
"1993",45,34,75
"1994",68,50,75
"1995",18,38,75
"1996",75,50,75
"1997",60,50,75
"1998",47,50,75
"1999",31,50,75
"2000",46,50,75
"2001",57,50,75
"2002",55,50,75
"2003",50,50,75
"2004",41,50,75
"2005",39,50,75
"2006",29,50,75
"2007",55,48,75
"2008",55,35,75
"2009",20,45,75
"2010",57,37,75
"2011",47,50,75
"2012",38,50,75
"2013",44,50,75
"2014",44,50,75
"2015",41,45,75
"2016",50,50,75
"2017",42,48,75
"2018",75,50,75
"2019",75,50,75
"2020",56.6923076923077,50,75
