Year,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.1,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0.490322580645161,0.490322580645161,0.490322580645161,0.490322580645161,0,0,0.447058823529412,0.937381404174573,0,15.2,0,0.937381404174573,15.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,1.45161290322581,1.45161290322581,1.45161290322581,0,0,33.1,3.88191593352883,3.88191593352883,0,3.88191593352883,0,0,2.43030303030303,0,0,0,0,0,0,0,17.9,0,0,0,19.2,0,0,0,0,0,0,0,0,0,55,0,0
6,0,0,3.50588235294118,35.2794117647059,20.5,0,0,2.1264705882353,33.1,1.37941176470588,0,0,2.1264705882353,0,0,0,0,0,0,0,15.2,0,0,0,0,0,0,0,0,0,0,0,0,0,16.5,0,0
7,0,16,4.7264705882353,7.23504201680673,69.2,0,0,4.7264705882353,13.3,0,0,14.1085714285714,0,11.6,32.7,11.6,0,0,0,65.6,0,0,0,0,0,0,16.9,0,0,0,0,0,0,0,0,0,0
8,7.72857142857144,16.1,15.6228571428572,34.5,19.3942857142857,0,26.8,0,17.5,26.9,17.7,31.5,25.2,0,33.7,0,0,0,40.6,0,0,13.1,56.8,63.1,0,0,0,12.3,0,0,9.2,46.6,15,9.2,15,0,24.5
9,22.8,0,10.0114285714286,13.6,15.4,0,35.3,22.6,17.2,0,20.8,10.0114285714286,0,97.2,41.8,44.3,0,15.4,19.8,60.1,19,0,0,15.4,29.2,0,27.2,0,0,72.1,0,10.9,27.4,14,33.5,0,78.5
10,19.28,0,9.70882352941176,39.6,29.5,31.6,8.4,18.7,11.2,7.2,45.7,9.70882352941176,19.8888235294118,19.1,52.3,0,0,55.2,5.1,67.6,0,39.6,0,29.6,18.7,9.9,23.8,13.3,27.3,18.3,21.2,14.1,0,27.8,0,15.3,27.2
11,54.7,21.4,16,27.9,22.8878787878788,14.5,16.9,0,4,6.8,23.0545454545455,21.4,53,43.6,11.2,18.9878787878788,6.8,39.5,0,11.8,30.8,43.6,31.7878787878788,30.8,29.2,17.8,5.4,41,3.7,49.7,36.3,14,0,42.6,0,16.3,45.6
12,37.7,0,43.8,22.2,10.38,17.6,17.18,67.4,0,20.1,55.2,19.8,15.2,8.9,15.5,16.6,9.5,27.1,6.2,0,24,16.3,32.7,11.9,15,17.1,4.5,14.5,19.8,22.9,23.8,44.4,0,23.4,27.2,16,8.8
13,13.8,26.2,9.41818181818183,10.2,8.9,0,0,2.5,24.2181818181818,30.6,12.3124675324675,8.7,10.3,14.4,3.2,6.91818181818183,0,21.4,18.8,8.6,4.6,0,25.6,5.9,0,30.2,0,36.1,0,16.1,5,8.3,33.5,30.4,18.6,10.7942857142857,0
14,16.8,18.8,3.1,8.08055555555556,23.1,2.7,4.5,0,2.7,8.1,20.5,10.1,15.6,20.6,2.7,7.2,0,0,1.9,2.7,2.4,0,14.2,3,9.5,10.2,6,2,20.6,3.1,4.1,11.8,3.8,0,29.8,3.6,5.7
15,32.5,7.2,3.4,15.5857142857143,38.4,2.7,3.88571428571428,0,9,3.5,5.2,0,13.7,36,12.1,0,2.7,0,0,0,0,2.7,12.1,0,4.8,3.7,0,0,25.5,0,0,12.7,18.3,0,6.8,0,9.3
16,4.4,1.4,0,0.734285714285715,1.1,0,1.15928571428571,0,0,0,0.8,0.6,1.6,5.4,6.4,0.6,0,0.9,0,1,1.2,0,0.9,0,3.3,2.7,0,0,0,1.2,0,0,1,1.1,0,3,2.4
17,0,2.5,0,3.1,0,1.7,1.5,0,3.8,0,2.9,1.5,0,6.7,5.2,0,1,0,1.5,0.8,0.8,0.8,0,1.4,5.1,0,1,2.1,1.6,0,1.3,0,1.7,1.5,1.3,2.3,0
18,0,0,0,48.6,10.5,0,0,0,20.7,0,18.9,0,17,8.8,29.7,22.7,30.1,15.2,45.6,0,0,24.5,23.9,25.8,29.8,0,16.1,33.8,17.4,31.6,0,0,20.5,21.2,17,22.3,0
19,34.4527777777778,12.6,33.5,46.6,31.4,39.4,54,35.3,55,14.5,0,46.7,12.6,109.3,128.8,76.9,66.4,27.7,15,16.4,64.2,12.6,44.7,60.7,182.2,30.5,68.9,40.5,49.6,66.7,61.7,16.3,29.8,38.2,66.1,42,53.5
20,21,12.9,69.6,18.1,10.2,176.1,88.5,81.6,22.1,23.5,68.7,60.5,36.4,99.9,57.1,100.6,99.9,38.1,68.2,14.2,18.1,76.6,68.7,22.4,144.7,57.3,48.2,192.9,65.5,58.1,110.4,30.7,37.2,48,22.6,41.4,41.6
21,46.3,17,15.1,98.6833333333333,41.3694444444444,154.2,37.9,51.9,59,57.5,44.9,76.5,119.1,25.7,20.1,161.9,76.7,111,144.8,65.9,74.8,22.3,75.7,57,73.7,53.9,83.7,73.5,99.7,109.6,114.2,86.3,17.4,165.8,38.1,56.6,71.4
22,18.6,12.8,40.2,84.005873015873,60.1114285714286,99.5,64.1,24.4,43.8,88.3,32.9,33.9,103.2,75.3,51.7,75.6,43.2,181.6,160,97.9,100.2,127.1,51,112.5,101.5,65.4,8.2,115.8,141.4,89.9,85,122.9,118.1,150.3,63.4,109.8,154.6
23,62.6,38.6787878787879,8.6,38.6787878787879,69.1787878787879,75.6,34.5,16.6,45.3,153.6,49.7787878787879,158.3,81.5,50.9,59.6,138,121.4,154,131,61.6,138.3,86.5,61.9,37.5,53.2,33.7,46.2,159.9,63.3,52.4,116.2,51.4,39.5,63.5,144.4,76.5,71.4
24,47.6,0,60.5,83.2,9.4,68.6,17.9,9.5,14.9,78.1,47.8,93.2,49.5,139.8,19.6,168.1,135.5,76.4,72.6,30.9,100.1,20.9,136.9,121.8,62.9,66.9,131.5,157.4,75,42.8,48.1,118.1,91.7583333333333,22.8,130,72.9,42.2
25,2.8,27.2782352941176,31.7,34.0382352941176,5.6,26.1,24.74,18.7,9.1,13.2,22.6,16.3,18.6,57.4,5.6,45.6,39.3,17.3,22.6,50.4,14.2,10.4,26.9,53.6,36.9,55.1,10,37.8,23,11.1,39.3,35.8,33.1382352941176,37.9,27,51,17.2
26,3.8,22.2,14.0885714285714,17.1,11.1,27.8885714285714,10.9,11.4,9.3,23.9,2.8,2.8,9.1,11.8,13.5,19,21.8,16.9,24.8,26,7.4,13.1,11.2,2.6,15.4,11.6,6.7,16.3,0,2.9,12.1,33.5,17.6,7.3,16.8,39.9,17.8
27,0,5.9,8,5,6.5,10.2,10.0437908496732,17.9,14.3,12.4,17.7,7.1,5.13823529411765,3,15.5,18.4,13.4,26.3,8.3,6.8,22.7,3.6,12.6,8.13823529411765,0,15.4,0,4.6,10.8,5.4,6,8.6,8.4,11.9,16.2,7.8,17.6
28,5.61714285714286,0,3.9,0,11.1,12.4,3.6,11.4,25.4,16,5.61714285714286,0,0,0,10.6,29.4,35.7,17.2,8.1,0,5.4,9,0,0,5.4,6.4,4.2,4.6,3.6,0,19.7,34,0,0,8.3,0,38
29,3.12,0,5.8,0,0,5.8,0,0,0,5.1,6.27142857142857,0,3.15142857142857,0,29.1,11.3,28.8,11.6,0,0,0,6.5,0,5.4,3.9,5.1,26.9,0,0,0,8,6.2,4.4,0,18.2,19.6,17.8
30,2.07142857142857,0,0,0,4.2,0,0,0,0,2.8,10.3,0,6.9,2.07142857142857,38.1,3.4,0,10.2,0,3.9,5.3,8.1,0,24.1,0,28.1,3.4,0,0,5.8,0,0,6.7,4,0,0,0
31,0,0,2.70857142857143,2.70857142857143,0,0,5.75833333333333,0,0,35.2,0,0,0,0,18.5,0,0,18.5,0,0,0,0,0,0,0,51.4,0,0,53,5.7,0,0,0,93.9,0,25.9,0
32,3.43636363636364,5.91283422459893,0,0,0,5.91283422459893,0,0,0,18.8,2.47647058823529,7.9,3.43636363636364,14.2,40.3,0,0,0,0,0,0,0,19.4,0,0,0,0,0,0,0,45.2,18.8,18.2,0,7.4,0,7.4
33,0,5.80126050420168,0,2.34411764705882,0,5.80126050420168,20.6,0,0,0,0,10.3,0,22.7,15.8,0,0,0,0,0,0,0,0,0,0,0,28.9,0,0,0,30.9,27.5,0,0,0,20.6,23.4
34,0,10.4,0,0,0,2.72747899159664,11.3617647058824,0,16.8,0,1.36571428571429,10,0,0,0,0,0,6.7,0,0,0,4.8,0,24.3,0,0,5.3,5.8,0,0,0,0,1.36176470588235,0,0,0,0
35,0,0,1.70016806722689,0,0,1.70016806722689,11.3,0,0,0,0,0,29.8,0,0,0,0,9.7,0,0,0,0,0,1.30588235294118,0,0,0,7.4,0,0,0,0,0,0,0,0,0
36,0,0,0,0,0,0.905079365079365,0,0,0,0.882857142857143,0,0,0,0,0,0,0,0,11.6,0,0,0,0,0,0,0,0,0,0,0,0,0,20.1,0,0,0,0
