"","1","2","3"
"1983",43.3,43.3,75
"1984",27.3,32.8,75
"1985",46.6,50,75
"1986",69.6085714285714,50,75
"1987",75,50,75
"1988",75,50,75
"1989",75,50,75
"1990",31.8,50,75
"1991",71.2,50,75
"1992",39.3,39.6,75
"1993",75,50,75
"1994",72,50,75
"1995",39.6,50,75
"1996",75,50,75
"1997",75,50,75
"1998",75,50,75
"1999",50.3,50,75
"2000",46.2,50,75
"2001",75,50,75
"2002",56.9,47.4,75
"2003",57.4,50,75
"2004",46.1,50,75
"2005",58.7,50,75
"2006",64.8,50,75
"2007",69.6,50,75
"2008",75,50,75
"2009",66.5,50,75
"2010",75,50,75
"2011",64.3,50,75
"2012",62.1,50,75
"2013",48.4,50,75
"2014",56.3,50,75
"2015",38.9,31.9,75
"2016",56.5,50,75
"2017",62.8,50,75
"2018",75,50,75
"2019",75,50,75
